学生ID,题目ID,题目名称,学生能力θ,题目难度b,θ-b,预测答对概率P,实际对错(1/0),残差(实际-预测),数据来源
S005,Q001,代数基础-因式分解,0.1761,-2.1862,2.3623,0.9139,1,0.0861,CSV:math_quiz_2026.csv
S005,Q002,二次函数顶点式,0.1761,-0.4814,0.6575,0.6587,1,0.3413,CSV:math_quiz_2026.csv
S005,Q003,三角恒等变换,0.1761,0.9049,-0.7288,0.3255,0,-0.3255,CSV:math_quiz_2026.csv
S005,Q004,立体几何体积,0.1761,-0.1248,0.3008,0.5747,1,0.4253,CSV:math_quiz_2026.csv
S005,Q005,圆锥曲线离心率,0.1761,0.5482,-0.3721,0.408,1,0.592,CSV:math_quiz_2026.csv
S005,Q006,概率古典概型,0.1761,-0.1248,0.3008,0.5747,0,-0.5747,CSV:math_quiz_2026.csv
S005,Q007,数列通项公式,0.1761,0.394,-0.2179,0.4457,1,0.5543,CSV:math_quiz_2026.csv
S005,Q008,导数极值问题,0.1761,0.7713,-0.5952,0.3554,0,-0.3554,CSV:math_quiz_2026.csv
S005,Q009,向量数量积,0.1761,-0.1248,0.3008,0.5747,0,-0.5747,CSV:math_quiz_2026.csv
S006,Q001,代数基础-因式分解,0.6461,-2.1862,2.8323,0.9444,1,0.0556,CSV:math_quiz_2026.csv
S006,Q002,二次函数顶点式,0.6461,-0.4814,1.1275,0.7554,1,0.2446,CSV:math_quiz_2026.csv
S006,Q003,三角恒等变换,0.6461,0.9049,-0.2588,0.4357,1,0.5643,CSV:math_quiz_2026.csv
S006,Q004,立体几何体积,0.6461,-0.1248,0.7709,0.6837,1,0.3163,CSV:math_quiz_2026.csv
S006,Q005,圆锥曲线离心率,0.6461,0.5482,0.0979,0.5245,0,-0.5245,CSV:math_quiz_2026.csv
S006,Q006,概率古典概型,0.6461,-0.1248,0.7709,0.6837,1,0.3163,CSV:math_quiz_2026.csv
S006,Q007,数列通项公式,0.6461,0.394,0.2521,0.5627,0,-0.5627,CSV:math_quiz_2026.csv
S006,Q008,导数极值问题,0.6461,0.7713,-0.1252,0.4687,1,0.5313,CSV:math_quiz_2026.csv
S006,Q009,向量数量积,0.6461,-0.1248,0.7709,0.6837,0,-0.6837,CSV:math_quiz_2026.csv
S007,Q001,代数基础-因式分解,-0.1022,-2.1862,2.084,0.8893,1,0.1107,CSV:math_quiz_2026.csv
S007,Q002,二次函数顶点式,-0.1022,-0.4814,0.3792,0.5937,0,-0.5937,CSV:math_quiz_2026.csv
S007,Q003,三角恒等变换,-0.1022,0.9049,-1.0071,0.2676,0,-0.2676,CSV:math_quiz_2026.csv
S007,Q004,立体几何体积,-0.1022,-0.1248,0.0226,0.5056,1,0.4944,CSV:math_quiz_2026.csv
S007,Q005,圆锥曲线离心率,-0.1022,0.5482,-0.6504,0.3429,0,-0.3429,CSV:math_quiz_2026.csv
S007,Q006,概率古典概型,-0.1022,-0.1248,0.0226,0.5056,1,0.4944,CSV:math_quiz_2026.csv
S007,Q008,导数极值问题,-0.1022,0.7713,-0.8735,0.2945,0,-0.2945,CSV:math_quiz_2026.csv
S007,Q009,向量数量积,-0.1022,-0.1248,0.0226,0.5056,1,0.4944,CSV:math_quiz_2026.csv
S008,Q001,代数基础-因式分解,0.6461,-2.1862,2.8323,0.9444,1,0.0556,CSV:math_quiz_2026.csv
S008,Q002,二次函数顶点式,0.6461,-0.4814,1.1275,0.7554,1,0.2446,CSV:math_quiz_2026.csv
S008,Q003,三角恒等变换,0.6461,0.9049,-0.2588,0.4357,0,-0.4357,CSV:math_quiz_2026.csv
S008,Q004,立体几何体积,0.6461,-0.1248,0.7709,0.6837,0,-0.6837,CSV:math_quiz_2026.csv
S008,Q005,圆锥曲线离心率,0.6461,0.5482,0.0979,0.5245,1,0.4755,CSV:math_quiz_2026.csv
S008,Q006,概率古典概型,0.6461,-0.1248,0.7709,0.6837,1,0.3163,CSV:math_quiz_2026.csv
S008,Q007,数列通项公式,0.6461,0.394,0.2521,0.5627,1,0.4373,CSV:math_quiz_2026.csv
S008,Q008,导数极值问题,0.6461,0.7713,-0.1252,0.4687,1,0.5313,CSV:math_quiz_2026.csv
S008,Q009,向量数量积,0.6461,-0.1248,0.7709,0.6837,0,-0.6837,CSV:math_quiz_2026.csv
S009,Q001,代数基础-因式分解,-0.2702,-2.1862,1.916,0.8717,1,0.1283,CSV:math_quiz_2026.csv
S009,Q002,二次函数顶点式,-0.2702,-0.4814,0.2112,0.5526,0,-0.5526,CSV:math_quiz_2026.csv
S009,Q003,三角恒等变换,-0.2702,0.9049,-1.1751,0.2359,1,0.7641,CSV:math_quiz_2026.csv
S009,Q004,立体几何体积,-0.2702,-0.1248,-0.1454,0.4637,0,-0.4637,CSV:math_quiz_2026.csv
S009,Q005,圆锥曲线离心率,-0.2702,0.5482,-0.8184,0.3061,1,0.6939,CSV:math_quiz_2026.csv
S009,Q006,概率古典概型,-0.2702,-0.1248,-0.1454,0.4637,1,0.5363,CSV:math_quiz_2026.csv
S009,Q007,数列通项公式,-0.2702,0.394,-0.6642,0.3398,0,-0.3398,CSV:math_quiz_2026.csv
S009,Q008,导数极值问题,-0.2702,0.7713,-1.0415,0.2609,0,-0.2609,CSV:math_quiz_2026.csv
S009,Q009,向量数量积,-0.2702,-0.1248,-0.1454,0.4637,0,-0.4637,CSV:math_quiz_2026.csv
S010,Q001,代数基础-因式分解,0.6461,-2.1862,2.8323,0.9444,1,0.0556,CSV:math_quiz_2026.csv
S010,Q002,二次函数顶点式,0.6461,-0.4814,1.1275,0.7554,1,0.2446,CSV:math_quiz_2026.csv
S010,Q003,三角恒等变换,0.6461,0.9049,-0.2588,0.4357,0,-0.4357,CSV:math_quiz_2026.csv
S010,Q004,立体几何体积,0.6461,-0.1248,0.7709,0.6837,1,0.3163,CSV:math_quiz_2026.csv
S010,Q005,圆锥曲线离心率,0.6461,0.5482,0.0979,0.5245,0,-0.5245,CSV:math_quiz_2026.csv
S010,Q006,概率古典概型,0.6461,-0.1248,0.7709,0.6837,1,0.3163,CSV:math_quiz_2026.csv
S010,Q007,数列通项公式,0.6461,0.394,0.2521,0.5627,0,-0.5627,CSV:math_quiz_2026.csv
S010,Q008,导数极值问题,0.6461,0.7713,-0.1252,0.4687,1,0.5313,CSV:math_quiz_2026.csv
S010,Q009,向量数量积,0.6461,-0.1248,0.7709,0.6837,1,0.3163,CSV:math_quiz_2026.csv
S011,Q001,代数基础-因式分解,0.1761,-2.1862,2.3623,0.9139,1,0.0861,CSV:math_quiz_2026.csv
S011,Q002,二次函数顶点式,0.1761,-0.4814,0.6575,0.6587,0,-0.6587,CSV:math_quiz_2026.csv
S011,Q003,三角恒等变换,0.1761,0.9049,-0.7288,0.3255,1,0.6745,CSV:math_quiz_2026.csv
S011,Q004,立体几何体积,0.1761,-0.1248,0.3008,0.5747,1,0.4253,CSV:math_quiz_2026.csv
S011,Q005,圆锥曲线离心率,0.1761,0.5482,-0.3721,0.408,1,0.592,CSV:math_quiz_2026.csv
S011,Q006,概率古典概型,0.1761,-0.1248,0.3008,0.5747,0,-0.5747,CSV:math_quiz_2026.csv
S011,Q007,数列通项公式,0.1761,0.394,-0.2179,0.4457,0,-0.4457,CSV:math_quiz_2026.csv
S011,Q008,导数极值问题,0.1761,0.7713,-0.5952,0.3554,0,-0.3554,CSV:math_quiz_2026.csv
S011,Q009,向量数量积,0.1761,-0.1248,0.3008,0.5747,1,0.4253,CSV:math_quiz_2026.csv
S012,Q001,代数基础-因式分解,-0.2702,-2.1862,1.916,0.8717,1,0.1283,CSV:math_quiz_2026.csv
S012,Q002,二次函数顶点式,-0.2702,-0.4814,0.2112,0.5526,1,0.4474,CSV:math_quiz_2026.csv
S012,Q003,三角恒等变换,-0.2702,0.9049,-1.1751,0.2359,0,-0.2359,CSV:math_quiz_2026.csv
S012,Q004,立体几何体积,-0.2702,-0.1248,-0.1454,0.4637,0,-0.4637,CSV:math_quiz_2026.csv
S012,Q005,圆锥曲线离心率,-0.2702,0.5482,-0.8184,0.3061,0,-0.3061,CSV:math_quiz_2026.csv
S012,Q006,概率古典概型,-0.2702,-0.1248,-0.1454,0.4637,0,-0.4637,CSV:math_quiz_2026.csv
S012,Q007,数列通项公式,-0.2702,0.394,-0.6642,0.3398,1,0.6602,CSV:math_quiz_2026.csv
S012,Q008,导数极值问题,-0.2702,0.7713,-1.0415,0.2609,0,-0.2609,CSV:math_quiz_2026.csv
S012,Q009,向量数量积,-0.2702,-0.1248,-0.1454,0.4637,1,0.5363,CSV:math_quiz_2026.csv
S013,Q010,复数模运算,5.0,-4.7883,9.7883,0.9999,1,0.0001,CSV:math_quiz_2026.csv
S014,Q011,排列组合基础,-5.0,5.2117,-10.2117,0.0,0,-0.0,CSV:math_quiz_2026.csv
