级别,类别,行号,字段,修改前,修改后,原因,潜在后果
INFO,单位换算,#13,平衡浓度,15.63 ppm,15.6300 mg/L 当量,ppm ≈ mg/L（水溶液近似）,
INFO,单位换算,#14,初始浓度,100 ppm,100.0000 mg/L 当量,ppm ≈ mg/L（水溶液近似）,
INFO,单位换算,#14,平衡浓度,41.27 ppm,41.2700 mg/L 当量,ppm ≈ mg/L（水溶液近似）,
INFO,单位换算,#15,初始浓度,200 ppm,200.0000 mg/L 当量,ppm ≈ mg/L（水溶液近似）,
INFO,单位换算,#15,平衡浓度,99.85 ppm,99.8500 mg/L 当量,ppm ≈ mg/L（水溶液近似）,
INFO,单位换算,#16,初始浓度,10 mg/L,10.0000 mg/L 当量,mg/L,
INFO,单位换算,#16,平衡浓度,3.74 mg/L,3.7400 mg/L 当量,mg/L,
INFO,单位换算,#16,温度,25℃,298.15 K,℃(25.00) → K,
INFO,单位换算,#17,初始浓度,20 mg/L,20.0000 mg/L 当量,mg/L,
INFO,单位换算,#17,平衡浓度,9.88 mg/L,9.8800 mg/L 当量,mg/L,
INFO,单位换算,#17,温度,25℃,298.15 K,℃(25.00) → K,
INFO,单位换算,#18,初始浓度,50 mg/L,50.0000 mg/L 当量,mg/L,
INFO,单位换算,#18,平衡浓度,31.25 mg/L,31.2500 mg/L 当量,mg/L,
INFO,单位换算,#18,温度,25℃,298.15 K,℃(25.00) → K,
INFO,单位换算,#19,初始浓度,100 mg/L,100.0000 mg/L 当量,mg/L,
INFO,单位换算,#19,平衡浓度,72.06 mg/L,72.0600 mg/L 当量,mg/L,
INFO,单位换算,#19,温度,25℃,298.15 K,℃(25.00) → K,
INFO,单位换算,#20,初始浓度,200 mg/L,200.0000 mg/L 当量,mg/L,
INFO,单位换算,#20,平衡浓度,168.43 mg/L,168.4300 mg/L 当量,mg/L,
INFO,单位换算,#20,温度,25℃,298.15 K,℃(25.00) → K,
INFO,单位换算,#21,初始浓度,10 mg/L,10.0000 mg/L 当量,mg/L,
INFO,单位换算,#21,平衡浓度,5.22 mg/L,5.2200 mg/L 当量,mg/L,
INFO,单位换算,#22,初始浓度,20 mg/L,20.0000 mg/L 当量,mg/L,
INFO,单位换算,#22,平衡浓度,12.68 mg/L,12.6800 mg/L 当量,mg/L,
INFO,单位换算,#23,初始浓度,50 mg/L,50.0000 mg/L 当量,mg/L,
INFO,单位换算,#23,平衡浓度,36.94 mg/L,36.9400 mg/L 当量,mg/L,
INFO,单位换算,#24,初始浓度,100 mg/L,100.0000 mg/L 当量,mg/L,
INFO,单位换算,#24,平衡浓度,81.72 mg/L,81.7200 mg/L 当量,mg/L,
INFO,单位换算,#25,初始浓度,200 mg/L,200.0000 mg/L 当量,mg/L,
INFO,单位换算,#25,平衡浓度,175.08 mg/L,175.0800 mg/L 当量,mg/L,
INFO,单位换算,#26,初始浓度,30 mg/L,30.0000 mg/L 当量,mg/L,
INFO,单位换算,#26,平衡浓度,0.01 mg/L,0.0100 mg/L 当量,mg/L,
INFO,单位换算,#27,初始浓度,30 mg/L,30.0000 mg/L 当量,mg/L,
INFO,单位换算,#27,平衡浓度,8.12 mg/L,8.1200 mg/L 当量,mg/L,
WARN,异常值警示,#4,吸光度,4.563,保留但警示,吸光度=4.563超出常规量程（0~3），且未标注稀释，怀疑比色皿/操作问题,如该点显著偏离拟合曲线，建议人工复核或剔除
WARN,异常值警示,#14,吸光度,4.127,保留但警示,吸光度=4.127超出常规量程（0~3），且未标注稀释，怀疑比色皿/操作问题,如该点显著偏离拟合曲线，建议人工复核或剔除
WARN,异常值警示,#19,吸光度,7.206,保留但警示,吸光度=7.206超出常规量程（0~3），且未标注稀释，怀疑比色皿/操作问题,如该点显著偏离拟合曲线，建议人工复核或剔除
WARN,异常值警示,#24,吸光度,8.172,保留但警示,吸光度=8.172超出常规量程（0~3），且未标注稀释，怀疑比色皿/操作问题,如该点显著偏离拟合曲线，建议人工复核或剔除
ERROR,异常值剔除,#26,吸光度,9.999,(删除该行),备注明确标记异常：【异常】比色皿没放好，重测见#27,该点Ce/qe将不参与拟合，保留原始记录供追溯
INFO,修正记录,#27,数据来源,(替换前序异常点),采用该行,备注：【修正】#26的正确值,
