参照试卷,目标试卷,原始分,等值分,方法,斜率,截距,标准误
A卷,B卷,63,63.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,64,64.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,65,65.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,66,66.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,67,67.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,68,68.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,69,69.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,70,70.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,71,71.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,72,72.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,73,73.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,74,74.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,75,75.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,76,76.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,77,77.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,78,78.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,79,79.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,80,80.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,81,81.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,82,82.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,83,83.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,84,84.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,85,85.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,86,86.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,87,87.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,88,88.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,89,89.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,90,90.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,91,91.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,92,92.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,93,93.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,94,94.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,95,95.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,96,96.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,97,97.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,98,98.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,99,99.0,irt_true_score,1.0,-0.0,19.4276
A卷,B卷,100,100.0,irt_true_score,1.0,-0.0,19.4276
