time,displacement,student_id,mass,spring_constant
3.6180,-0.0065,S001,0.5,25.0
3.6683,-0.0052,S001,0.5,25.0
3.7185,-0.0037,S001,0.5,25.0
3.7688,-0.0021,S001,0.5,25.0
3.8190,-0.0006,S001,0.5,25.0
3.8693,0.0008,S001,0.5,25.0
3.9195,0.0019,S001,0.5,25.0
3.9698,0.0026,S001,0.5,25.0
4.0200,0.0029,S001,0.5,25.0
4.0703,0.0028,S001,0.5,25.0
4.1205,0.0024,S001,0.5,25.0
4.1708,0.0018,S001,0.5,25.0
4.2210,0.0010,S001,0.5,25.0
4.2713,0.0002,S001,0.5,25.0
4.3215,-0.0006,S001,0.5,25.0
4.3718,-0.0012,S001,0.5,25.0
4.4220,-0.0016,S001,0.5,25.0
4.4723,-0.0018,S001,0.5,25.0
4.5225,-0.0018,S001,0.5,25.0
4.5728,-0.0016,S001,0.5,25.0
4.6230,-0.0013,S001,0.5,25.0
4.6733,-0.0009,S001,0.5,25.0
4.7235,-0.0005,S001,0.5,25.0
4.7738,-0.0001,S001,0.5,25.0
4.8240,0.0003,S001,0.5,25.0
4.8743,0.0005,S001,0.5,25.0
4.9245,0.0007,S001,0.5,25.0
4.9748,0.0007,S001,0.5,25.0
5.0250,0.0006,S001,0.5,25.0
5.0753,0.0005,S001,0.5,25.0
5.1255,0.0003,S001,0.5,25.0
5.1758,0.0001,S001,0.5,25.0
5.2260,-0.0001,S001,0.5,25.0
5.2763,-0.0002,S001,0.5,25.0
5.3265,-0.0003,S001,0.5,25.0
5.3768,-0.0003,S001,0.5,25.0
5.4270,-0.0003,S001,0.5,25.0
5.4773,-0.0002,S001,0.5,25.0
5.5275,-0.0001,S001,0.5,25.0
5.5778,-0.0000,S001,0.5,25.0
5.6280,0.0001,S001,0.5,25.0
5.6783,0.0001,S001,0.5,25.0
5.7285,0.0002,S001,0.5,25.0
5.7788,0.0002,S001,0.5,25.0
5.8290,0.0001,S001,0.5,25.0
5.8793,0.0001,S001,0.5,25.0
5.9295,0.0000,S001,0.5,25.0
5.9798,-0.0000,S001,0.5,25.0
6.0300,-0.0001,S001,0.5,25.0
6.0803,-0.0001,S001,0.5,25.0
6.1305,-0.0001,S001,0.5,25.0
6.1808,-0.0001,S001,0.5,25.0
6.2310,-0.0000,S001,0.5,25.0
6.2813,0.0000,S001,0.5,25.0
6.3315,0.0000,S001,0.5,25.0
6.3818,0.0001,S001,0.5,25.0
6.4320,0.0001,S001,0.5,25.0
6.4823,0.0001,S001,0.5,25.0
6.5325,0.0001,S001,0.5,25.0
6.5828,0.0000,S001,0.5,25.0
6.6330,0.0000,S001,0.5,25.0
6.6833,-0.0000,S001,0.5,25.0
6.7335,-0.0000,S001,0.5,25.0
6.7838,-0.0001,S001,0.5,25.0
6.8340,-0.0001,S001,0.5,25.0
6.8843,-0.0001,S001,0.5,25.0
6.9345,-0.0000,S001,0.5,25.0
6.9848,-0.0000,S001,0.5,25.0
7.0350,0.0000,S001,0.5,25.0
7.0853,0.0000,S001,0.5,25.0
7.1355,0.0001,S001,0.5,25.0
7.1858,0.0001,S001,0.5,25.0
7.2360,0.0001,S001,0.5,25.0
7.2863,0.0001,S001,0.5,25.0
7.3365,0.0000,S001,0.5,25.0
7.3868,0.0000,S001,0.5,25.0
7.4370,-0.0000,S001,0.5,25.0
7.4873,-0.0000,S001,0.5,25.0
7.5375,-0.0000,S001,0.5,25.0
7.5878,-0.0000,S001,0.5,25.0
7.6380,-0.0000,S001,0.5,25.0
7.6883,-0.0000,S001,0.5,25.0
7.7385,-0.0000,S001,0.5,25.0
7.7888,0.0000,S001,0.5,25.0
7.8390,0.0000,S001,0.5,25.0
7.8893,0.0000,S001,0.5,25.0
7.9395,0.0000,S001,0.5,25.0
7.9898,0.0000,S001,0.5,25.0
8.0400,0.0000,S001,0.5,25.0
8.0903,0.0000,S001,0.5,25.0
8.1405,0.0000,S001,0.5,25.0
8.1908,0.0000,S001,0.5,25.0
8.2410,0.0000,S001,0.5,25.0
8.2913,0.0000,S001,0.5,25.0
8.3415,0.0000,S001,0.5,25.0
8.3918,0.0000,S001,0.5,25.0
8.4420,0.0000,S001,0.5,25.0
8.4923,0.0000,S001,0.5,25.0
8.5425,0.0000,S001,0.5,25.0
8.5928,0.0000,S001,0.5,25.0
8.6430,0.0000,S001,0.5,25.0
8.6933,0.0000,S001,0.5,25.0
8.7435,0.0000,S001,0.5,25.0
8.7938,0.0000,S001,0.5,25.0
8.8440,0.0000,S001,0.5,25.0
8.8943,0.0000,S001,0.5,25.0
8.9445,0.0000,S001,0.5,25.0
8.9948,0.0000,S001,0.5,25.0
9.0450,0.0000,S001,0.5,25.0
9.0953,0.0000,S001,0.5,25.0
9.1455,0.0000,S001,0.5,25.0
9.1958,0.0000,S001,0.5,25.0
9.2460,0.0000,S001,0.5,25.0
9.2963,0.0000,S001,0.5,25.0
9.3465,0.0000,S001,0.5,25.0
9.3968,0.0000,S001,0.5,25.0
9.4470,0.0000,S001,0.5,25.0
9.4973,0.0000,S001,0.5,25.0
9.5475,0.0000,S001,0.5,25.0
9.5978,0.0000,S001,0.5,25.0
9.6480,0.0000,S001,0.5,25.0
9.6983,0.0000,S001,0.5,25.0
9.7485,0.0000,S001,0.5,25.0
9.7988,0.0000,S001,0.5,25.0
9.8490,0.0000,S001,0.5,25.0
9.8993,0.0000,S001,0.5,25.0
9.9495,0.0000,S001,0.5,25.0
10.0000,0.0000,S001,0.5,25.0
