type,severity,message,trade_index,symbol,datetime,expected,actual,diff,details
fee_mismatch,warning,"手续费差异: 第60笔 重算=12.72, 原始=3721.94",60,000002.SZ,2024-02-02T00:00:00,3721.94,12.720624,-3709.219376,"{'diff_pct': 583.1819847831364, 'amount': 63603.12, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第61笔 重算=2523.39, 原始=9.69",61,600519.SH,2024-02-02T00:00:00,9.69,2523.3900959999996,2513.7000959999996,"{'diff_pct': 1.9923198557247568, 'amount': 12616950.479999999, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第64笔 重算=5.00, 原始=0.73",64,600000.SH,2024-02-06T00:00:00,0.73,5.0,4.27,"{'diff_pct': 17.680280897015468, 'amount': 2415.12, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第66笔 重算=82.19, 原始=89.04",66,000001.SZ,2024-02-07T00:00:00,89.04,82.186776,-6.8532240000000115,"{'diff_pct': 1.0006316344614874, 'amount': 68488.98, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第67笔 重算=8076.50, 原始=176.01",67,600519.SH,2024-02-13T00:00:00,176.01,8076.504719999999,7900.494719999999,"{'diff_pct': 11.73848588303679, 'amount': 6730420.6, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第68笔 重算=152.36, 原始=3930.47",68,000002.SZ,2024-02-13T00:00:00,3930.47,152.358912,-3778.1110879999997,"{'diff_pct': 297.5692886019034, 'amount': 126965.76, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第69笔 重算=4327.05, 原始=157.64",69,600519.SH,2024-02-13T00:00:00,157.64,4327.046711999999,4169.406711999999,"{'diff_pct': 11.56282422494911, 'amount': 3605872.26, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第70笔 重算=117.34, 原始=8766.89",70,600519.SH,2024-02-13T00:00:00,8766.89,117.341196,-8649.548804,"{'diff_pct': 147.42561178599203, 'amount': 586705.98, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第71笔 重算=2524.05, 原始=4687.63",71,600519.SH,2024-02-13T00:00:00,4687.63,2524.046592,-2163.583408,"{'diff_pct': 1.7143767590166579, 'amount': 12620232.959999999, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第73笔 重算=19.69, 原始=83.90",73,600000.SH,2024-02-14T00:00:00,83.9,19.6899,-64.21010000000001,"{'diff_pct': 43.71037243275993, 'amount': 14689.9, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第74笔 重算=77.45, 原始=19.39",74,600000.SH,2024-02-14T00:00:00,19.39,77.44572,58.055719999999994,"{'diff_pct': 8.995573157561193, 'amount': 64538.1, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第77笔 重算=68.50, 原始=75.34",77,600000.SH,2024-02-15T00:00:00,75.34,68.49792000000001,-6.842079999999996,"{'diff_pct': 1.1986489516761962, 'amount': 57081.6, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第81笔 重算=5.14, 原始=7.91",81,600000.SH,2024-02-21T00:00:00,7.91,5.1405,-2.7695,"{'diff_pct': 1.077521641863632, 'amount': 25702.5, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第82笔 重算=64.41, 原始=70.62",82,600000.SH,2024-02-21T00:00:00,70.62,64.413,-6.207000000000008,"{'diff_pct': 1.156350426156212, 'amount': 53677.5, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第83笔 重算=42.41, 原始=70.49",83,600000.SH,2024-02-22T00:00:00,70.49,42.411168,-28.07883199999999,"{'diff_pct': 7.944746629001114, 'amount': 35342.64, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第84笔 重算=11.17, 原始=44.92",84,000001.SZ,2024-02-22T00:00:00,44.92,11.166642,-33.753358000000006,"{'diff_pct': 6.045390906236629, 'amount': 55833.21, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第85笔 重算=66.28, 原始=16.75",85,600000.SH,2024-02-22T00:00:00,16.75,66.28464,49.534639999999996,"{'diff_pct': 8.967623268377109, 'amount': 55237.2, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第86笔 重算=56.66, 原始=62.60",86,000001.SZ,2024-02-23T00:00:00,62.6,56.656152,-5.943848000000003,"{'diff_pct': 1.2589308218461437, 'amount': 47213.46, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第88笔 重算=53.00, 原始=59.34",88,600000.SH,2024-02-27T00:00:00,59.34,52.996320000000004,-6.343679999999999,"{'diff_pct': 1.4364046409260112, 'amount': 44163.6, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第92笔 重算=736.26, 原始=1134.90",92,600519.SH,2024-02-28T00:00:00,1134.9,736.2617200000001,-398.63828,"{'diff_pct': 1.0828711290327575, 'amount': 3681308.6, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第93笔 重算=6.67, 原始=3.81",93,600000.SH,2024-02-29T00:00:00,3.81,6.66659,2.85659,"{'diff_pct': 17.140328455108932, 'amount': 1666.5900000000001, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第94笔 重算=8666.11, 原始=34.57",94,600519.SH,2024-02-29T00:00:00,34.57,8666.107596,8631.537596,"{'diff_pct': 11.952130758197432, 'amount': 7221756.33, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第95笔 重算=86.33, 原始=7.98",95,000001.SZ,2024-02-29T00:00:00,7.98,86.33001599999999,78.35001599999998,"{'diff_pct': 10.890768188899674, 'amount': 71941.68, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第96笔 重算=63.82, 原始=9715.54",96,000001.SZ,2024-02-29T00:00:00,9715.54,63.821520000000014,-9651.718480000001,"{'diff_pct': 1814.758121711924, 'amount': 53184.600000000006, 'direction': -1}"
fee_mismatch,warning,"手续费差异: 第97笔 重算=5.00, 原始=2.17",97,000001.SZ,2024-02-29T00:00:00,2.17,5.0,2.83,"{'diff_pct': 2.1530212289414745, 'amount': 13144.32, 'direction': 1}"
fee_mismatch,warning,"手续费差异: 第98笔 重算=5.41, 原始=88.93",98,600000.SH,2024-02-29T00:00:00,88.93,5.409454,-83.52054600000001,"{'diff_pct': 30.879473603066042, 'amount': 27047.27, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第1笔 重算=2.11, 原始=0.00",1,600000.SH,2024-01-01T00:00:00,0.0,2.1119999999999997,2.1119999999999997,"{'diff_pct': 2.9999999999999996, 'amount': 7040.0, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第10笔 重算=15.31, 原始=3.67",10,000001.SZ,2024-01-05T00:00:00,3.67,15.311478,11.641478,"{'diff_pct': 2.280931599157181, 'amount': 51038.26, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第11笔 重算=914.94, 原始=1.84",11,600519.SH,2024-01-05T00:00:00,1.84,914.9420159999999,913.1020159999998,"{'diff_pct': 2.9939668307898537, 'amount': 3049806.7199999997, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第12笔 重算=1.88, 原始=894.97",12,000001.SZ,2024-01-05T00:00:00,894.97,1.8846959999999997,-893.0853040000001,"{'diff_pct': 1421.5851850908584, 'amount': 6282.32, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第13笔 重算=3.67, 原始=15.31",13,600000.SH,2024-01-05T00:00:00,15.31,3.6734999999999998,-11.636500000000002,"{'diff_pct': 9.50306247447938, 'amount': 12245.0, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第18笔 重算=1894.20, 原始=0.00",18,600519.SH,2024-01-10T00:00:00,0.0,1894.200285,1894.200285,"{'diff_pct': 2.9999999999999996, 'amount': 6314000.95, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第23笔 重算=13.91, 原始=27.33",23,000001.SZ,2024-01-12T00:00:00,27.33,13.90824,-13.421759999999999,"{'diff_pct': 2.8950665217166223, 'amount': 46360.8, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第24笔 重算=28.34, 原始=13.91",24,000001.SZ,2024-01-12T00:00:00,13.91,28.344125999999996,14.434125999999996,"{'diff_pct': 1.5277372814388417, 'amount': 94480.42, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第32笔 重算=25.34, 原始=0.00",32,000001.SZ,2024-01-22T00:00:00,0.0,25.341732,25.341732,"{'diff_pct': 2.9999999999999996, 'amount': 84472.44, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第36笔 重算=3.39, 原始=10.13",36,600000.SH,2024-01-24T00:00:00,10.13,3.3863999999999996,-6.743600000000001,"{'diff_pct': 5.97413182140326, 'amount': 11288.0, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第37笔 重算=10.37, 原始=3.29",37,000001.SZ,2024-01-24T00:00:00,3.29,10.374593999999998,7.084593999999998,"{'diff_pct': 2.0486374695723026, 'amount': 34581.98, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第43笔 重算=17.51, 原始=0.00",43,600000.SH,2024-01-26T00:00:00,0.0,17.514774,17.514774,"{'diff_pct': 2.9999999999999996, 'amount': 58382.58, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第47笔 重算=1.03, 原始=43.42",47,000002.SZ,2024-01-29T00:00:00,43.42,1.028595,-42.391405,"{'diff_pct': 123.63876452831289, 'amount': 3428.65, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第48笔 重算=5.09, 原始=0.00",48,000001.SZ,2024-01-29T00:00:00,0.0,5.0904929999999995,5.0904929999999995,"{'diff_pct': 3.0000000000000004, 'amount': 16968.309999999998, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第49笔 重算=43.42, 原始=0.00",49,000002.SZ,2024-01-29T00:00:00,0.0,43.420967999999995,43.420967999999995,"{'diff_pct': 2.9999999999999996, 'amount': 144736.56, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第50笔 重算=2912.76, 原始=1.06",50,600519.SH,2024-01-29T00:00:00,1.06,2912.756433,2911.696433,"{'diff_pct': 2.9989082506302367, 'amount': 9709188.110000001, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第51笔 重算=0.20, 原始=3866.27",51,600000.SH,2024-01-29T00:00:00,3866.27,0.19522799999999998,-3866.074772,"{'diff_pct': 59408.611039400086, 'amount': 650.76, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第53笔 重算=1696.38, 原始=0.00",53,600519.SH,2024-01-30T00:00:00,0.0,1696.3830419999997,1696.3830419999997,"{'diff_pct': 2.9999999999999996, 'amount': 5654610.14, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第60笔 重算=19.08, 原始=3721.94",60,000002.SZ,2024-02-02T00:00:00,3721.94,19.080935999999998,-3702.859064,"{'diff_pct': 582.1819847831365, 'amount': 63603.12, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第61笔 重算=3785.09, 原始=0.00",61,600519.SH,2024-02-02T00:00:00,0.0,3785.085143999999,3785.085143999999,"{'diff_pct': 2.9999999999999996, 'amount': 12616950.479999999, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第67笔 重算=2019.13, 原始=176.01",67,600519.SH,2024-02-13T00:00:00,176.01,2019.1261799999997,1843.1161799999998,"{'diff_pct': 2.7384858830367897, 'amount': 6730420.6, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第68笔 重算=38.09, 原始=3930.47",68,000002.SZ,2024-02-13T00:00:00,3930.47,38.089727999999994,-3892.380272,"{'diff_pct': 306.5692886019034, 'amount': 126965.76, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第69笔 重算=1081.76, 原始=36.38",69,600519.SH,2024-02-13T00:00:00,36.38,1081.7616779999998,1045.3816779999997,"{'diff_pct': 2.8991090161358066, 'amount': 3605872.26, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第70笔 重算=176.01, 原始=2023.13",70,600519.SH,2024-02-13T00:00:00,2023.13,176.011794,-1847.118206,"{'diff_pct': 31.482859711094136, 'amount': 586705.98, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第71笔 重算=3786.07, 原始=1081.76",71,600519.SH,2024-02-13T00:00:00,1081.76,3786.0698879999995,2704.309888,"{'diff_pct': 2.142836742056464, 'amount': 12620232.959999999, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第73笔 重算=4.41, 原始=19.36",73,600000.SH,2024-02-14T00:00:00,19.36,4.406969999999999,-14.95303,"{'diff_pct': 10.179123070953512, 'amount': 14689.9, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第74笔 重算=19.36, 原始=4.48",74,600000.SH,2024-02-14T00:00:00,4.48,19.36143,14.881429999999998,"{'diff_pct': 2.3058363974148604, 'amount': 64538.1, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第83笔 重算=10.60, 原始=16.27",83,600000.SH,2024-02-22T00:00:00,16.27,10.602791999999999,-5.6672080000000005,"{'diff_pct': 1.6035044354354968, 'amount': 35342.64, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第84笔 重算=16.75, 原始=10.37",84,000001.SZ,2024-02-22T00:00:00,10.37,16.749962999999997,6.379962999999998,"{'diff_pct': 1.142682464432906, 'amount': 55833.21, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第93笔 重算=0.50, 原始=3.81",93,600000.SH,2024-02-29T00:00:00,3.81,0.49997699999999995,-3.310023,"{'diff_pct': 19.861051608373984, 'amount': 1666.5900000000001, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第94笔 重算=2166.53, 原始=0.00",94,600519.SH,2024-02-29T00:00:00,0.0,2166.526899,2166.526899,"{'diff_pct': 2.9999999999999996, 'amount': 7221756.33, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第95笔 重算=21.58, 原始=7.98",95,000001.SZ,2024-02-29T00:00:00,7.98,21.582503999999997,13.602503999999996,"{'diff_pct': 1.8907681888996752, 'amount': 71941.68, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第96笔 重算=15.96, 原始=2242.05",96,000001.SZ,2024-02-29T00:00:00,2242.05,15.95538,-2226.0946200000003,"{'diff_pct': 418.5600004512585, 'amount': 53184.600000000006, 'direction': -1}"
slippage_exceeded,warning,"滑点差异: 第97笔 重算=3.94, 原始=0.50",97,000001.SZ,2024-02-29T00:00:00,0.5,3.9432959999999992,3.4432959999999992,"{'diff_pct': 2.619607556724121, 'amount': 13144.32, 'direction': 1}"
slippage_exceeded,warning,"滑点差异: 第98笔 重算=8.11, 原始=20.52",98,600000.SH,2024-02-29T00:00:00,20.52,8.114181,-12.405819,"{'diff_pct': 4.586717624366526, 'amount': 27047.27, 'direction': 1}"
fee_tier_mismatch,warning,"手续费阶梯不匹配: 累计金额=22970.00, 使用费率=0.000300, 预期费率=0.001300",2,000001.SZ,2024-01-01T00:00:00,0.0013,0.0003,,"{'total_amount': 22970.0, 'direction': -1, 'tiers': [1000000, 5000000]}"
fee_tier_mismatch,warning,"手续费阶梯不匹配: 累计金额=13299812.15, 使用费率=0.000300, 预期费率=0.001000",3,600519.SH,2024-01-02T00:00:00,0.001,0.0003,,"{'total_amount': 13299812.15, 'direction': -1, 'tiers': [1000000, 5000000]}"
fee_tier_mismatch,warning,"手续费阶梯不匹配: 累计金额=13324215.32, 使用费率=0.000200, 预期费率=0.001000",4,000001.SZ,2024-01-03T00:00:00,0.001,0.0002,,"{'total_amount': 13324215.32, 'direction': -1, 'tiers': [1000000, 5000000]}"
fee_tier_mismatch,warning,"手续费阶梯不匹配: 累计金额=25258437.62, 使用费率=0.000200, 预期费率=0.001000",6,600519.SH,2024-01-04T00:00:00,0.001,0.0002,,"{'total_amount': 25258437.619999997, 'direction': -1, 'tiers': [1000000, 5000000]}"
fee_tier_mismatch,warning,"手续费阶梯不匹配: 累计金额=25315985.51, 使用费率=0.000200, 预期费率=0.001000",7,000002.SZ,2024-01-04T00:00:00,0.001,0.0002,,"{'total_amount': 25315985.509999998, 'direction': -1, 'tiers': [1000000, 5000000]}"
fee_tier_mismatch,warning,"手续费阶梯不匹配: 累计金额=25380750.84, 使用费率=0.000200, 预期费率=0.001000",9,000001.SZ,2024-01-04T00:00:00,0.001,0.0002,,"{'total_amount': 25380750.839999996, 'direction': -1, 'tiers': [1000000, 5000000]}"
fee_tier_mismatch,warning,"手续费阶梯不匹配: 累计金额=25431789.10, 使用费率=0.000200, 预期费率=0.001000",10,000001.SZ,2024-01-05T00:00:00,0.001,0.0002,,"{'total_amount': 25431789.099999998, 'direction': -1, 'tiers': [1000000, 5000000]}"
fee_tier_mismatch,warning,"手续费阶梯不匹配: 累计金额=28481595.82, 使用费率=0.000200, 预期费率=0.001000",11,600519.SH,2024-01-05T00:00:00,0.001,0.0002,,"{'total_amount': 28481595.819999997, 'direction': -1, 'tiers': [1000000, 5000000]}"
fee_tier_mismatch,warning,"手续费阶梯不匹配: 累计金额=28487878.14, 使用费率=0.000200, 预期费率=0.001000",12,000001.SZ,2024-01-05T00:00:00,0.001,0.0002,,"{'total_amount': 28487878.139999997, 'direction': -1, 'tiers': [1000000, 5000000]}"
