"exception_type","exception_code","exception_message","record_type","batch_no","supplier_code","status","expected_value","actual_value","resolution","resolved_by","created_at"
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH004","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH004","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH004","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH004","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH004","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH004","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH004","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH004","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH004","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH004","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH003","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH003","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH003","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH003","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH003","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH003","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH003","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH003","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH003","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH003","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH003","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH003","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH003","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH003","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH003","SUP002","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH003","SUP002","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH003","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH003","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH003","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH003","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH002","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH002","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH002","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH002","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH002","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH002","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH002","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH002","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH002","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH002","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH002","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH002","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH002","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH002","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH002","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH002","SUP004","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH002","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH002","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH002","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH002","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH001","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH001","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH001","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH001","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH001","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH001","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH001","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH001","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH001","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH001","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH001","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH001","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH001","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH001","SUP005","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH001","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH001","SUP001","pending",,,,,
"missing_document","MISSING_001","缺少物流回单","ReturnApplication","BATCH001","SUP003","pending",,,,,
"missing_document","MISSING_001","缺少质检照片","ReturnApplication","BATCH001","SUP003","pending",,,,,
