参照试卷,目标试卷,原始分,等值分,方法,斜率,截距,标准误
A卷,B卷,69,452.75,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,70,459.36,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,71,465.97,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,72,472.58,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,73,479.19,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,74,485.8,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,75,492.41,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,76,499.02,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,77,505.62,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,78,512.23,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,79,518.84,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,80,525.45,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,81,532.06,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,82,538.67,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,83,545.28,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,84,551.89,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,85,558.5,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,86,565.1,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,87,571.71,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,88,578.32,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,89,584.93,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,90,591.54,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,91,598.15,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,92,604.76,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,93,611.37,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,94,617.98,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,95,624.58,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,96,631.19,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,97,637.8,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,98,644.41,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,99,651.02,anchor_mean_sigma,6.6089,-3.2596,0.1948
A卷,B卷,100,657.63,anchor_mean_sigma,6.6089,-3.2596,0.1948
