sample_id,timestamp,battery_id,voltage_mv,current_ma,resistance_raw_mohm,temperature_c,data_source,operator,remark_id
BAT-S094,2026-06-12 17:05:00,BT-2026-004,4058,145.0,94.5,27.6,Meter-B,王工,RM-OLD-001
BAT-S095,2026-06-12 17:10:00,BT-2026-004,4055,145.4,96.3,27.8,Meter-B,王工,RM-OLD-001
BAT-S096,2026-06-12 17:15:00,BT-2026-004,4052,144.9,98.9,27.7,Meter-B,王工,RM-OLD-001
BAT-S097,2026-06-12 17:20:00,BT-2026-004,4050,145.1,102.7,27.9,Meter-B,王工,RM-OLD-001
BAT-S098,2026-06-12 17:25:00,BT-2026-004,4048,145.3,95.8,27.8,Meter-B,王工,RM-OLD-001
BAT-S099,2026-06-12 17:30:00,BT-2026-004,4045,144.8,97.2,28.0,Meter-B,王工,RM-OLD-001
BAT-S100,2026-06-12 17:35:00,BT-2026-004,4042,145.2,99.9,27.9,Meter-B,王工,RM-OLD-001
BAT-S101,2026-06-12 17:40:00,BT-2026-004,4040,145.0,56.2,28.1,Manual-Recalc,王工,WR-001
BAT-S102,2026-06-12 17:45:00,BT-2026-004,4038,145.4,55.8,28.0,Manual-Recalc,王工,WR-001
BAT-S103,2026-06-12 17:50:00,BT-2026-004,4035,144.9,57.1,28.2,Manual-Recalc,王工,WR-001
BAT-S104,2026-06-12 17:55:00,BT-2026-004,4032,145.1,54.9,28.1,Manual-Recalc,王工,WR-001
BAT-S105,2026-06-12 18:00:00,BT-2026-004,4030,145.3,58.3,28.3,Manual-Recalc,王工,WR-001
BAT-S106,2026-06-12 18:05:00,BT-2026-004,4028,144.8,55.5,28.2,Manual-Recalc,王工,WR-001
BAT-S107,2026-06-12 18:10:00,BT-2026-004,4025,145.2,56.8,28.4,Manual-Recalc,王工,WR-001
BAT-S108,2026-06-12 18:15:00,BT-2026-004,4022,145.0,54.2,28.3,Manual-Recalc,王工,WR-001
BAT-S109,2026-06-12 18:20:00,BT-2026-004,4020,145.4,57.6,28.5,Manual-Recalc,王工,WR-001
BAT-S110,2026-06-12 18:25:00,BT-2026-004,4018,144.9,55.1,28.4,Manual-Recalc,王工,WR-001
BAT-S111,2026-06-12 18:30:00,BT-2026-005,4155,150.0,25.6,28.6,Meter-A,张工,VN-001
BAT-S112,2026-06-12 18:35:00,BT-2026-005,4152,150.3,25.8,28.5,Meter-A,张工,VN-001
BAT-S113,2026-06-12 18:40:00,BT-2026-005,4150,149.8,25.4,28.7,Meter-A,张工,VN-001
BAT-S114,2026-06-12 18:45:00,BT-2026-005,4148,150.2,26.1,28.8,Meter-A,张工,VN-001
BAT-S115,2026-06-12 18:50:00,BT-2026-005,4145,150.1,25.9,28.7,Meter-A,张工,VN-001
BAT-S116,2026-06-12 18:55:00,BT-2026-005,4142,149.9,25.7,28.9,Meter-A,张工,VN-001
BAT-S117,2026-06-12 19:00:00,BT-2026-005,4140,150.4,26.3,29.0,Meter-A,张工,VN-001
BAT-S118,2026-06-12 19:05:00,BT-2026-005,4138,150.0,26.0,28.9,Meter-A,张工,VN-001
BAT-S119,2026-06-12 19:10:00,BT-2026-005,4135,150.3,26.5,29.1,Meter-A,张工,VN-001
BAT-S120,2026-06-12 19:15:00,BT-2026-005,4132,149.8,26.2,29.0,Meter-A,张工,VN-001
BAT-S121,2026-06-12 19:20:00,BT-2026-005,4130,150.2,26.4,29.2,Meter-A,张工,VN-001
BAT-S122,2026-06-12 19:25:00,BT-2026-005,4128,150.1,26.7,29.3,Meter-A,张工,VN-001
BAT-S123,2026-06-12 19:30:00,BT-2026-005,4125,149.9,26.6,29.2,Meter-A,张工,VN-001
BAT-S124,2026-06-12 19:35:00,BT-2026-005,4122,150.3,26.9,29.4,Meter-A,张工,VN-001
BAT-S125,2026-06-12 19:40:00,BT-2026-005,4120,150.0,26.8,29.3,Meter-A,张工,VN-001
BAT-S126,2026-06-12 19:45:00,BT-2026-005,4118,149.8,27.1,29.5,Meter-A,张工,VN-001
BAT-S127,2026-06-12 19:50:00,BT-2026-005,4115,150.2,27.0,29.4,Meter-A,张工,VN-001
BAT-S128,2026-06-12 19:55:00,BT-2026-005,4112,150.1,27.3,29.6,Meter-A,张工,VN-001
BAT-S129,2026-06-12 20:00:00,BT-2026-005,4110,149.9,27.2,29.5,Meter-A,张工,VN-001
BAT-S130,2026-06-12 20:05:00,BT-2026-005,4108,150.3,27.5,29.7,Meter-A,张工,VN-001
BAT-S131,2026-06-12 20:10:00,BT-2026-005,4105,150.0,27.4,29.6,Meter-A,张工,VN-001
BAT-S132,2026-06-12 20:15:00,BT-2026-005,4102,149.8,27.7,29.8,Meter-A,张工,VN-001
BAT-S133,2026-06-12 20:20:00,BT-2026-005,4100,150.2,27.6,29.7,Meter-A,张工,VN-001
BAT-S134,2026-06-12 20:25:00,BT-2026-005,4098,150.1,27.9,29.9,Meter-A,张工,VN-001
BAT-S135,2026-06-12 20:30:00,BT-2026-005,4095,149.9,27.8,29.8,Meter-A,张工,VN-001
BAT-S136,2026-06-12 20:35:00,BT-2026-005,4092,150.3,28.1,30.0,Meter-A,张工,VN-001
BAT-S137,2026-06-12 20:40:00,BT-2026-005,4090,150.0,28.0,29.9,Meter-A,张工,VN-001
BAT-S138,2026-06-12 20:45:00,BT-2026-005,4088,149.8,28.3,30.1,Meter-A,张工,VN-001
BAT-S139,2026-06-12 20:50:00,BT-2026-005,4085,150.2,28.2,30.0,Meter-A,张工,VN-001
BAT-S140,2026-06-12 20:55:00,BT-2026-005,4082,150.1,28.5,30.2,Meter-A,张工,VN-001
BAT-S141,2026-06-12 21:00:00,BT-2026-006,4195,150.5,20.5,30.1,Meter-C,赵工,
BAT-S142,2026-06-12 21:05:00,BT-2026-006,4192,150.7,20.7,30.2,Meter-C,赵工,
BAT-S143,2026-06-12 21:10:00,BT-2026-006,4190,150.3,20.4,30.1,Meter-C,赵工,
BAT-S144,2026-06-12 21:15:00,BT-2026-006,4188,150.8,20.9,30.3,Meter-C,赵工,
BAT-S145,2026-06-12 21:20:00,BT-2026-006,4185,150.5,20.6,30.2,Meter-C,赵工,
BAT-S146,2026-06-12 21:25:00,BT-2026-006,4182,150.2,20.8,30.4,Meter-C,赵工,
BAT-S147,2026-06-12 21:30:00,BT-2026-006,4180,150.6,20.5,30.3,Meter-C,赵工,
BAT-S148,2026-06-12 21:35:00,BT-2026-006,4178,150.9,21.1,30.5,Meter-C,赵工,
BAT-S149,2026-06-12 21:40:00,BT-2026-006,4175,150.4,20.7,30.4,Meter-C,赵工,
BAT-S150,2026-06-12 21:45:00,BT-2026-006,4172,150.7,21.3,30.6,Meter-C,赵工,
