来电时间,等待时长(秒),通话时长(秒),坐席工号,是否放弃
2026-06-01 20:30:45,12,185,A002,False
2026-06-01 20:45:23,18,160,A003,False
2026-06-01 21:00:56,8,175,A004,False
2026-06-02 08:05:12,15,190,A001,False
2026-06-02 08:15:34,22,165,A002,False
2026-06-02 08:25:45,8,175,A003,False
2026-06-02 08:35:23,28,200,A001,False
2026-06-02 08:45:56,12,155,A004,False
2026-06-02 09:00:12,35,185,A002,False
2026-06-02 09:10:34,42,210,A001,False
2026-06-02 09:20:45,18,170,A003,False
2026-06-02 09:30:23,25,195,A004,False
2026-06-02 09:40:56,32,180,A002,False
2026-06-02 09:50:12,8,165,A001,False
2026-06-02 10:00:34,45,205,A003,False
2026-06-02 10:10:45,28,175,A004,False
2026-06-02 10:20:23,35,190,A001,False
2026-06-02 10:30:56,18,160,A002,False
2026-06-02 10:40:12,22,185,A003,False
2026-06-02 10:50:34,15,170,A004,False
2026-06-02 11:00:45,38,200,A001,False
2026-06-02 11:10:23,25,180,A002,False
2026-06-02 11:20:56,12,155,A003,False
2026-06-02 11:30:12,28,190,A004,False
2026-06-02 11:40:34,8,175,A001,False
2026-06-02 13:00:45,30,185,A002,False
2026-06-02 13:10:23,42,210,A003,False
2026-06-02 13:20:56,25,170,A004,False
2026-06-02 13:30:12,18,195,A001,False
2026-06-02 13:40:34,35,180,A002,False
2026-06-02 13:50:45,15,165,A003,False
2026-06-02 14:00:23,45,205,A004,False
2026-06-02 14:10:56,28,190,A001,False
2026-06-02 14:20:12,35,175,A002,False
2026-06-02 14:30:34,12,160,A003,False
2026-06-02 14:40:45,22,185,A004,False
2026-06-02 14:50:23,18,170,A001,False
2026-06-02 15:00:56,38,200,A002,False
2026-06-02 15:10:12,25,180,A003,False
2026-06-02 15:20:34,8,155,A004,False
2026-06-02 15:30:45,30,190,A001,False
2026-06-02 15:40:23,42,210,A002,False
2026-06-02 15:50:56,18,175,A003,False
2026-06-02 16:00:12,28,165,A004,False
2026-06-02 16:10:34,35,185,A001,False
2026-06-02 16:20:45,15,195,A002,False
2026-06-02 16:30:23,45,205,A003,False
2026-06-02 16:40:56,22,180,A004,False
2026-06-02 17:00:12,18,170,A001,False
2026-06-02 17:10:34,8,155,A002,False
2026-06-02 17:20:45,25,190,A003,False
2026-06-02 17:30:23,35,175,A004,False
2026-06-02 17:40:56,12,160,A001,False
2026-06-02 17:50:12,28,185,A002,False
2026-06-02 18:00:34,15,170,A003,False
2026-06-02 18:10:45,8,155,A004,False
2026-06-02 18:20:23,22,180,A001,False
2026-06-02 18:30:56,18,165,A002,False
2026-06-02 18:40:12,12,175,A003,False
2026-06-02 18:50:34,25,195,A004,False
2026-06-02 19:00:45,8,160,A001,False
2026-06-02 19:10:23,18,170,A002,False
2026-06-02 19:20:56,15,185,A003,False
2026-06-02 19:30:12,28,175,A004,False
2026-06-02 19:40:34,12,155,A001,False
2026-06-02 20:00:45,8,165,A002,False
2026-06-02 20:15:23,18,180,A003,False
2026-06-02 20:30:56,12,170,A004,False
2026-06-02 20:45:12,8,155,A001,False
