客户,日期,机柜ID,电表读数(kWh),PUE系数,分摊后电量(kWh),峰时电费(元),谷时电费(元),总电费(元),抄表记录ID,PUE记录ID
客户C,2026-05-13,R004,18,1.35,24.3,15.79,7.29,23.08,8e14297a,a3fd04f0
客户A,2026-05-14,R001,24,1.35,32.4,21.06,9.72,30.78,52b08de2,a3fd04f0
客户A,2026-05-14,R002,20,1.35,27.0,17.55,8.1,25.65,160d2b4e,a3fd04f0
客户C,2026-05-14,R004,18,1.35,24.3,15.79,7.29,23.08,0accfcc3,a3fd04f0
客户A,2026-05-15,R001,25,1.35,33.75,21.94,10.12,32.06,51c0105e,a3fd04f0
客户A,2026-05-15,R002,20,1.35,27.0,17.55,8.1,25.65,61ba9552,a3fd04f0
客户C,2026-05-15,R004,18,1.35,24.3,15.79,7.29,23.08,8e7c515f,a3fd04f0
客户A,2026-05-16,R001,24,1.35,32.4,21.06,9.72,30.78,c7b1b19b,a3fd04f0
客户A,2026-05-16,R002,20,1.35,27.0,17.55,8.1,25.65,9f6e1530,a3fd04f0
客户B,2026-05-16,R003,30,1.35,40.5,26.33,12.15,38.48,5eed4d39,a3fd04f0
客户C,2026-05-16,R004,18,1.35,24.3,15.79,7.29,23.08,ef202f27,a3fd04f0
客户A,2026-05-17,R001,24,1.35,32.4,21.06,9.72,30.78,2443a239,a3fd04f0
客户A,2026-05-17,R002,20,1.35,27.0,17.55,8.1,25.65,cbaa7ec4,a3fd04f0
客户B,2026-05-17,R003,30,1.35,40.5,26.33,12.15,38.48,3030e490,a3fd04f0
客户C,2026-05-17,R004,18,1.35,24.3,15.79,7.29,23.08,d4740393,a3fd04f0
客户A,2026-05-18,R001,24,1.35,32.4,21.06,9.72,30.78,6c3f9f4c,a3fd04f0
客户A,2026-05-18,R002,20,1.35,27.0,17.55,8.1,25.65,c782d11f,a3fd04f0
客户B,2026-05-18,R003,30,1.35,40.5,26.33,12.15,38.48,3af9f417,a3fd04f0
客户C,2026-05-18,R004,18,1.35,24.3,15.79,7.29,23.08,8baa6e24,a3fd04f0
客户A,2026-05-19,R001,24,1.35,32.4,21.06,9.72,30.78,83dd9a62,a3fd04f0
客户A,2026-05-19,R002,20,1.35,27.0,17.55,8.1,25.65,05fa4c57,a3fd04f0
客户B,2026-05-19,R003,30,1.35,40.5,26.33,12.15,38.48,a5d2b325,a3fd04f0
客户C,2026-05-19,R004,18,1.35,24.3,15.79,7.29,23.08,9776389d,a3fd04f0
客户A,2026-05-20,R001,24,1.38,33.12,21.53,9.94,31.47,553cf805,08c53d4a
客户A,2026-05-20,R002,20,1.38,27.6,17.94,8.28,26.22,d7b61525,08c53d4a
客户B,2026-05-20,R003,30,1.38,41.4,26.91,12.42,39.33,bc713f07,08c53d4a
客户C,2026-05-20,R004,18,1.38,24.84,16.15,7.45,23.6,c07a9c9c,08c53d4a
客户A,2026-05-21,R001,24,1.38,33.12,21.53,9.94,31.47,65526d8c,08c53d4a
客户A,2026-05-21,R002,20,1.38,27.6,17.94,8.28,26.22,1d097ed3,08c53d4a
客户B,2026-05-21,R003,30,1.38,41.4,26.91,12.42,39.33,0e3bd6eb,08c53d4a
客户C,2026-05-21,R004,18,1.38,24.84,16.15,7.45,23.6,ac1aac6f,08c53d4a
客户A,2026-05-22,R001,24,1.38,33.12,21.53,9.94,31.47,9012b822,08c53d4a
客户A,2026-05-22,R002,20,1.38,27.6,17.94,8.28,26.22,6ff6ed3e,08c53d4a
客户B,2026-05-22,R003,30,1.38,41.4,26.91,12.42,39.33,879abf99,08c53d4a
客户C,2026-05-22,R004,18,1.38,24.84,16.15,7.45,23.6,4a164396,08c53d4a
客户A,2026-05-23,R001,24,1.38,33.12,21.53,9.94,31.47,ac975d61,08c53d4a
客户A,2026-05-23,R002,20,1.38,27.6,17.94,8.28,26.22,79601b21,08c53d4a
客户B,2026-05-23,R003,30,1.38,41.4,26.91,12.42,39.33,3658be2a,08c53d4a
客户C,2026-05-23,R004,18,1.38,24.84,16.15,7.45,23.6,1a075bf8,08c53d4a
客户A,2026-05-24,R001,24,1.38,33.12,21.53,9.94,31.47,0c4b3b74,08c53d4a
客户A,2026-05-24,R002,20,1.38,27.6,17.94,8.28,26.22,9c40e454,08c53d4a
客户B,2026-05-24,R003,30,1.38,41.4,26.91,12.42,39.33,2aad90d1,08c53d4a
客户C,2026-05-24,R004,18,1.38,24.84,16.15,7.45,23.6,5dbe97b0,08c53d4a
客户A,2026-05-25,R001,24,1.38,33.12,21.53,9.94,31.47,41a75ec1,08c53d4a
客户A,2026-05-25,R002,20,1.38,27.6,17.94,8.28,26.22,9a4b4697,08c53d4a
客户B,2026-05-25,R003,30,1.38,41.4,26.91,12.42,39.33,a3bcd0e8,08c53d4a
客户C,2026-05-25,R004,18,1.38,24.84,16.15,7.45,23.6,7a255816,08c53d4a
客户A,2026-05-26,R001,24,1.38,33.12,21.53,9.94,31.47,17c11383,08c53d4a
客户A,2026-05-26,R002,20,1.38,27.6,17.94,8.28,26.22,1a9019f1,08c53d4a
客户B,2026-05-26,R003,30,1.38,41.4,26.91,12.42,39.33,6f129f9d,08c53d4a
客户C,2026-05-26,R004,18,1.38,24.84,16.15,7.45,23.6,488ae71e,08c53d4a
客户A,2026-05-27,R001,24,1.38,33.12,21.53,9.94,31.47,ccd8f9fd,08c53d4a
客户A,2026-05-27,R002,20,1.38,27.6,17.94,8.28,26.22,00335e6d,08c53d4a
客户B,2026-05-27,R003,30,1.38,41.4,26.91,12.42,39.33,c6ddc8b7,08c53d4a
客户C,2026-05-27,R004,18,1.38,24.84,16.15,7.45,23.6,3788e159,08c53d4a
客户A,2026-05-28,R001,24,1.38,33.12,21.53,9.94,31.47,01b09351,08c53d4a
客户A,2026-05-28,R002,20,1.38,27.6,17.94,8.28,26.22,74e4e6c1,08c53d4a
客户B,2026-05-28,R003,30,1.38,41.4,26.91,12.42,39.33,fce6833c,08c53d4a
客户C,2026-05-28,R004,18,1.38,24.84,16.15,7.45,23.6,8d728351,08c53d4a
客户A,2026-05-29,R001,24,1.38,33.12,21.53,9.94,31.47,512e36da,08c53d4a
客户A,2026-05-29,R002,20,1.38,27.6,17.94,8.28,26.22,023d1b3b,08c53d4a
客户B,2026-05-29,R003,30,1.38,41.4,26.91,12.42,39.33,902580ef,08c53d4a
客户C,2026-05-29,R004,18,1.38,24.84,16.15,7.45,23.6,f7614093,08c53d4a
客户A,2026-05-30,R001,24,1.38,33.12,21.53,9.94,31.47,995a5a07,08c53d4a
客户A,2026-05-30,R002,20,1.38,27.6,17.94,8.28,26.22,b2df40ec,08c53d4a
客户B,2026-05-30,R003,30,1.38,41.4,26.91,12.42,39.33,c03901f5,08c53d4a
客户C,2026-05-30,R004,18,1.38,24.84,16.15,7.45,23.6,d32e1084,08c53d4a
客户A,2026-05-31,R001,24,1.38,33.12,21.53,9.94,31.47,587ef6fb,08c53d4a
客户A,2026-05-31,R002,20,1.38,27.6,17.94,8.28,26.22,cb020e20,08c53d4a
客户B,2026-05-31,R003,30,1.38,41.4,26.91,12.42,39.33,970683a0,08c53d4a
客户C,2026-05-31,R004,18,1.38,24.84,16.15,7.45,23.6,d95b474c,08c53d4a
