客户,日期,机柜ID,时段,小时数,电量(kWh),单价(元/kWh),电费(元),峰谷标识
客户C,2026-05-03,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-03,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-04,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-04,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-04,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-04,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-04,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-04,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-04,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-04,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-04,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-04,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-04,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-04,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-04,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-04,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-04,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-04,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-04,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-04,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-04,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-04,R002,谷段,6,6.75,0.4,2.7,谷时
客户C,2026-05-04,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-04,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-04,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-04,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-04,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-04,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-04,R004,平段,2,2.025,0.8,1.62,谷时
客户C,2026-05-04,R004,平段,3,3.0375,0.8,2.43,谷时
客户C,2026-05-04,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-04,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-05,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-05,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-05,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-05,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-05,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-05,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-05,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-05,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-05,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-05,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-05,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-05,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-05,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-05,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-05,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-05,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-05,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-05,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-05,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-05,R002,谷段,6,6.75,0.4,2.7,谷时
客户C,2026-05-05,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-05,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-05,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-05,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-05,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-05,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-05,R004,平段,2,2.025,0.8,1.62,谷时
客户C,2026-05-05,R004,平段,3,3.0375,0.8,2.43,谷时
客户C,2026-05-05,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-05,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-06,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-06,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-06,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-06,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-06,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-06,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-06,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-06,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-06,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-06,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-06,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-06,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-06,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-06,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-06,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-06,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-06,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-06,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-06,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-06,R002,谷段,6,6.75,0.4,2.7,谷时
客户C,2026-05-06,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-06,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-06,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-06,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-06,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-06,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-06,R004,平段,2,2.025,0.8,1.62,谷时
客户C,2026-05-06,R004,平段,3,3.0375,0.8,2.43,谷时
客户C,2026-05-06,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-06,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-07,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-07,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-07,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-07,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-07,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-07,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-07,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-07,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-07,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-07,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-07,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-07,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-07,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-07,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-07,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-07,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-07,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-07,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-07,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-07,R002,谷段,6,6.75,0.4,2.7,谷时
客户C,2026-05-07,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-07,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-07,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-07,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-07,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-07,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-07,R004,平段,2,2.025,0.8,1.62,谷时
客户C,2026-05-07,R004,平段,3,3.0375,0.8,2.43,谷时
客户C,2026-05-07,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-07,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-08,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-08,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-08,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-08,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-08,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-08,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-08,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-08,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-08,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-08,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-08,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-08,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-08,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-08,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-08,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-08,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-08,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-08,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-08,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-08,R002,谷段,6,6.75,0.4,2.7,谷时
客户C,2026-05-08,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-08,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-08,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-08,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-08,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-08,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-08,R004,平段,2,2.025,0.8,1.62,谷时
客户C,2026-05-08,R004,平段,3,3.0375,0.8,2.43,谷时
客户C,2026-05-08,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-08,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-09,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-09,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-09,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-09,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-09,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-09,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-09,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-09,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-09,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-09,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-09,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-09,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-09,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-09,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-09,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-09,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-09,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-09,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-09,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-09,R002,谷段,6,6.75,0.4,2.7,谷时
客户C,2026-05-09,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-09,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-09,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-09,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-09,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-09,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-09,R004,平段,2,2.025,0.8,1.62,谷时
客户C,2026-05-09,R004,平段,3,3.0375,0.8,2.43,谷时
客户C,2026-05-09,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-09,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-10,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-10,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-10,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-10,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-10,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-10,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-10,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-10,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-10,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-10,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-10,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-10,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-10,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-10,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-10,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-10,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-10,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-10,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-10,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-10,R002,谷段,6,6.75,0.4,2.7,谷时
客户A,2026-05-11,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-11,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-11,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-11,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-11,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-11,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-11,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-11,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-11,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-11,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-11,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-11,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-11,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-11,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-11,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-11,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-11,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-11,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-11,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-11,R002,谷段,6,6.75,0.4,2.7,谷时
客户A,2026-05-12,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-12,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-12,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-12,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-12,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-12,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-12,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-12,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-12,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-12,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-12,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-12,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-12,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-12,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-12,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-12,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-12,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-12,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-12,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-12,R002,谷段,6,6.75,0.4,2.7,谷时
客户C,2026-05-12,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-12,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-12,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-12,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-12,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-12,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-12,R004,平段,2,2.025,0.8,1.62,谷时
客户C,2026-05-12,R004,平段,3,3.0375,0.8,2.43,谷时
客户C,2026-05-12,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-12,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-13,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-13,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-13,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-13,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-13,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-13,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-13,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-13,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-13,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-13,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-13,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-13,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-13,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-13,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-13,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-13,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-13,R002,平段,2,2.25,0.8,1.8,谷时
客户A,2026-05-13,R002,平段,3,3.375,0.8,2.7,谷时
客户A,2026-05-13,R002,平段,1,1.125,0.8,0.9,谷时
客户A,2026-05-13,R002,谷段,6,6.75,0.4,2.7,谷时
客户C,2026-05-13,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-13,R004,尖峰,2,2.025,1.5,3.04,峰时
客户C,2026-05-13,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-13,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-13,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-13,R004,高峰,2,2.025,1.2,2.43,峰时
客户C,2026-05-13,R004,平段,2,2.025,0.8,1.62,谷时
客户C,2026-05-13,R004,平段,3,3.0375,0.8,2.43,谷时
客户C,2026-05-13,R004,平段,1,1.0125,0.8,0.81,谷时
客户C,2026-05-13,R004,谷段,6,6.075,0.4,2.43,谷时
客户A,2026-05-14,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-14,R001,尖峰,2,2.7,1.5,4.05,峰时
客户A,2026-05-14,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-14,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-14,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-14,R001,高峰,2,2.7,1.2,3.24,峰时
客户A,2026-05-14,R001,平段,2,2.7,0.8,2.16,谷时
客户A,2026-05-14,R001,平段,3,4.05,0.8,3.24,谷时
客户A,2026-05-14,R001,平段,1,1.35,0.8,1.08,谷时
客户A,2026-05-14,R001,谷段,6,8.1,0.4,3.24,谷时
客户A,2026-05-14,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-14,R002,尖峰,2,2.25,1.5,3.38,峰时
客户A,2026-05-14,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-14,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-14,R002,高峰,2,2.25,1.2,2.7,峰时
客户A,2026-05-14,R002,高峰,2,2.25,1.2,2.7,峰时
