学生ID,试卷版本,原始分,满分,锚题得分
S0162,B卷,81,100,4.2
S0163,B卷,73,100,3.18
S0164,B卷,91,100,4.96
S0165,B卷,65,100,2.85
S0166,B卷,50,100,2.53
S0167,B卷,49,100,2.34
S0168,B卷,77,100,3.24
S0169,B卷,90,100,4.79
S0170,B卷,45,100,1.74
S0171,B卷,58,100,2.47
S0172,B卷,58,100,2.01
S0173,B卷,59,100,3.37
S0174,B卷,46,100,2.13
S0175,B卷,41,100,2.16
S0176,B卷,59,100,3.41
S0177,B卷,65,100,3.01
S0178,B卷,70,100,3.21
S0179,B卷,43,100,2.15
S0180,B卷,60,100,2.93
S0181,B卷,67,100,3.06
S0182,B卷,68,100,3.79
S0183,B卷,46,100,2.73
S0184,B卷,59,100,2.6
S0185,B卷,96,100,4.65
S0186,B卷,81,100,4.13
S0187,B卷,38,100,1.86
S0188,B卷,55,100,2.24
S0189,B卷,37,100,1.81
S0190,B卷,70,100,3.48
S0191,B卷,58,100,2.54
S0192,B卷,48,100,2.14
S0193,B卷,48,100,2.24
S0194,B卷,62,100,2.71
S0195,B卷,59,100,2.6
S0196,B卷,62,100,3.13
S0197,B卷,64,100,3.21
S0198,B卷,39,100,1.76
S0199,B卷,66,100,3.36
S0200,B卷,40,100,1.97
