组合ID,包含题目,题目数量,组合权重,出现次数,状态(页面显示),状态(内部编码),运行ID,计算时间
Q003+Q005,Q003;Q005,2,175.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003+Q006,Q003;Q006,2,60.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003+Q007,Q003;Q007,2,30.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003+Q008,Q003;Q008,2,33.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q004+Q005,Q004;Q005,2,175.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q004+Q006,Q004;Q006,2,60.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q004+Q007,Q004;Q007,2,30.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q004+Q008,Q004;Q008,2,33.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q005+Q006,Q005;Q006,2,185.0000,3,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q005+Q007,Q005;Q007,2,155.0000,2,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q005+Q008,Q005;Q008,2,158.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q006+Q007,Q006;Q007,2,40.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q006+Q008,Q006;Q008,2,43.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q007+Q008,Q007;Q008,2,13.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q002+Q003,Q001;Q002;Q003,3,55.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q002+Q004,Q001;Q002;Q004,3,55.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q002+Q005,Q001;Q002;Q005,3,180.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q002+Q006,Q001;Q002;Q006,3,65.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q002+Q007,Q001;Q002;Q007,3,35.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q002+Q008,Q001;Q002;Q008,3,38.0000,12,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q003+Q004,Q001;Q003;Q004,3,60.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q003+Q005,Q001;Q003;Q005,3,185.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q003+Q006,Q001;Q003;Q006,3,70.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q003+Q007,Q001;Q003;Q007,3,40.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q003+Q008,Q001;Q003;Q008,3,43.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q004+Q005,Q001;Q004;Q005,3,185.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q004+Q006,Q001;Q004;Q006,3,70.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q004+Q007,Q001;Q004;Q007,3,40.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q004+Q008,Q001;Q004;Q008,3,43.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q005+Q006,Q001;Q005;Q006,3,195.0000,3,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q005+Q007,Q001;Q005;Q007,3,165.0000,2,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q005+Q008,Q001;Q005;Q008,3,168.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q006+Q007,Q001;Q006;Q007,3,50.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q006+Q008,Q001;Q006;Q008,3,53.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q007+Q008,Q001;Q007;Q008,3,23.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q003+Q004,Q002;Q003;Q004,3,70.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q003+Q005,Q002;Q003;Q005,3,195.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q003+Q006,Q002;Q003;Q006,3,80.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q003+Q007,Q002;Q003;Q007,3,50.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q003+Q008,Q002;Q003;Q008,3,53.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q004+Q005,Q002;Q004;Q005,3,195.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q004+Q006,Q002;Q004;Q006,3,80.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q004+Q007,Q002;Q004;Q007,3,50.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q004+Q008,Q002;Q004;Q008,3,53.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q005+Q006,Q002;Q005;Q006,3,205.0000,3,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q005+Q007,Q002;Q005;Q007,3,175.0000,2,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q005+Q008,Q002;Q005;Q008,3,178.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q006+Q007,Q002;Q006;Q007,3,60.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q006+Q008,Q002;Q006;Q008,3,63.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q007+Q008,Q002;Q007;Q008,3,33.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003+Q004+Q005,Q003;Q004;Q005,3,200.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003+Q004+Q006,Q003;Q004;Q006,3,85.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003+Q004+Q007,Q003;Q004;Q007,3,55.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003+Q004+Q008,Q003;Q004;Q008,3,58.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003+Q005+Q006,Q003;Q005;Q006,3,210.0000,3,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003+Q005+Q007,Q003;Q005;Q007,3,180.0000,2,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003+Q005+Q008,Q003;Q005;Q008,3,183.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003+Q006+Q007,Q003;Q006;Q007,3,65.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003+Q006+Q008,Q003;Q006;Q008,3,68.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003+Q007+Q008,Q003;Q007;Q008,3,38.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q004+Q005+Q006,Q004;Q005;Q006,3,210.0000,3,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q004+Q005+Q007,Q004;Q005;Q007,3,180.0000,2,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q004+Q005+Q008,Q004;Q005;Q008,3,183.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q004+Q006+Q007,Q004;Q006;Q007,3,65.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q004+Q006+Q008,Q004;Q006;Q008,3,68.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q004+Q007+Q008,Q004;Q007;Q008,3,38.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q005+Q006+Q007,Q005;Q006;Q007,3,190.0000,2,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q005+Q006+Q008,Q005;Q006;Q008,3,193.0000,3,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q005+Q007+Q008,Q005;Q007;Q008,3,163.0000,2,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q006+Q007+Q008,Q006;Q007;Q008,3,48.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
