时间,速度,电流,电压,区间,车站,列车号,坡度,坡度版本,运行方向,备注
2026-05-31 08:07:05,20,100,1490,车站G-车站H,车站G,T02,0.0,V1,上行,
2026-05-31 08:07:10,40,150,1485,车站G-车站H,车站G,T02,0.0,V1,上行,
2026-05-31 08:07:15,55,170,1480,车站G-车站H,车站G,T02,0.0,V1,上行,
2026-05-31 08:07:20,45,-120,1510,车站G-车站H,车站G,T02,0.0,V1,上行,
2026-05-31 08:07:25,25,-80,1505,车站G-车站H,车站G,T02,0.0,V1,上行,
2026-05-31 08:07:30,5,-20,1502,车站G-车站H,车站H,T02,0.0,V1,上行,
2026-05-31 08:07:35,0,0,1500,车站G-车站H,车站H,T02,0.0,V1,上行,
2026-05-31 08:07:40,0,0,1500,车站G-车站H,车站G,T02,0.0,V1,上行,重复2
2026-05-31 08:07:45,18,95,1492,车站G-车站H,车站G,T02,0.0,V1,上行,
2026-05-31 08:07:50,38,145,1487,车站G-车站H,车站G,T02,0.0,V1,上行,
2026-05-31 08:07:55,53,165,1482,车站G-车站H,车站G,T02,0.0,V1,上行,
2026-05-31 08:08:00,43,-115,1512,车站G-车站H,车站G,T02,0.0,V1,上行,
2026-05-31 08:08:05,23,-75,1507,车站G-车站H,车站G,T02,0.0,V1,上行,
2026-05-31 08:08:10,3,-15,1501,车站G-车站H,车站H,T02,0.0,V1,上行,
2026-05-31 08:08:15,0,0,1500,车站G-车站H,车站H,T02,0.0,V1,上行,
