rate_version,product_line,min_amount,max_amount,rate,effective_date,expiry_date
2024Q2,解决方案,50000,200000,0.06,2024-04-01,2024-06-30
2024Q2,解决方案,200000,500000,0.08,2024-04-01,2024-06-30
2024Q2,解决方案,500000,,0.12,2024-04-01,2024-06-30
2024Q2,咨询服务,0,50000,0.05,2024-04-01,2024-06-30
2024Q2,咨询服务,50000,200000,0.07,2024-04-01,2024-06-30
2024Q2,咨询服务,200000,500000,0.09,2024-04-01,2024-06-30
2024Q2,咨询服务,500000,,0.15,2024-04-01,2024-06-30
2026Q1,企业软件,0,50000,0.033,2026-01-01,2026-03-31
2026Q1,企业软件,50000,200000,0.055,2026-01-01,2026-03-31
2026Q1,企业软件,200000,500000,0.077,2026-01-01,2026-03-31
2026Q1,企业软件,500000,,0.11,2026-01-01,2026-03-31
2026Q1,云服务,0,50000,0.022,2026-01-01,2026-03-31
2026Q1,云服务,50000,200000,0.044,2026-01-01,2026-03-31
2026Q1,云服务,200000,500000,0.066,2026-01-01,2026-03-31
2026Q1,云服务,500000,,0.088,2026-01-01,2026-03-31
2026Q1,硬件设备,0,50000,0.0165,2026-01-01,2026-03-31
2026Q1,硬件设备,50000,200000,0.033,2026-01-01,2026-03-31
2026Q1,硬件设备,200000,500000,0.0495,2026-01-01,2026-03-31
2026Q1,硬件设备,500000,,0.066,2026-01-01,2026-03-31
2026Q1,解决方案,0,50000,0.044,2026-01-01,2026-03-31
2026Q1,解决方案,50000,200000,0.066,2026-01-01,2026-03-31
2026Q1,解决方案,200000,500000,0.088,2026-01-01,2026-03-31
2026Q1,解决方案,500000,,0.132,2026-01-01,2026-03-31
2026Q1,咨询服务,0,50000,0.055,2026-01-01,2026-03-31
2026Q1,咨询服务,50000,200000,0.077,2026-01-01,2026-03-31
2026Q1,咨询服务,200000,500000,0.099,2026-01-01,2026-03-31
2026Q1,咨询服务,500000,,0.165,2026-01-01,2026-03-31
2026Q2,企业软件,0,50000,0.033,2026-04-01,2026-06-30
2026Q2,企业软件,50000,200000,0.055,2026-04-01,2026-06-30
2026Q2,企业软件,200000,500000,0.077,2026-04-01,2026-06-30
2026Q2,企业软件,500000,,0.11,2026-04-01,2026-06-30
2026Q2,云服务,0,50000,0.022,2026-04-01,2026-06-30
2026Q2,云服务,50000,200000,0.044,2026-04-01,2026-06-30
2026Q2,云服务,200000,500000,0.066,2026-04-01,2026-06-30
2026Q2,云服务,500000,,0.088,2026-04-01,2026-06-30
2026Q2,硬件设备,0,50000,0.0165,2026-04-01,2026-06-30
2026Q2,硬件设备,50000,200000,0.033,2026-04-01,2026-06-30
2026Q2,硬件设备,200000,500000,0.0495,2026-04-01,2026-06-30
2026Q2,硬件设备,500000,,0.066,2026-04-01,2026-06-30
2026Q2,解决方案,0,50000,0.044,2026-04-01,2026-06-30
2026Q2,解决方案,50000,200000,0.066,2026-04-01,2026-06-30
2026Q2,解决方案,200000,500000,0.088,2026-04-01,2026-06-30
2026Q2,解决方案,500000,,0.132,2026-04-01,2026-06-30
2026Q2,咨询服务,0,50000,0.055,2026-04-01,2026-06-30
2026Q2,咨询服务,50000,200000,0.077,2026-04-01,2026-06-30
2026Q2,咨询服务,200000,500000,0.099,2026-04-01,2026-06-30
2026Q2,咨询服务,500000,,0.165,2026-04-01,2026-06-30
