student_id,item_id,is_correct,course_id,item_name,timestamp
S007,Q001,1,COURSE-MATH-2026,代数基础-因式分解,2026-05-20 09:07
S007,Q002,0,COURSE-MATH-2026,二次函数顶点式,2026-05-20 09:14
S007,Q003,0,COURSE-MATH-2026,三角恒等变换,2026-05-20 09:21
S007,Q004,1,COURSE-MATH-2026,立体几何体积,2026-05-20 09:29
S007,Q005,0,COURSE-MATH-2026,圆锥曲线离心率,2026-05-20 09:38
S007,Q006,1,COURSE-MATH-2026,概率古典概型,2026-05-20 09:45
S007,Q007,,COURSE-MATH-2026,数列通项公式,2026-05-20 09:52
S007,Q008,0,COURSE-MATH-2026,导数极值问题,2026-05-20 10:00
S007,Q009,1,COURSE-MATH-2026,向量数量积,2026-05-20 10:08
S008,Q001,1,COURSE-MATH-2026,代数基础-因式分解,2026-05-20 09:06
S008,Q002,1,COURSE-MATH-2026,二次函数顶点式,2026-05-20 09:13
S008,Q003,0,COURSE-MATH-2026,三角恒等变换,2026-05-20 09:20
S008,Q004,0,COURSE-MATH-2026,立体几何体积,2026-05-20 09:27
S008,Q005,1,COURSE-MATH-2026,圆锥曲线离心率,2026-05-20 09:36
S008,Q006,1,COURSE-MATH-2026,概率古典概型,2026-05-20 09:44
S008,Q007,1,COURSE-MATH-2026,数列通项公式,2026-05-20 09:51
S008,Q008,1,COURSE-MATH-2026,导数极值问题,2026-05-20 09:59
S008,Q009,0,COURSE-MATH-2026,向量数量积,2026-05-20 10:07
S009,Q001,1,COURSE-MATH-2026,代数基础-因式分解,2026-05-20 09:09
S009,Q002,0,COURSE-MATH-2026,二次函数顶点式,2026-05-20 09:16
S009,Q003,1,COURSE-MATH-2026,三角恒等变换,2026-05-20 09:24
S009,Q004,0,COURSE-MATH-2026,立体几何体积,2026-05-20 09:32
S009,Q005,1,COURSE-MATH-2026,圆锥曲线离心率,2026-05-20 09:41
S009,Q006,1,COURSE-MATH-2026,概率古典概型,2026-05-20 09:48
S009,Q007,0,COURSE-MATH-2026,数列通项公式,2026-05-20 09:56
S009,Q008,0,COURSE-MATH-2026,导数极值问题,2026-05-20 10:04
S009,Q009,0,COURSE-MATH-2026,向量数量积,2026-05-20 10:12
S010,Q001,1,COURSE-MATH-2026,代数基础-因式分解,2026-05-20 09:10
S010,Q002,1,COURSE-MATH-2026,二次函数顶点式,2026-05-20 09:17
S010,Q003,0,COURSE-MATH-2026,三角恒等变换,2026-05-20 09:25
S010,Q004,1,COURSE-MATH-2026,立体几何体积,2026-05-20 09:33
S010,Q005,0,COURSE-MATH-2026,圆锥曲线离心率,2026-05-20 09:42
S010,Q006,1,COURSE-MATH-2026,概率古典概型,2026-05-20 09:49
S010,Q007,0,COURSE-MATH-2026,数列通项公式,2026-05-20 09:57
S010,Q008,1,COURSE-MATH-2026,导数极值问题,2026-05-20 10:05
S010,Q009,1,COURSE-MATH-2026,向量数量积,2026-05-20 10:13
S011,Q001,1,COURSE-MATH-2026,代数基础-因式分解,2026-05-20 09:11
S011,Q002,0,COURSE-MATH-2026,二次函数顶点式,2026-05-20 09:18
S011,Q003,1,COURSE-MATH-2026,三角恒等变换,2026-05-20 09:26
S011,Q004,1,COURSE-MATH-2026,立体几何体积,2026-05-20 09:34
S011,Q005,1,COURSE-MATH-2026,圆锥曲线离心率,2026-05-20 09:43
S011,Q006,0,COURSE-MATH-2026,概率古典概型,2026-05-20 09:50
S011,Q007,0,COURSE-MATH-2026,数列通项公式,2026-05-20 09:58
S011,Q008,0,COURSE-MATH-2026,导数极值问题,2026-05-20 10:06
S011,Q009,1,COURSE-MATH-2026,向量数量积,2026-05-20 10:14
S012,Q001,1,COURSE-MATH-2026,代数基础-因式分解,2026-05-20 09:08
S012,Q002,1,COURSE-MATH-2026,二次函数顶点式,2026-05-20 09:15
S012,Q003,0,COURSE-MATH-2026,三角恒等变换,2026-05-20 09:23
S012,Q004,0,COURSE-MATH-2026,立体几何体积,2026-05-20 09:31
S012,Q005,0,COURSE-MATH-2026,圆锥曲线离心率,2026-05-20 09:40
S012,Q006,0,COURSE-MATH-2026,概率古典概型,2026-05-20 09:47
S012,Q007,1,COURSE-MATH-2026,数列通项公式,2026-05-20 09:55
S012,Q008,0,COURSE-MATH-2026,导数极值问题,2026-05-20 10:03
S012,Q009,1,COURSE-MATH-2026,向量数量积,2026-05-20 10:11
S013,Q010,1,COURSE-MATH-2026,复数模运算,2026-05-20 09:15
,Q011,1,COURSE-MATH-2026,排列组合基础,2026-05-20 09:20
S014,Q011,0,COURSE-MATH-2026,排列组合基础,2026-05-20 09:22
S014,,1,COURSE-MATH-2026,缺失题目ID样例,2026-05-20 09:25
