record_id,device_id,timestamp,source_file,final_status,processing_status,heat_dissipation_kW,is_duplicate_device,has_jump,failure_reasons,evidence_needed
R014,CT-007,2026-06-10 09:05:00,sensor_g.csv,待补证据_设备编号重复,calculated_but_duplicate,5932.1242,True,False,设备编号重复:设备CT-007出现2次，本条为第1条,设备编号重复:设备CT-007出现2次，本条为第1条
R015,CT-002,2026-06-10 09:10:00,sensor_b.csv,待补证据_设备编号重复,calculated_but_duplicate,6301.5867,True,True,设备编号重复:设备CT-002出现5次，本条为第4条,设备编号重复:设备CT-002出现5次，本条为第4条
R016,CT-008,2026-06-10 09:15:00,sensor_h.csv,已处理,calculated,6273.5568,False,False,,无
R017,CT-003,2026-06-10 09:20:00,,待补证据_设备编号重复,unit_or_threshold_issue,,True,False,"必要字段缺失:水流量数值缺失 | 必要字段缺失:水滴直径数值缺失 | 必要字段缺失:水温数值缺失 | 必要字段缺失:风速数值缺失 | 公式参数缺失:缺少参数water_flow,water_temperature,droplet_diameter | 设备编号重复:设备CT-003出现3次，本条为第3条","必要字段缺失:水流量数值缺失 | 必要字段缺失:水滴直径数值缺失 | 必要字段缺失:水温数值缺失 | 必要字段缺失:风速数值缺失 | 公式参数缺失:缺少参数water_flow,water_temperature,droplet_diameter | 设备编号重复:设备CT-003出现3次，本条为第3条"
R018,CT-005,2026-06-10 09:25:00,,待补证据_设备编号重复,unit_or_threshold_issue,,True,False,必要字段缺失:水温数值缺失 | 必要字段缺失:风速数值缺失 | 公式参数缺失:缺少参数water_temperature | 设备编号重复:设备CT-005出现2次，本条为第2条,必要字段缺失:水温数值缺失 | 必要字段缺失:风速数值缺失 | 公式参数缺失:缺少参数water_temperature | 设备编号重复:设备CT-005出现2次，本条为第2条
R019,CT-009,2026-06-10 09:30:00,sensor_i.csv,已处理,calculated,6085.3333,False,False,,无
R020,CT-001,2026-06-10 09:35:00,sensor_a.csv,待补证据_设备编号重复,calculated_but_duplicate,6467.0118,True,False,设备编号重复:设备CT-001出现5次，本条为第5条,设备编号重复:设备CT-001出现5次，本条为第5条
R021,CT-010,2026-06-10 09:40:00,sensor_j.csv,已处理,calculated,6169.0179,False,False,,无
R022,CT-006,2026-06-10 09:45:00,sensor_f.csv,待补证据_设备编号重复,calculated_but_duplicate,6266.8276,True,False,设备编号重复:设备CT-006出现2次，本条为第2条,设备编号重复:设备CT-006出现2次，本条为第2条
R023,CT-002,2026-06-10 09:50:00,sensor_b.csv,待补证据_设备编号重复,calculated_but_duplicate,6085.0868,True,False,设备编号重复:设备CT-002出现5次，本条为第5条,设备编号重复:设备CT-002出现5次，本条为第5条
R024,CT-011,2026-06-10 09:55:00,sensor_k.csv,已处理,calculated,5996.25,False,False,,无
R025,CT-007,2026-06-10 10:00:00,sensor_g.csv,待补证据_设备编号重复,calculated_but_duplicate,6368.1408,True,False,设备编号重复:设备CT-007出现2次，本条为第2条,设备编号重复:设备CT-007出现2次，本条为第2条
