source_row,ship_id,ship_name,record_time,longitude,latitude,speed_kn,heading_deg,water_depth_m,source_file,source_note
23,S002,浙象渔023,2024-06-15 05:15,121.951195,29.308513,4.5,251,15.23,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0515
24,S002,浙象渔023,2024-06-15 05:30,121.957486,29.308693,2.38,3,11.51,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0530
25,S002,浙象渔023,2024-06-15 05:45,121.960007,29.309909,2.02,130,13.0,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0545
26,S002,浙象渔023,2024-06-15 06:00,121.959548,29.31132,4.92,73,17.76,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0600
27,S002,浙象渔023,2024-06-15 06:15,121.957896,29.312963,7.25,45,16.16,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0615
28,S002,浙象渔023,2024-06-15 06:30,121.955078,29.318838,4.27,259,4.45,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0630
29,S002,浙象渔023,2024-06-15 06:45,121.950148,29.323707,7.92,343,4.85,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0645
30,S002,浙象渔023,2024-06-15 07:00,121.949007,29.328983,5.7,161,14.43,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0700
31,S002,浙象渔023,2024-06-15 07:15,121.953651,29.325469,6.61,228,9.03,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0715
32,S002,浙象渔023,2024-06-15 07:30,121.959147,29.329579,6.46,305,13.15,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0730
33,S002,浙象渔023,2024-06-15 07:45,121.955595,29.332228,7.77,136,9.35,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0745
34,S002,浙象渔023,2024-06-15 08:00,121.952949,29.328708,5.93,355,16.28,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0800
35,S002,浙象渔023,2024-06-15 08:15,121.955542,29.329483,3.11,324,5.78,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0815
36,S002,浙象渔023,2024-06-15 08:30,121.954944,29.329889,6.44,92,15.41,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0830
37,S002,浙象渔023,2024-06-15 08:45,121.961772,29.327176,2.53,247,9.29,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0845
38,S002,浙象渔023,2024-06-15 09:00,121.962288,29.328798,2.79,240,10.69,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0900
39,S002,浙象渔023,2024-06-15 09:15,121.962108,29.334019,7.47,84,10.21,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0915
40,S002,浙象渔023,2024-06-15 09:30,121.964453,29.334258,3.87,354,13.52,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0930
41,S002,浙象渔023,2024-06-15 09:45,121.97028,29.336182,5.03,257,14.3,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0945
42,S003,浙象渔088,2024-06-15 05:00,121.946637,29.216148,6.25,83,14.66,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0500
43,S003,浙象渔088,2024-06-15 05:15,121.949096,29.213175,6.55,29,17.7,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0515
44,S003,浙象渔088,2024-06-15 05:30,121.948302,29.21107,3.98,25,14.93,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0530
45,S003,浙象渔088,2024-06-15 05:45,121.948652,29.211881,3.18,144,13.0,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0545
46,S003,浙象渔088,2024-06-15 06:00,121.953372,29.213237,2.71,92,6.93,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0600
47,S003,浙象渔088,2024-06-15 06:15,121.96029,29.218421,2.59,130,10.78,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0615
48,S003,浙象渔088,2024-06-15 06:30,121.959368,29.214894,3.57,81,6.95,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0630
49,S003,浙象渔088,2024-06-15 06:45,121.964869,29.219844,2.28,333,8.43,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0645
50,S003,浙象渔088,2024-06-15 07:00,121.970433,29.221126,5.6,104,10.53,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0700
51,S003,浙象渔088,2024-06-15 07:15,121.978281,29.220878,2.63,258,11.05,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0715
52,S003,浙象渔088,2024-06-15 07:30,121.979512,29.220013,2.65,238,6.52,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0730
53,S003,浙象渔088,2024-06-15 07:45,121.980276,29.223169,4.67,233,11.94,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0745
54,S003,浙象渔088,2024-06-15 08:00,121.984539,29.226006,8.15,21,7.37,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0800
55,S003,浙象渔088,2024-06-15 08:15,121.986065,29.22268,8.45,189,11.84,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0815
56,S003,浙象渔088,2024-06-15 08:30,121.985259,29.228519,5.74,135,7.86,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0830
57,S003,浙象渔088,2024-06-15 08:45,121.988507,29.227332,4.35,89,17.75,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0845
58,S003,浙象渔088,2024-06-15 09:00,121.985692,29.228078,5.57,284,7.75,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0900
59,S003,浙象渔088,2024-06-15 09:15,121.988909,29.22434,7.77,248,5.34,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0915
60,S003,浙象渔088,2024-06-15 09:30,121.994012,29.220799,6.62,204,14.56,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0930
61,S003,浙象渔088,2024-06-15 09:45,121.999707,29.220329,8.33,3,13.64,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0945
62,S004,养殖运输船01,2024-06-15 05:00,121.949893,29.213535,2.44,179,5.3,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0500
63,S004,养殖运输船01,2024-06-15 05:15,121.952647,29.209699,6.69,233,16.19,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0515
64,S004,养殖运输船01,2024-06-15 05:30,121.952374,29.211099,5.69,148,11.8,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0530
65,S004,养殖运输船01,2024-06-15 05:45,121.955966,29.210081,4.72,207,4.0,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0545
66,S004,养殖运输船01,2024-06-15 06:00,121.957355,29.20609,7.78,180,10.76,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0600
67,S004,养殖运输船01,2024-06-15 06:15,121.952401,29.206899,8.03,29,4.87,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0615
68,S004,养殖运输船01,2024-06-15 06:30,121.956589,29.211703,5.51,309,3.89,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0630
69,S004,养殖运输船01,2024-06-15 06:45,121.96355,29.214512,7.88,113,11.9,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0645
70,S004,养殖运输船01,2024-06-15 07:00,121.969435,29.21402,7.92,111,14.44,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0700
71,S004,养殖运输船01,2024-06-15 07:15,121.969236,29.212442,8.09,6,12.9,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0715
72,S004,养殖运输船01,2024-06-15 07:30,121.968106,29.217365,5.11,248,9.57,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0730
73,S004,养殖运输船01,2024-06-15 07:45,121.968512,29.221079,6.8,234,17.41,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0745
74,S004,养殖运输船01,2024-06-15 08:00,121.969005,29.219529,2.76,290,14.3,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0800
75,S004,养殖运输船01,2024-06-15 08:15,121.968351,29.220949,5.77,253,11.69,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0815
76,S004,养殖运输船01,2024-06-15 08:30,121.965839,29.223718,3.4,201,11.92,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0830
77,S004,养殖运输船01,2024-06-15 08:45,121.969015,29.225584,6.7,245,16.73,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0845
78,S004,养殖运输船01,2024-06-15 09:00,121.971564,29.223911,6.85,214,9.95,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0900
79,S004,养殖运输船01,2024-06-15 09:15,121.968937,29.224117,7.65,141,6.94,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0915
80,S004,养殖运输船01,2024-06-15 09:30,121.96826,29.229654,6.28,84,9.76,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0930
81,S004,养殖运输船01,2024-06-15 09:45,121.967947,29.23084,4.68,93,13.29,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0945
