record_id,ship_id,ship_name,record_time,risk_level,risk_level_color,risk_score,nearest_station,estimated_tide_cm,water_depth_m,speed_kn,suggestion,factors_text,longitude,latitude,source_row,source_file,source_note
REC-00011,S001,浙象渔001,2024-06-15 07:30,注意,#f1c40f,1.12,T003,97.2,7.6,5.13,注意观察潮位和水深变化，谨慎作业,估算潮位 97cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,122.000955,29.258298,12,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0730
REC-00012,S001,浙象渔001,2024-06-15 07:45,注意,#f1c40f,1.12,T003,93.5,13.38,4.22,注意观察潮位和水深变化，谨慎作业,估算潮位 94cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,122.001589,29.254395,13,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0745
REC-00013,S001,浙象渔001,2024-06-15 08:00,注意,#f1c40f,1.12,T003,89.8,15.64,6.35,注意观察潮位和水深变化，谨慎作业,估算潮位 90cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,122.00797,29.255499,14,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0800
REC-00014,S001,浙象渔001,2024-06-15 08:15,注意,#f1c40f,1.12,T003,86.1,14.57,3.14,注意观察潮位和水深变化，谨慎作业,估算潮位 86cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,122.006487,29.2568,15,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0815
REC-00015,S001,浙象渔001,2024-06-15 08:30,注意,#f1c40f,1.12,T003,82.4,12.6,5.72,注意观察潮位和水深变化，谨慎作业,估算潮位 82cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,122.004655,29.254742,16,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0830
REC-00016,S001,浙象渔001,2024-06-15 08:45,注意,#f1c40f,2.0,T003,78.7,5.8,5.86,注意观察潮位和水深变化，谨慎作业,估算潮位仅 79cm，接近或低于最低安全线；该潮位站存在时区错误数据，风险评估结果仅供参考,122.009059,29.250904,17,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0845
REC-00017,S001,浙象渔001,2024-06-15 09:00,注意,#f1c40f,1.12,T003,82.5,16.69,4.07,注意观察潮位和水深变化，谨慎作业,估算潮位 82cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,122.006049,29.253859,18,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0900
REC-00018,S001,浙象渔001,2024-06-15 09:15,注意,#f1c40f,1.12,T003,88.1,9.2,7.56,注意观察潮位和水深变化，谨慎作业,估算潮位 88cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,122.003888,29.25349,19,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0915
REC-00019,S001,浙象渔001,2024-06-15 09:30,注意,#f1c40f,1.25,T003,93.7,3.56,5.57,注意观察潮位和水深变化，谨慎作业,估算潮位 94cm，处于中低水位；有效水深约 4.0m，需注意搁浅风险；该潮位站存在时区错误数据，风险评估结果仅供参考,122.001895,29.253292,20,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0930
REC-00020,S001,浙象渔001,2024-06-15 09:45,注意,#f1c40f,1.12,T003,99.2,8.48,2.28,注意观察潮位和水深变化，谨慎作业,估算潮位 99cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,122.005189,29.249868,21,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0945
REC-00021,S002,浙象渔023,2024-06-15 05:00,注意,#f1c40f,1.2,T005,89.4,15.77,4.09,注意观察潮位和水深变化，谨慎作业,估算潮位 89cm，处于中低水位,121.949002,29.303969,22,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0500
REC-00022,S002,浙象渔023,2024-06-15 05:15,注意,#f1c40f,1.2,T005,84.6,15.23,4.5,注意观察潮位和水深变化，谨慎作业,估算潮位 85cm，处于中低水位,121.951195,29.308513,23,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0515
REC-00023,S002,浙象渔023,2024-06-15 05:30,警告,#e67e22,2.5,T005,79.8,11.51,2.38,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 80cm，接近或低于最低安全线,121.957486,29.308693,24,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0530
REC-00024,S002,浙象渔023,2024-06-15 05:45,警告,#e67e22,2.5,T005,75.1,13.0,2.02,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 75cm，接近或低于最低安全线,121.960007,29.309909,25,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0545
REC-00025,S002,浙象渔023,2024-06-15 06:00,警告,#e67e22,2.5,T005,70.3,17.76,4.92,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 70cm，接近或低于最低安全线,121.959548,29.31132,26,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0600
REC-00026,S002,浙象渔023,2024-06-15 06:15,警告,#e67e22,2.5,T005,65.5,16.16,7.25,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 66cm，接近或低于最低安全线,121.957896,29.312963,27,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0615
REC-00027,S002,浙象渔023,2024-06-15 06:30,警告,#e67e22,2.12,T005,60.8,4.45,4.27,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 61cm，接近或低于最低安全线；有效水深约 4.8m，需注意搁浅风险,121.955078,29.318838,28,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0630
REC-00028,S002,浙象渔023,2024-06-15 06:45,警告,#e67e22,2.5,T005,56.0,4.85,7.92,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 56cm，接近或低于最低安全线,121.950148,29.323707,29,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0645
REC-00029,S002,浙象渔023,2024-06-15 07:00,警告,#e67e22,2.5,T005,51.2,14.43,5.7,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 51cm，接近或低于最低安全线,121.949007,29.328983,30,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0700
REC-00030,S002,浙象渔023,2024-06-15 07:15,警告,#e67e22,2.5,T005,46.4,9.03,6.61,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 46cm，接近或低于最低安全线,121.953651,29.325469,31,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0715
REC-00031,S002,浙象渔023,2024-06-15 07:30,警告,#e67e22,2.5,T005,41.7,13.15,6.46,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 42cm，接近或低于最低安全线,121.959147,29.329579,32,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0730
REC-00032,S002,浙象渔023,2024-06-15 07:45,警告,#e67e22,2.5,T005,36.9,9.35,7.77,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 37cm，接近或低于最低安全线,121.955595,29.332228,33,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0745
REC-00033,S002,浙象渔023,2024-06-15 08:00,警告,#e67e22,2.5,T005,32.1,16.28,5.93,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 32cm，接近或低于最低安全线,121.952949,29.328708,34,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0800
REC-00034,S002,浙象渔023,2024-06-15 08:15,警告,#e67e22,2.5,T005,28.2,5.78,3.11,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 28cm，接近或低于最低安全线,121.955542,29.329483,35,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0815
REC-00035,S002,浙象渔023,2024-06-15 08:30,警告,#e67e22,2.5,T005,29.6,15.41,6.44,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 30cm，接近或低于最低安全线,121.954944,29.329889,36,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0830
REC-00036,S002,浙象渔023,2024-06-15 08:45,警告,#e67e22,2.5,T005,31.0,9.29,2.53,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 31cm，接近或低于最低安全线,121.961772,29.327176,37,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0845
REC-00037,S002,浙象渔023,2024-06-15 09:00,警告,#e67e22,2.5,T005,32.5,10.69,2.79,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 32cm，接近或低于最低安全线,121.962288,29.328798,38,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0900
REC-00038,S002,浙象渔023,2024-06-15 09:15,警告,#e67e22,2.5,T005,33.9,10.21,7.47,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 34cm，接近或低于最低安全线,121.962108,29.334019,39,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0915
REC-00039,S002,浙象渔023,2024-06-15 09:30,警告,#e67e22,2.5,T005,35.3,13.52,3.87,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 35cm，接近或低于最低安全线,121.964453,29.334258,40,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0930
REC-00040,S002,浙象渔023,2024-06-15 09:45,警告,#e67e22,2.5,T005,36.8,14.3,5.03,潮位过低，赶海人员请尽快返回岸边,估算潮位仅 37cm，接近或低于最低安全线,121.97028,29.336182,41,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0945
REC-00041,S003,浙象渔088,2024-06-15 05:00,安全,#27ae60,0.77,T003,134.2,14.66,6.25,作业条件良好，按计划执行,估算潮位 134cm，水位正常；该潮位站存在时区错误数据，风险评估结果仅供参考,121.946637,29.216148,42,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0500
REC-00042,S003,浙象渔088,2024-06-15 05:15,安全,#27ae60,0.77,T003,130.5,17.7,6.55,作业条件良好，按计划执行,估算潮位 131cm，水位正常；该潮位站存在时区错误数据，风险评估结果仅供参考,121.949096,29.213175,43,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0515
REC-00043,S003,浙象渔088,2024-06-15 05:30,安全,#27ae60,0.77,T003,126.8,14.93,3.98,作业条件良好，按计划执行,估算潮位 127cm，水位正常；该潮位站存在时区错误数据，风险评估结果仅供参考,121.948302,29.21107,44,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0530
REC-00044,S003,浙象渔088,2024-06-15 05:45,安全,#27ae60,0.77,T003,123.1,13.0,3.18,作业条件良好，按计划执行,估算潮位 123cm，水位正常；该潮位站存在时区错误数据，风险评估结果仅供参考,121.948652,29.211881,45,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0545
REC-00045,S003,浙象渔088,2024-06-15 06:00,注意,#f1c40f,1.12,T003,119.4,6.93,2.71,注意观察潮位和水深变化，谨慎作业,估算潮位 119cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.953372,29.213237,46,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0600
REC-00046,S003,浙象渔088,2024-06-15 06:15,注意,#f1c40f,1.12,T003,115.7,10.78,2.59,注意观察潮位和水深变化，谨慎作业,估算潮位 116cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.96029,29.218421,47,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0615
REC-00047,S003,浙象渔088,2024-06-15 06:30,注意,#f1c40f,1.12,T003,112.0,6.95,3.57,注意观察潮位和水深变化，谨慎作业,估算潮位 112cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.959368,29.214894,48,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0630
REC-00048,S003,浙象渔088,2024-06-15 06:45,注意,#f1c40f,1.12,T003,108.3,8.43,2.28,注意观察潮位和水深变化，谨慎作业,估算潮位 108cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.964869,29.219844,49,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0645
REC-00049,S003,浙象渔088,2024-06-15 07:00,注意,#f1c40f,1.12,T003,104.6,10.53,5.6,注意观察潮位和水深变化，谨慎作业,估算潮位 105cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.970433,29.221126,50,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0700
REC-00050,S003,浙象渔088,2024-06-15 07:15,注意,#f1c40f,1.12,T003,100.9,11.05,2.63,注意观察潮位和水深变化，谨慎作业,估算潮位 101cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.978281,29.220878,51,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0715
REC-00051,S003,浙象渔088,2024-06-15 07:30,注意,#f1c40f,1.12,T003,97.2,6.52,2.65,注意观察潮位和水深变化，谨慎作业,估算潮位 97cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.979512,29.220013,52,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0730
REC-00052,S003,浙象渔088,2024-06-15 07:45,注意,#f1c40f,1.12,T003,93.5,11.94,4.67,注意观察潮位和水深变化，谨慎作业,估算潮位 94cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.980276,29.223169,53,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0745
REC-00053,S003,浙象渔088,2024-06-15 08:00,注意,#f1c40f,1.23,T003,89.8,7.37,8.15,近岸区域请减速航行,估算潮位 90cm，处于中低水位；航速 8.2节，近岸区域偏快；该潮位站存在时区错误数据，风险评估结果仅供参考,121.984539,29.226006,54,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0800
REC-00054,S003,浙象渔088,2024-06-15 08:15,注意,#f1c40f,1.23,T003,86.1,11.84,8.45,近岸区域请减速航行,估算潮位 86cm，处于中低水位；航速 8.4节，近岸区域偏快；该潮位站存在时区错误数据，风险评估结果仅供参考,121.986065,29.22268,55,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0815
REC-00055,S003,浙象渔088,2024-06-15 08:30,注意,#f1c40f,1.12,T003,82.4,7.86,5.74,注意观察潮位和水深变化，谨慎作业,估算潮位 82cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.985259,29.228519,56,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0830
REC-00056,S003,浙象渔088,2024-06-15 08:45,注意,#f1c40f,2.0,T003,78.7,17.75,4.35,注意观察潮位和水深变化，谨慎作业,估算潮位仅 79cm，接近或低于最低安全线；该潮位站存在时区错误数据，风险评估结果仅供参考,121.988507,29.227332,57,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0845
REC-00057,S003,浙象渔088,2024-06-15 09:00,注意,#f1c40f,1.12,T003,82.5,7.75,5.57,注意观察潮位和水深变化，谨慎作业,估算潮位 82cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.985692,29.228078,58,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0900
REC-00058,S003,浙象渔088,2024-06-15 09:15,注意,#f1c40f,1.12,T003,88.1,5.34,7.77,注意观察潮位和水深变化，谨慎作业,估算潮位 88cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.988909,29.22434,59,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0915
REC-00059,S003,浙象渔088,2024-06-15 09:30,注意,#f1c40f,1.12,T003,93.7,14.56,6.62,注意观察潮位和水深变化，谨慎作业,估算潮位 94cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.994012,29.220799,60,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0930
REC-00060,S003,浙象渔088,2024-06-15 09:45,注意,#f1c40f,1.23,T003,99.2,13.64,8.33,近岸区域请减速航行,估算潮位 99cm，处于中低水位；航速 8.3节，近岸区域偏快；该潮位站存在时区错误数据，风险评估结果仅供参考,121.999707,29.220329,61,AIS轨迹_20240615.csv,船队调度系统导出，船舶S003_0945
REC-00061,S004,养殖运输船01,2024-06-15 05:00,安全,#27ae60,0.77,T003,134.2,5.3,2.44,作业条件良好，按计划执行,估算潮位 134cm，水位正常；该潮位站存在时区错误数据，风险评估结果仅供参考,121.949893,29.213535,62,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0500
REC-00062,S004,养殖运输船01,2024-06-15 05:15,安全,#27ae60,0.77,T003,130.5,16.19,6.69,作业条件良好，按计划执行,估算潮位 131cm，水位正常；该潮位站存在时区错误数据，风险评估结果仅供参考,121.952647,29.209699,63,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0515
REC-00063,S004,养殖运输船01,2024-06-15 05:30,安全,#27ae60,0.77,T003,126.8,11.8,5.69,作业条件良好，按计划执行,估算潮位 127cm，水位正常；该潮位站存在时区错误数据，风险评估结果仅供参考,121.952374,29.211099,64,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0530
REC-00064,S004,养殖运输船01,2024-06-15 05:45,注意,#f1c40f,1.1,T003,123.1,4.0,4.72,注意观察潮位和水深变化，谨慎作业,估算潮位 123cm，水位正常；有效水深约 4.6m，需注意搁浅风险；该潮位站存在时区错误数据，风险评估结果仅供参考,121.955966,29.210081,65,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0545
REC-00065,S004,养殖运输船01,2024-06-15 06:00,注意,#f1c40f,1.12,T003,119.4,10.76,7.78,注意观察潮位和水深变化，谨慎作业,估算潮位 119cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.957355,29.20609,66,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0600
REC-00066,S004,养殖运输船01,2024-06-15 06:15,注意,#f1c40f,1.23,T003,115.7,4.87,8.03,近岸区域请减速航行,估算潮位 116cm，处于中低水位；航速 8.0节，近岸区域偏快；该潮位站存在时区错误数据，风险评估结果仅供参考,121.952401,29.206899,67,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0615
REC-00067,S004,养殖运输船01,2024-06-15 06:30,注意,#f1c40f,1.25,T003,112.0,3.89,5.51,注意观察潮位和水深变化，谨慎作业,估算潮位 112cm，处于中低水位；有效水深约 4.5m，需注意搁浅风险；该潮位站存在时区错误数据，风险评估结果仅供参考,121.956589,29.211703,68,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0630
REC-00068,S004,养殖运输船01,2024-06-15 06:45,注意,#f1c40f,1.12,T003,108.3,11.9,7.88,注意观察潮位和水深变化，谨慎作业,估算潮位 108cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.96355,29.214512,69,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0645
REC-00069,S004,养殖运输船01,2024-06-15 07:00,注意,#f1c40f,1.12,T003,104.6,14.44,7.92,注意观察潮位和水深变化，谨慎作业,估算潮位 105cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.969435,29.21402,70,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0700
REC-00070,S004,养殖运输船01,2024-06-15 07:15,注意,#f1c40f,1.23,T003,100.9,12.9,8.09,近岸区域请减速航行,估算潮位 101cm，处于中低水位；航速 8.1节，近岸区域偏快；该潮位站存在时区错误数据，风险评估结果仅供参考,121.969236,29.212442,71,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0715
REC-00071,S004,养殖运输船01,2024-06-15 07:30,注意,#f1c40f,1.12,T003,97.2,9.57,5.11,注意观察潮位和水深变化，谨慎作业,估算潮位 97cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.968106,29.217365,72,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0730
REC-00072,S004,养殖运输船01,2024-06-15 07:45,注意,#f1c40f,1.12,T003,93.5,17.41,6.8,注意观察潮位和水深变化，谨慎作业,估算潮位 94cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.968512,29.221079,73,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0745
REC-00073,S004,养殖运输船01,2024-06-15 08:00,注意,#f1c40f,1.12,T003,89.8,14.3,2.76,注意观察潮位和水深变化，谨慎作业,估算潮位 90cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.969005,29.219529,74,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0800
REC-00074,S004,养殖运输船01,2024-06-15 08:15,注意,#f1c40f,1.12,T003,86.1,11.69,5.77,注意观察潮位和水深变化，谨慎作业,估算潮位 86cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.968351,29.220949,75,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0815
REC-00075,S004,养殖运输船01,2024-06-15 08:30,注意,#f1c40f,1.12,T003,82.4,11.92,3.4,注意观察潮位和水深变化，谨慎作业,估算潮位 82cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.965839,29.223718,76,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0830
REC-00076,S004,养殖运输船01,2024-06-15 08:45,注意,#f1c40f,2.0,T003,78.7,16.73,6.7,注意观察潮位和水深变化，谨慎作业,估算潮位仅 79cm，接近或低于最低安全线；该潮位站存在时区错误数据，风险评估结果仅供参考,121.969015,29.225584,77,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0845
REC-00077,S004,养殖运输船01,2024-06-15 09:00,注意,#f1c40f,1.12,T003,82.5,9.95,6.85,注意观察潮位和水深变化，谨慎作业,估算潮位 82cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.971564,29.223911,78,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0900
REC-00078,S004,养殖运输船01,2024-06-15 09:15,注意,#f1c40f,1.12,T003,88.1,6.94,7.65,注意观察潮位和水深变化，谨慎作业,估算潮位 88cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.968937,29.224117,79,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0915
REC-00079,S004,养殖运输船01,2024-06-15 09:30,注意,#f1c40f,1.12,T003,93.7,9.76,6.28,注意观察潮位和水深变化，谨慎作业,估算潮位 94cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.96826,29.229654,80,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0930
REC-00080,S004,养殖运输船01,2024-06-15 09:45,注意,#f1c40f,1.12,T003,99.2,13.29,4.68,注意观察潮位和水深变化，谨慎作业,估算潮位 99cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.967947,29.23084,81,AIS轨迹_20240615.csv,船队调度系统导出，船舶S004_0945
