参照试卷,目标试卷,原始分,等值分,方法,斜率,截距,标准误
A卷,B卷,85,86.36,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,86,87.38,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,87,88.4,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,88,89.42,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,89,90.44,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,90,91.46,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,91,92.48,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,92,93.49,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,93,94.51,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,94,95.53,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,95,96.55,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,96,97.57,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,97,98.59,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,98,99.6,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,99,100.62,anchor_mean_sigma,1.0185,-0.2056,1.121
A卷,B卷,100,101.64,anchor_mean_sigma,1.0185,-0.2056,1.121
