学生ID,试卷版本,原始分,满分,锚题得分,能力估计值,等值分,是否有效,排除原因,修正次数
S0050,A卷,70.0,100.0,2.93,-0.2146,70.0,是,,0
S0051,A卷,64.0,100.0,2.98,-0.1663,64.0,是,,0
S0052,A卷,62.0,100.0,2.96,-0.1857,62.0,是,,0
S0053,A卷,81.0,100.0,3.62,0.5046,81.0,是,,0
S0054,A卷,65.0,100.0,3.79,0.7105,65.0,是,,0
S0055,A卷,48.0,100.0,2.46,-0.6585,48.0,是,,0
S0056,A卷,63.0,100.0,2.94,-0.205,63.0,是,,0
S0057,A卷,70.0,100.0,3.53,0.4019,70.0,是,,0
S0058,A卷,46.0,100.0,2.83,-0.3104,46.0,是,,0
S0059,A卷,72.0,100.0,3.55,0.4244,72.0,是,,0
S0060,A卷,50.0,100.0,2.26,-0.8463,50.0,是,,0
S0061,A卷,78.0,100.0,3.86,0.8007,78.0,是,,0
S0062,A卷,67.0,100.0,3.29,0.1437,67.0,是,,0
S0063,A卷,69.0,100.0,3.42,0.2811,69.0,是,,0
S0064,A卷,71.0,100.0,3.5,0.3685,71.0,是,,0
S0065,A卷,72.0,100.0,3.8,0.7232,72.0,是,,0
S0066,A卷,58.0,100.0,2.64,-0.4898,58.0,是,,0
S0067,A卷,46.0,100.0,2.08,-1.0177,46.0,是,,0
S0068,A卷,45.0,100.0,2.51,-0.6117,45.0,是,,0
S0069,A卷,59.0,100.0,3.42,0.2811,59.0,是,,0
S0070,A卷,94.0,100.0,4.71,2.5996,94.0,是,,0
S0071,A卷,37.0,100.0,1.74,-1.3546,37.0,是,,0
S0072,A卷,59.0,100.0,2.5,-0.621,59.0,是,,0
S0073,A卷,56.0,100.0,2.89,-0.2531,56.0,是,,0
S0074,A卷,53.0,100.0,2.42,-0.6959,53.0,是,,0
S0075,A卷,49.0,100.0,2.99,-0.1566,49.0,是,,0
S0076,A卷,58.0,100.0,2.65,-0.4805,58.0,是,,0
S0077,A卷,54.0,100.0,2.99,-0.1566,54.0,是,,0
S0078,A卷,50.0,100.0,2.64,-0.4898,50.0,是,,0
S0079,A卷,71.0,100.0,3.77,0.6853,71.0,是,,0
S0080,A卷,81.0,100.0,3.88,0.8272,81.0,是,,0
S0081,A卷,77.0,100.0,3.61,0.493,77.0,是,,0
S0082,A卷,54.0,100.0,3.06,-0.0881,54.0,是,,0
S0083,A卷,72.0,100.0,3.6,0.4815,72.0,是,,0
S0084,A卷,42.0,100.0,2.27,-0.8369,42.0,是,,0
S0085,A卷,51.0,100.0,2.27,-0.8369,51.0,是,,0
S0086,A卷,50.0,100.0,2.57,-0.5555,50.0,是,,0
S0087,A卷,28.0,100.0,1.51,-1.5991,28.0,是,,0
S0088,A卷,63.0,100.0,2.97,-0.176,63.0,是,,0
S0089,A卷,76.0,100.0,3.98,0.9648,76.0,是,,0
S0090,A卷,51.0,100.0,2.35,-0.7616,51.0,是,,0
S0091,A卷,70.0,100.0,3.05,-0.0979,70.0,是,,0
S0092,A卷,55.0,100.0,2.56,-0.5648,55.0,是,,0
S0093,A卷,61.0,100.0,3.11,-0.0387,61.0,是,,0
S0094,A卷,61.0,100.0,3.39,0.2489,61.0,是,,0
S0095,A卷,63.0,100.0,3.06,-0.0881,63.0,是,,0
S0096,A卷,42.0,100.0,2.32,-0.7898,42.0,是,,0
S0097,A卷,68.0,100.0,3.84,0.7746,68.0,是,,0
S0098,A卷,49.0,100.0,2.46,-0.6585,49.0,是,,0
S0099,A卷,59.0,100.0,2.92,-0.2243,59.0,是,,0
S0100,A卷,60.0,100.0,2.49,-0.6304,60.0,是,,0
S0101,B卷,74.0,100.0,3.75,0.8945,75.16,是,,0
S0102,B卷,78.0,100.0,4.42,2.0136,79.24,是,,0
S0103,B卷,58.0,100.0,2.77,0.0,0.0,否,缺考标记: 病假,1
S0104,B卷,62.0,100.0,3.56,0.6527,62.94,是,,0
S0105,B卷,38.0,100.0,1.97,-1.0387,38.5,是,,0
S0106,B卷,41.0,100.0,1.19,-1.9285,41.55,是,,0
S0107,B卷,34.0,100.0,1.22,-1.8897,34.42,是,,0
S0108,B卷,77.0,100.0,3.44,0.5087,78.22,是,,0
S0109,B卷,59.0,100.0,2.48,-0.5175,59.88,是,,0
S0110,B卷,71.0,100.0,3.08,0.1048,72.11,是,,0
S0111,B卷,80.0,100.0,3.54,0.6283,81.27,是,,0
S0112,B卷,51.0,100.0,2.48,-0.5175,51.74,是,,0
S0113,B卷,62.0,100.0,3.4,0.4619,62.94,是,,0
S0114,B卷,64.0,100.0,2.71,-0.283,64.98,是,,0
S0115,B卷,54.0,100.0,2.42,-0.5783,54.79,是,,0
S0116,B卷,72.0,100.0,3.57,0.665,73.12,是,,0
S0117,B卷,60.0,100.0,3.14,0.1698,60.9,是,,0
S0118,B卷,55.0,100.0,2.6,-0.3955,55.81,是,,0
S0119,B卷,65.0,100.0,3.58,0.6773,66.0,是,,0
S0120,B卷,61.0,100.0,2.82,-0.1696,61.92,是,,0
S0121,B卷,47.0,100.0,2.46,-0.5378,47.66,是,,0
S0122,B卷,54.0,100.0,2.7,-0.2933,54.79,是,,0
S0123,B卷,35.0,100.0,1.99,-1.0179,35.44,是,,0
S0124,B卷,43.0,100.0,1.83,-1.1861,43.59,是,,0
S0125,B卷,77.0,100.0,3.3,0.3474,78.22,是,,0
S0126,B卷,61.0,100.0,2.95,-0.0337,61.92,是,,0
S0127,B卷,48.0,100.0,2.71,-0.283,48.68,是,,0
S0128,B卷,83.0,100.0,3.39,0.4503,84.33,是,,0
S0129,B卷,42.0,100.0,2.26,-0.7407,42.57,是,,0
S0130,B卷,44.0,100.0,2.0,-1.0075,44.61,是,,0
S0131,B卷,64.0,100.0,3.28,0.3248,64.98,是,,0
S0132,B卷,59.0,100.0,2.86,-0.128,59.88,是,,0
S0133,B卷,51.0,100.0,2.84,-0.1488,51.74,是,,0
S0134,B卷,55.0,100.0,2.74,-0.2522,55.81,是,,0
S0135,B卷,55.0,100.0,2.67,-0.324,55.81,是,,0
S0136,B卷,60.0,100.0,2.83,-0.1592,60.9,是,,0
S0137,B卷,48.0,100.0,2.54,-0.4566,48.68,是,,0
S0138,B卷,82.0,100.0,4.01,1.2636,83.31,是,,0
S0139,B卷,72.0,100.0,3.71,0.842,73.12,是,,0
S0140,B卷,75.0,100.0,3.69,0.8161,76.18,是,,0
S0141,B卷,65.0,100.0,3.38,0.4387,66.0,是,,0
S0142,B卷,63.0,100.0,2.73,-0.2625,63.96,是,,0
S0143,B卷,62.0,100.0,2.41,-0.5885,62.94,是,,0
S0144,B卷,62.0,100.0,3.1,0.1264,62.94,是,,0
S0145,B卷,79.0,100.0,3.84,1.0164,80.25,是,,0
S0146,B卷,75.0,100.0,3.6,0.7021,76.18,是,,0
S0147,B卷,48.0,100.0,1.88,-1.1331,48.68,是,,0
S0148,B卷,48.0,100.0,1.89,-1.1226,48.68,是,,0
S0149,B卷,71.0,100.0,3.35,0.4043,72.11,是,,0
S0150,B卷,70.0,100.0,3.38,0.4387,71.09,是,,0
S0151,B卷,77.0,100.0,4.01,1.2636,78.22,是,,0
S0152,B卷,53.0,100.0,2.46,-0.5378,53.77,是,,0
S0153,B卷,55.0,100.0,2.15,-0.8529,55.81,是,,0
S0154,B卷,71.0,100.0,3.76,0.9078,72.11,是,,0
S0155,B卷,62.0,100.0,2.83,-0.1592,62.94,是,,0
S0156,B卷,77.0,100.0,2.99,0.0086,78.22,是,,0
S0157,B卷,64.0,100.0,3.11,0.1372,64.98,是,,0
S0158,B卷,54.0,100.0,3.01,0.0299,54.79,是,,0
S0159,B卷,76.0,100.0,3.57,0.665,77.2,是,,0
S0160,B卷,61.0,100.0,2.81,-0.1799,61.92,是,,0
S0161,B卷,55.0,100.0,2.25,-0.7509,55.81,是,,0
S0162,B卷,81.0,100.0,4.2,1.5758,82.29,是,,0
S0163,B卷,73.0,100.0,3.18,0.2136,74.14,是,,0
S0164,B卷,91.0,100.0,4.96,5.0526,92.48,是,,0
S0165,B卷,65.0,100.0,2.85,-0.1384,66.0,是,,0
S0166,B卷,50.0,100.0,2.53,-0.4668,50.72,是,,0
S0167,B卷,49.0,100.0,2.34,-0.6595,49.7,是,,0
S0168,B卷,77.0,100.0,3.24,0.28,78.22,是,,0
S0169,B卷,90.0,100.0,4.79,3.2421,91.46,是,,0
S0170,B卷,45.0,100.0,1.74,-1.2827,45.63,是,,0
S0171,B卷,58.0,100.0,2.47,-0.5277,58.87,是,,0
S0172,B卷,58.0,100.0,2.01,-0.9971,58.87,是,,0
S0173,B卷,59.0,100.0,3.37,0.4271,59.88,是,,0
S0174,B卷,46.0,100.0,2.13,-0.8734,46.64,是,,0
S0175,B卷,41.0,100.0,2.16,-0.8427,41.55,是,,0
S0176,B卷,59.0,100.0,3.41,0.4735,59.88,是,,0
S0177,B卷,65.0,100.0,3.01,0.0299,66.0,是,,0
S0178,B卷,70.0,100.0,3.21,0.2467,71.09,是,,0
S0179,B卷,43.0,100.0,2.15,-0.8529,43.59,是,,0
S0180,B卷,60.0,100.0,2.93,-0.0547,60.9,是,,0
S0181,B卷,67.0,100.0,3.06,0.0833,68.03,是,,0
S0182,B卷,68.0,100.0,3.79,0.948,69.05,是,,0
S0183,B卷,46.0,100.0,2.73,-0.2625,46.64,是,,0
S0184,B卷,59.0,100.0,2.6,-0.3955,59.88,是,,0
S0185,B卷,96.0,100.0,4.65,2.6455,97.57,是,,0
S0186,B卷,81.0,100.0,4.13,1.4553,82.29,是,,0
S0187,B卷,38.0,100.0,1.86,-1.1542,38.5,是,,0
S0188,B卷,55.0,100.0,2.24,-0.7611,55.81,是,,0
S0189,B卷,37.0,100.0,1.81,-1.2074,37.48,是,,0
S0190,B卷,70.0,100.0,3.48,0.5561,71.09,是,,0
S0191,B卷,58.0,100.0,2.54,-0.4566,58.87,是,,0
S0192,B卷,48.0,100.0,2.14,-0.8632,48.68,是,,0
S0193,B卷,48.0,100.0,2.24,-0.7611,48.68,是,,0
S0194,B卷,62.0,100.0,2.71,-0.283,62.94,是,,0
S0195,B卷,59.0,100.0,2.6,-0.3955,59.88,是,,0
S0196,B卷,62.0,100.0,3.13,0.1589,62.94,是,,0
S0197,B卷,64.0,100.0,3.21,0.2467,64.98,是,,0
S0198,B卷,39.0,100.0,1.76,-1.2611,39.51,是,,0
S0199,B卷,66.0,100.0,3.36,0.4156,67.01,是,,0
S0200,B卷,40.0,100.0,1.97,-1.0387,40.53,是,,0
