记录ID,来源文件,来源行号,梁号,测点,测量时间,设计值,实测值,挠度值,挠度比,材料名称,材料批号,施工班组,是否采样缺口,缺口原因,是否极端值,极端值原因,归因分类,归因详情,风险等级,处理状态,状态说明
c88aa27da839,demo_experiment_records.csv,20,L003,3/4跨,2025-06-06,100.0,104.15,4.150000000000006,1.0415,预应力C50,P20250606,二班,否,,否,,待归因,正常范围,低风险,已处理,
9a77964849ee,demo_experiment_records.csv,21,L007,3/4跨,2025-08-26,100.0,106.36,6.359999999999999,1.0636,预应力C50,P20250226,三班,否,,否,,施工因素,施工班组差异,低风险,已处理,
0cb69e0c9d4b,demo_experiment_records.csv,22,L003,3/4跨,2025-07-25,100.0,102.44,2.4399999999999977,1.0244,C50混凝土,P20250125,三班,否,,否,,施工因素,施工班组差异,低风险,已处理,
3585f99a7620,demo_experiment_records.csv,23,L005,3/4跨,2025-04-22,100.0,115.27,15.269999999999996,1.1527,C50混凝土,P20251022,二班,否,,否,,待归因,正常范围,低风险,已处理,
d2de4ea50306,demo_experiment_records.csv,24,L004,1/2跨,2025-05-05,100.0,105.33,5.329999999999998,1.0533,C50混凝土,P20250505,二班,否,,否,,待归因,正常范围,低风险,已处理,
7bf3b437ccef,demo_experiment_records.csv,25,INC001,1/2跨,2025-09-15,100.0,104.29,4.290000000000006,1.0429,50号混凝土,I20250915,二班,否,,否,,待归因,正常范围,低风险,已处理,
a985ec34476c,demo_experiment_records.csv,26,L005,3/4跨,2025-09-27,100.0,102.79,2.7900000000000063,1.0279,C50混凝土,P20250327,三班,否,,否,,施工因素,施工班组差异,低风险,已处理,
f33aa89f6bee,demo_experiment_records.csv,27,E001,1/4跨,2025-10-01,100.0,132.98,32.97999999999999,1.3298,C50混凝土,E202501,三班,否,,是,"IQR法偏高(上界1.3211, 下界0.8168); Z-score偏高(z=2.37, 阈值±2.0)",材料因素,混凝土强度偏差,高风险,待补证据,极端值需复核
3cf1527cc0b4,demo_experiment_records.csv,28,G002,1/4跨,2025-11-06,100.0,,,,C50混凝土,G202502,三班,是,挠度相关数据全部为空; 实测值为缺口标记; 挠度值为缺口标记; 挠度比为缺口标记; 备注字段[备注]标注缺口,否,,测量因素,采样缺口，数据质量待确认,中风险,待补证据,挠度相关数据全部为空; 实测值为缺口标记; 挠度值为缺口标记; 挠度比为缺口标记; 备注字段[备注]标注缺口
a5e843f6d2a1,demo_experiment_records.csv,29,L005,3/4跨,2025-03-02,100.0,105.26,5.260000000000005,1.0526,C50混凝土,P20250630,三班,否,,否,,施工因素,施工班组差异,低风险,已处理,
5de431af9b58,demo_experiment_records.csv,30,L001,1/4跨,2025-03-03,100.0,106.18,6.180000000000007,1.0618,C50混凝土,P20250303,一班,否,,否,,待归因,正常范围,低风险,已处理,
5396c700b43c,demo_experiment_records.csv,31,L001,1/4跨,2025-09-18,100.0,90.89,-9.11,0.9089,C50混凝土,P20250618,二班,否,,否,,待归因,正常范围,低风险,已处理,
fc863fbaf331,demo_experiment_records.csv,32,L009,1/2跨,2025-01-28,100.0,93.1,-6.900000000000006,0.931,C50混凝土,P20250428,一班,否,,否,,待归因,正常范围,低风险,已处理,
5f42c4238ffd,demo_experiment_records.csv,33,E003,1/4跨,2025-10-03,100.0,137.63,37.629999999999995,1.3763,C50混凝土,E202503,二班,否,,是,"IQR法偏高(上界1.3211, 下界0.8168); Z-score偏高(z=2.79, 阈值±2.0)",材料因素,混凝土强度偏差,高风险,待补证据,极端值需复核
7cc21ad59bb0,demo_experiment_records.csv,34,L009,1/4跨,2025-04-04,100.0,115.8,15.799999999999997,1.158,C50混凝土,P20250404,二班,否,,否,,待归因,正常范围,低风险,已处理,
9cbaa782f81c,demo_experiment_records.csv,35,L004,1/4跨,2025-07-16,100.0,97.58,-2.4200000000000017,0.9758,预应力C50,P20250416,二班,否,,否,,待归因,正常范围,低风险,已处理,
172250a5857d,demo_experiment_records.csv,36,L007,1/2跨,2025-01-19,100.0,113.85,13.849999999999994,1.1385,C50混凝土,P20250719,一班,否,,否,,待归因,正常范围,低风险,已处理,
82816ada2602,demo_experiment_records.csv,37,L010,1/2跨,2025-05-23,100.0,109.36,9.36,1.0936,C50混凝土,P20251123,一班,否,,否,,待归因,正常范围,低风险,已处理,
