设备编号,循环序号,采样时间,出水温度(℃),回水温度(℃),功耗(kW),流量(m³/h),备注,_样本原始行号,采样缺口,采样间隔_分钟,坏数据,坏数据原因,温差(℃),制热量(kW),COP,边界样本,预警类型,预警级别,判定依据,参考铭牌行,是否纳入统计
HP-A02,3,2024-06-10 08:30:00,45.0,39.5,27.5,8.1,,12,False,,False,,5.5,51.8018,1.8837,False,低COP预警,预警,"COP=1.8837 < 下限=3.2；出水温度=45.0℃ ∈ [35.0,55.0]℃",设备铭牌-HP-A02[行3],True
HP-A02,4,2024-06-10 09:30:00,46.2,40.0,28.0,8.2,采样缺口-前一条1小时前,13,True,60.0,False,,6.2,,,False,采样缺口,注意,与上一条采样间隔 60.0 分钟 > 阈值30分钟,设备铭牌-HP-A02[行3],False
HP-A02,5,2024-06-10 09:45:00,,40.0,28.0,8.2,坏数据-出水温度缺失,14,False,,True,出水温度(℃):空值(原值=nan)[行14];,,,,False,数据异常,异常,坏数据原因：出水温度(℃):空值(原值=nan)[行14];,设备铭牌-HP-A02[行3],False
HP-A02,6,2024-06-10 10:00:00,30.0,46.5,28.5,8.3,坏数据-进出水温颠倒(真·出水<回水),15,False,,True,进出水温颠倒(出水=30.0℃<回水=46.5℃)[行15];,-16.5,,,False,数据异常,异常,坏数据原因：进出水温颠倒(出水=30.0℃<回水=46.5℃)[行15];,设备铭牌-HP-A02[行3],False
HP-B03,1,2024-06-10 08:00:00,50.0,44.0,42.0,11.5,,16,False,,False,,6.0,80.2317,1.9103,False,低COP预警,预警,"COP=1.9103 < 下限=3.8；出水温度=50.0℃ ∈ [40.0,60.0]℃",设备铭牌-HP-B03[行4],True
HP-B03,2,2024-06-10 08:15:00,51.2,44.5,43.5,11.8,,17,False,,False,,6.7,91.9292,2.1133,False,低COP预警,预警,"COP=2.1133 < 下限=3.8；出水温度=51.2℃ ∈ [40.0,60.0]℃",设备铭牌-HP-B03[行4],True
HP-B03,3,2024-06-10 08:30:00,61.0,46.0,48.0,12.0,边界样本-超温(61.0/60),18,False,,False,,15.0,209.3,4.3604,True,超温预警,预警,"COP=4.3604 ∈ [3.8,5.2]；出水温度=61.0℃ > 最高=60.0℃",设备铭牌-HP-B03[行4],True
HP-B03,4,2024-06-10 08:45:00,52.5,45.2,44.0,11.7,,19,False,,False,,7.3,99.3128,2.2571,False,低COP预警,预警,"COP=2.2571 < 下限=3.8；出水温度=52.5℃ ∈ [40.0,60.0]℃",设备铭牌-HP-B03[行4],True
HP-B03,5,2024-06-10 09:00:00,-5.0,45.0,44.5,11.6,坏数据-温度为负,20,False,,True,出水温度(℃):负值(实际值=-5.0)[行20];进出水温颠倒(出水=-5.0℃<回水=45.0℃)[行20];,-50.0,,,False,数据异常,异常,坏数据原因：出水温度(℃):负值(实际值=-5.0)[行20];进出水温颠倒(出水=-5.0℃<回水=45.0℃)[行20];,设备铭牌-HP-B03[行4],False
HP-B03,6,2024-06-10 09:15:00,53.0,45.5,45.0,11.8,,21,False,,False,,7.5,102.9058,2.2868,False,低COP预警,预警,"COP=2.2868 < 下限=3.8；出水温度=53.0℃ ∈ [40.0,60.0]℃",设备铭牌-HP-B03[行4],True
HP-B03,7,2024-06-10 09:30:00,50.5,49.8,46.0,12.0,边界样本-低COP(温差仅0.7),22,False,,False,,0.7,9.7673,0.2123,True,低COP预警,预警,"COP=0.2123 < 下限=3.8；出水温度=50.5℃ ∈ [40.0,60.0]℃",设备铭牌-HP-B03[行4],True
HP-C05,1,2024-06-10 09:00:00,47.0,42.0,30.0,9.0,无铭牌设备,23,False,,False,,5.0,52.325,1.7442,False,无铭牌数据,注意,设备编号 HP-C05 在铭牌中未找到,,False
