datetime,symbol,direction,volume,price,amount,fee,slippage,net_pnl
2024-01-22,000001.SZ,-1,8996,9.14,82223.44,53.45,0.0,-1254.78
2024-01-22,000001.SZ,-1,4407,9.15,40324.05,52.42,12.1,472.75
2024-01-22,600519.SH,1,6580,1686.86,11099538.799999999,3329.86,3329.86,1141.02
2024-01-23,600000.SH,1,9003,6.58,59239.74,17.77,17.77,144.04
2024-01-24,000001.SZ,-1,3851,8.77,33773.27,43.91,10.13,93.15
2024-01-24,600000.SH,-1,1700,6.46,10982.0,14.28,3.29,288.41
2024-01-25,000002.SZ,-1,1337,14.64,19573.68,25.45,5.87,-1200.73
2024-01-25,600000.SH,-1,7393,6.62,48941.66,63.62,14.68,1689.23
2024-01-25,000001.SZ,1,9869,8.92,88031.48,26.41,26.41,1011.31
2024-01-26,000002.SZ,-1,1757,14.8,26003.600000000002,33.8,7.8,2554.62
2024-01-26,000001.SZ,1,4530,8.94,40498.2,12.15,12.15,414.52
2024-01-26,600000.SH,1,8927,6.34,56597.18,8.49,0.0,451.93
2024-01-26,000001.SZ,1,5468,8.85,48391.799999999996,14.52,14.52,847.52
2024-01-26,000001.SZ,-1,9145,8.77,80201.65,104.26,24.06,676.87
2024-01-29,600519.SH,-1,5771,1682.41,9709188.110000001,12621.94,2912.76,814.53
2024-01-29,000002.SZ,-1,9806,14.76,144736.56,188.16,43.42,-821.39
2024-01-29,600000.SH,1,102,6.44,656.88,0.1,0.0,295.64
2024-01-29,000001.SZ,1,1913,8.87,16968.309999999998,2.55,0.0,375.83
2024-01-29,000002.SZ,-1,235,15.1,3548.5,4.61,1.06,-1312.63
2024-01-29,600519.SH,1,7773,1657.99,12887556.27,3866.27,3866.27,440.99
2024-01-30,000002.SZ,-1,4239,15.08,63924.12,83.1,19.18,-442.07
2024-01-30,600519.SH,1,3439,1644.26,5654610.14,848.19,0.0,1476.15
2024-01-30,000001.SZ,-1,4406,8.91,39257.46,51.03,11.78,1264.97
2024-01-30,000002.SZ,-1,4867,14.79,71982.93,93.58,21.59,-863.17
2024-01-31,000001.SZ,-1,3437,8.93,30692.41,39.9,9.21,-1027.65
2024-01-31,000001.SZ,1,5011,8.8,44096.8,13.23,13.23,-935.97
2024-02-01,600000.SH,1,3448,6.54,22549.920000000002,6.76,6.76,882.68
2024-02-01,600000.SH,1,5815,6.62,38495.3,11.55,11.55,420.21
2024-02-02,600519.SH,1,7256,1709.82,12406453.92,3721.94,3721.94,580.1
2024-02-02,000002.SZ,1,4046,15.96,64574.16,9.69,0.0,776.7
2024-02-05,600519.SH,1,7179,1728.72,12410480.88,3723.14,3723.14,-1525.98
2024-02-06,000002.SZ,1,6781,15.82,107275.42,32.18,32.18,732.45
2024-02-06,600000.SH,1,347,7.06,2449.8199999999997,0.73,0.73,163.3
2024-02-07,600000.SH,1,2171,7.05,15305.55,4.59,4.59,-402.7
2024-02-07,000001.SZ,-1,7518,9.11,68488.98,89.04,20.55,-425.35
2024-02-13,600519.SH,1,313,1874.46,586705.98,176.01,176.01,-1112.81
2024-02-13,600519.SH,1,6816,1922.18,13101578.88,3930.47,3930.47,-188.02
2024-02-13,000002.SZ,-1,8266,14.67,121262.22,157.64,36.38,-738.04
2024-02-13,600519.SH,-1,3635,1855.23,6743761.05,8766.89,2023.13,129.36
2024-02-13,600519.SH,-1,1891,1906.86,3605872.26,4687.63,1081.76,1003.54
2024-02-13,600519.SH,1,7829,1873.28,14665909.12,4399.77,4399.77,1748.41
2024-02-14,600000.SH,-1,8745,7.38,64538.1,83.9,19.36,2034.25
2024-02-14,600000.SH,-1,2069,7.21,14917.49,19.39,4.48,-54.53
2024-02-15,600000.SH,1,2941,7.37,21675.170000000002,6.5,6.5,-832.48
2024-02-15,600000.SH,1,1917,7.38,14147.46,4.24,4.24,-1314.1
2024-02-15,600000.SH,-1,7928,7.31,57953.68,75.34,17.39,-125.97
2024-02-16,000001.SZ,-1,2105,9.4,19787.0,25.72,5.94,166.54
2024-02-16,600519.SH,-1,5389,1895.92,10217112.88,13282.25,3065.13,-1699.97
2024-02-19,000002.SZ,-1,2704,14.39,38910.560000000005,50.58,11.67,795.62
2024-02-21,600000.SH,1,3427,7.69,26353.63,7.91,7.91,-1105.96
2024-02-21,600000.SH,-1,7157,7.59,54321.63,70.62,16.3,-435.63
2024-02-22,600000.SH,-1,7230,7.5,54225.0,70.49,16.27,614.15
2024-02-22,600000.SH,-1,4626,7.47,34556.22,44.92,10.37,754.52
2024-02-22,000001.SZ,1,5871,9.51,55833.21,16.75,16.75,1105.58
2024-02-23,000001.SZ,-1,4949,9.73,48153.770000000004,62.6,14.45,589.8
2024-02-26,600000.SH,1,6549,7.4,48462.600000000006,14.54,14.54,440.36
2024-02-27,600000.SH,-1,5928,7.7,45645.6,59.34,13.69,1616.45
2024-02-27,000001.SZ,-1,6843,9.94,68019.42,88.43,20.41,-825.14
2024-02-27,000001.SZ,-1,7841,9.96,78096.36,101.53,23.43,-421.47
2024-02-27,600000.SH,1,8097,7.67,62103.99,18.63,18.63,6.98
2024-02-28,600519.SH,1,2020,1872.78,3783015.6,1134.9,1134.9,95.6
2024-02-29,000001.SZ,1,1344,9.44,12687.359999999999,3.81,3.81,-389.66
2024-02-29,000001.SZ,-1,5670,9.38,53184.600000000006,34.57,0.0,329.5
2024-02-29,600000.SH,1,3499,7.6,26592.399999999998,7.98,7.98,-283.81
2024-02-29,600519.SH,-1,3889,1921.7,7473491.3,9715.54,2242.05,428.01
2024-02-29,600000.SH,-1,219,7.61,1666.5900000000001,2.17,0.5,605.37
2024-02-29,000001.SZ,-1,7356,9.3,68410.8,88.93,20.52,-1154.79
2024-02-29,000001.SZ,-1,9302,9.44,87810.87999999999,114.15,26.34,-732.83
