tokenSymbol,timestamp,priceUSD,source
EDGE,2024-02-27T08:00:00+08:00,1.7699,coingecko
EDGE,2024-02-28T08:00:00+08:00,1.7042,coingecko
EDGE,2024-02-29T08:00:00+08:00,1.6411,coingecko
ETH,2024-01-01T08:00:00+08:00,2000.00,coingecko
ETH,2024-01-02T08:00:00+08:00,2028.47,coingecko
ETH,2024-01-03T08:00:00+08:00,2056.37,coingecko
ETH,2024-01-04T08:00:00+08:00,2083.11,coingecko
ETH,2024-01-05T08:00:00+08:00,2108.17,coingecko
ETH,2024-01-06T08:00:00+08:00,2131.02,coingecko
ETH,2024-01-07T08:00:00+08:00,2151.20,coingecko
ETH,2024-01-08T08:00:00+08:00,2168.29,coingecko
ETH,2024-01-09T08:00:00+08:00,2181.96,coingecko
ETH,2024-01-10T08:00:00+08:00,2191.93,coingecko
ETH,2024-01-11T08:00:00+08:00,2197.98,coingecko
ETH,2024-01-12T08:00:00+08:00,2200.00,coingecko
ETH,2024-01-13T08:00:00+08:00,2197.94,coingecko
ETH,2024-01-14T08:00:00+08:00,2191.86,coingecko
ETH,2024-01-15T08:00:00+08:00,2181.86,coingecko
ETH,2024-01-16T08:00:00+08:00,2168.16,coingecko
ETH,2024-01-17T08:00:00+08:00,2151.03,coingecko
ETH,2024-01-18T08:00:00+08:00,2130.82,coingecko
ETH,2024-01-19T08:00:00+08:00,2107.95,coingecko
ETH,2024-01-20T08:00:00+08:00,2082.88,coingecko
ETH,2024-01-21T08:00:00+08:00,2056.13,coingecko
ETH,2024-01-22T08:00:00+08:00,2028.22,coingecko
ETH,2024-01-23T08:00:00+08:00,1999.75,coingecko
ETH,2024-01-24T08:00:00+08:00,1971.28,coingecko
ETH,2024-01-25T08:00:00+08:00,1943.39,coingecko
ETH,2024-01-26T08:00:00+08:00,1916.66,coingecko
ETH,2024-01-27T08:00:00+08:00,1891.62,coingecko
ETH,2024-01-28T08:00:00+08:00,1868.79,coingecko
ETH,2024-01-29T08:00:00+08:00,1848.64,coingecko
ETH,2024-01-30T08:00:00+08:00,1831.57,coingecko
ETH,2024-01-31T08:00:00+08:00,1817.93,coingecko
ETH,2024-02-01T08:00:00+08:00,1808.00,coingecko
ETH,2024-02-02T08:00:00+08:00,1801.98,coingecko
ETH,2024-02-03T08:00:00+08:00,1800.00,coingecko
ETH,2024-02-04T08:00:00+08:00,1802.09,coingecko
ETH,2024-02-05T08:00:00+08:00,1808.22,coingecko
ETH,2024-02-06T08:00:00+08:00,1818.25,coingecko
ETH,2024-02-07T08:00:00+08:00,1831.98,coingecko
ETH,2024-02-08T08:00:00+08:00,1849.14,coingecko
ETH,2024-02-09T08:00:00+08:00,1869.37,coingecko
ETH,2024-02-10T08:00:00+08:00,1892.26,coingecko
ETH,2024-02-11T08:00:00+08:00,1917.35,coingecko
ETH,2024-02-12T08:00:00+08:00,1944.12,coingecko
ETH,2024-02-13T08:00:00+08:00,1972.03,coingecko
ETH,2024-02-14T08:00:00+08:00,2000.51,coingecko
ETH,2024-02-15T08:00:00+08:00,2028.97,coingecko
ETH,2024-02-16T08:00:00+08:00,2056.85,coingecko
ETH,2024-02-17T08:00:00+08:00,2083.57,coingecko
ETH,2024-02-18T08:00:00+08:00,2108.59,coingecko
ETH,2024-02-19T08:00:00+08:00,2131.40,coingecko
ETH,2024-02-20T08:00:00+08:00,2151.53,coingecko
ETH,2024-02-21T08:00:00+08:00,2168.57,coingecko
ETH,2024-02-22T08:00:00+08:00,2182.17,coingecko
ETH,2024-02-23T08:00:00+08:00,2192.07,coingecko
ETH,2024-02-24T08:00:00+08:00,2198.05,coingecko
ETH,2024-02-25T08:00:00+08:00,2200.00,coingecko
ETH,2024-02-26T08:00:00+08:00,2197.87,coingecko
ETH,2024-02-27T08:00:00+08:00,2191.71,coingecko
ETH,2024-02-28T08:00:00+08:00,2181.65,coingecko
ETH,2024-02-29T08:00:00+08:00,2167.88,coingecko
SCAM,2024-02-19T08:00:00+08:00,0.0001,dex
SCAM,2024-02-25T08:00:00+08:00,0.0000001,dex
