question_id,student_id,score,historical_value,extrapolated_value,batch_id,sample_date
Q006,S007,72.55,68.78,65.43,2026-05,2026-05-15
Q006,S008,66.84,66.46,69.57,2026-05,2026-05-15
Q006,S009,77.77,81.9,77.87,2026-05,2026-05-15
Q006,S010,89.54,88.21,111.3,2026-05,2026-05-15
Q007,S001,81.26,76.97,72.69,2026-05,2026-05-15
Q007,S002,79.82,78.71,85.54,2026-05,2026-05-15
Q007,S003,79.73,79.37,72.96,2026-05,2026-05-15
Q007,S004,59.85,57.62,66.7,2026-05,2026-05-15
Q007,S005,77.14,70.91,78.53,2026-05,2026-05-15
Q007,S006,78.85,74.43,80.08,2026-05,2026-05-15
Q007,S007,75.58,69.87,78.44,2026-05,2026-05-15
Q007,S008,80.61,86.02,89.04,2026-05,2026-05-15
Q007,S009,61.22,56.53,65.34,2026-05,2026-05-15
Q007,S010,80.14,82.71,110.96,2026-05,2026-05-15
Q008,S001,80.71,86.39,88.34,2026-05,2026-05-15
Q008,S002,81.51,79.94,87.59,2026-05,2026-05-15
Q008,S003,67.27,66.09,63.39,2026-05,2026-05-15
Q008,S004,75.82,87.39,60.88,2026-05,2026-05-15
Q008,S005,81.86,73.8,78.09,2026-05,2026-05-15
Q008,S006,85.89,86.21,77.27,2026-05,2026-05-15
Q008,S007,67.85,71.24,62.0,2026-05,2026-05-15
Q008,S008,77.16,77.39,71.95,2026-05,2026-05-15
Q008,S009,96.44,99.61,80.24,2026-05,2026-05-15
Q008,S010,76.86,73.56,83.68,2026-05,2026-05-15
Q009,S001,67.07,66.5,71.11,2026-05,2026-05-15
Q009,S002,83.66,77.66,80.98,2026-05,2026-05-15
Q009,S003,70.25,66.98,84.37,2026-05,2026-05-15
Q009,S004,79.05,72.75,86.39,2026-05,2026-05-15
Q009,S005,96.22,101.38,84.07,2026-05,2026-05-15
Q009,S006,70.16,76.49,64.5,2026-05,2026-05-15
Q009,S007,79.44,83.31,72.02,2026-05,2026-05-15
Q009,S008,74.4,58.2,66.21,2026-05,2026-05-15
Q009,S009,72.47,66.24,85.53,2026-05,2026-05-15
Q009,S010,60.7,58.5,61.74,2026-05,2026-05-15
Q010,S001,89.41,82.23,98.72,2026-05,2026-05-15
Q010,S002,75.1,70.19,78.8,2026-05,2026-05-15
Q010,S003,76.99,73.99,77.55,2026-05,2026-05-15
Q010,S004,71.15,71.71,76.44,2026-05,
Q010,S005,90.86,84.67,107.92,2026-05,2026-05-15
Q010,S006,55.48,54.72,60.19,2026-05,2026-05-15
Q010,S007,77.81,74.7,76.14,2026-05,2026-05-15
Q010,S008,70.07,67.12,76.87,2026-05,2026-05-15
Q010,S009,78.57,75.11,85.77,2026-05,2026-05-15
Q010,S010,78.07,82.14,83.11,2026-05,2026-05-15
Q011,S001,66.71,63.91,72.69,2026-05,2026-05-15
Q011,S002,81.1,81.0,82.04,2026-05,2026-05-15
Q011,S003,87.78,84.82,92.15,2026-05,2026-05-15
Q011,S004,72.98,71.89,81.77,2026-05,2026-05-15
Q011,S005,83.25,87.32,93.7,2026-05,2026-05-15
Q011,S006,75.21,78.62,72.73,2026-05,2026-05-15
Q011,S007,78.24,77.59,79.02,2026-05,2026-05-15
Q011,S008,80.95,76.86,97.69,2026-05,2026-05-15
Q011,S009,64.94,58.87,74.2,2026-05,2026-05-15
Q011,S010,82.92,86.04,87.94,2026-05,2026-05-15
Q012,S001,74.88,70.39,75.48,2026-05,2026-05-15
Q012,S002,68.23,73.1,67.05,2026-05,2026-05-15
Q012,S003,66.75,65.14,70.05,2026-05,2026-05-15
Q012,S004,69.36,65.25,71.31,2026-05,2026-05-15
Q012,S005,77.45,74.91,135.5,2026-05,2026-05-15
Q012,S006,77.32,70.08,66.06,2026-05,2026-05-15
Q012,S007,67.82,66.75,70.3,2026-05,2026-05-15
Q012,S008,89.75,94.04,-15.2,2026-05,2026-05-15
Q012,S009,74.81,69.8,74.66,2026-05,2026-05-15
Q012,S010,72.11,73.73,65.5,2026-05,2026-05-15
Q013,S001,80.19,87.86,79.32,2026-05,2026-05-15
Q013,S002,79.02,82.47,75.81,2026-05,2026-05-15
Q013,S003,77.24,77.3,78.02,2026-05,2026-05-15
Q013,S004,67.27,67.39,71.25,2026-05,2026-05-15
Q013,S005,89.51,94.31,106.74,2026-05,2026-05-15
Q013,S006,67.33,71.69,68.79,2026-05,2026-05-15
Q013,S007,96.9,92.86,90.18,2026-05,2026-05-15
Q013,S008,69.01,58.39,64.8,2026-05,2026-05-15
Q013,S009,67.41,68.16,70.14,2026-05,2026-05-15
Q013,S010,93.76,98.51,89.15,2026-05,2026-05-15
Q014,S001,66.02,68.48,55.45,2026-05,2026-05-15
Q014,S002,93.31,99.21,89.56,2026-05,2026-05-15
Q014,S003,57.87,64.64,56.95,2026-05,2026-05-15
Q014,S004,87.38,79.41,82.58,2026-05,2026-05-15
Q014,S005,75.05,75.29,71.45,2026-05,2026-05-15
Q014,S006,81.23,75.89,80.09,2026-05,2026-05-15
Q014,S007,76.2,78.78,81.9,2026-05,2026-05-15
Q014,S008,63.75,56.08,73.97,2026-05,2026-05-15
Q014,S009,78.32,74.58,90.73,2026-05,2026-05-15
Q014,S010,76.16,82.05,76.7,2026-05,2026-05-15
Q015,S001,95.61,104.38,93.62,2026-05,2026-05-15
Q015,S002,84.72,87.94,95.66,2026-05,2026-05-15
Q015,S003,65.35,68.78,73.82,2026-05,2026-05-15
Q015,S004,57.41,51.5,41.1,2026-05,2026-05-15
Q015,S005,72.31,75.89,84.32,2026-05,2026-05-15
Q015,S006,75.74,83.88,64.7,2026-05,2026-05-15
Q015,S007,57.97,57.69,61.04,2026-05,2026-05-15
Q015,S008,74.67,64.34,73.96,2026-05,2026-05-15
Q015,S009,61.96,65.3,64.89,2026-05,2026-05-15
Q015,S010,65.6,63.03,57.13,2026-05,2026-05-15
Q016,S001,74.37,79.15,66.49,2026-05,2026-05-15
Q016,S002,80.04,77.39,73.7,2026-05,2026-05-15
Q016,S003,73.93,68.75,69.5,2026-05,2026-05-15
Q016,S004,63.02,72.84,63.3,2026-05,2026-05-15
Q016,S005,68.0,69.07,67.1,2026-05,2026-05-15
Q016,S006,72.79,75.86,78.85,2026-05,2026-05-15
Q016,S007,69.69,66.82,67.49,2026-05,2026-05-15
Q016,S008,51.98,44.4,62.92,2026-05,2026-05-15
Q016,S009,91.45,90.2,96.06,2026-05,2026-05-15
Q016,S010,78.11,93.51,87.07,2026-05,2026-05-15
Q017,S001,73.72,68.94,60.87,2026-05,2026-05-15
Q017,S002,77.03,73.25,65.66,2026-05,2026-05-15
Q017,S003,68.53,63.13,82.03,2026-05,2026-05-15
Q017,S004,83.82,83.78,95.66,2026-05,2026-05-15
Q017,S005,75.77,71.47,87.96,2026-05,2026-05-15
Q017,S006,80.39,75.2,78.87,2026-05,2026-05-15
Q017,S007,66.24,59.33,73.65,2026-05,2026-05-15
Q017,S008,94.09,87.1,98.6,2026-05,2026-05-15
Q017,S009,68.49,66.06,63.75,2026-05,2026-05-15
Q017,S010,66.36,66.6,59.71,2026-05,2026-05-15
Q018,S001,77.7,77.45,75.79,2026-05,2026-05-15
Q018,S002,65.92,63.04,71.97,2026-05,2026-05-15
Q018,S003,80.01,75.12,80.8,2026-05,2026-05-15
Q018,S004,82.51,74.17,86.86,2026-05,2026-05-15
Q018,S005,68.37,71.23,62.27,2026-05,2026-05-15
Q018,S006,56.95,48.81,57.34,2026-05,2026-05-15
Q018,S007,77.6,73.08,82.71,2026-05,2026-05-15
Q018,S008,58.38,58.05,48.7,2026-05,2026-05-15
Q018,S009,68.48,68.72,61.6,2026-05,2026-05-15
Q018,S010,71.15,76.19,66.54,2026-05,2026-05-15
Q019,S001,83.36,77.71,87.6,2026-05,2026-05-15
Q019,S002,89.42,77.06,83.04,2026-05,2026-05-15
Q019,S003,80.77,79.76,83.74,2026-05,2026-05-15
Q019,S004,68.96,69.39,67.71,2026-05,2026-05-15
Q019,S005,86.68,87.95,89.38,2026-05,2026-05-15
Q019,S006,70.88,68.44,67.42,2026-05,2026-05-15
Q019,S007,78.94,76.84,81.26,2026-05,2026-05-15
Q019,S008,95.75,100.11,93.15,2026-05,2026-05-15
Q019,S009,87.01,84.97,70.71,2026-05,2026-05-15
Q019,S010,64.92,55.57,62.11,2026-05,2026-05-15
Q020,S001,75.18,83.57,77.8,2026-05,2026-05-15
Q020,S002,72.81,76.96,55.12,2026-05,2026-05-15
Q020,S003,77.36,81.21,65.53,2026-05,2026-05-15
Q020,S004,86.44,88.13,83.12,2026-05,2026-05-15
Q020,S005,81.33,92.68,82.78,2026-05,2026-05-15
Q020,S006,77.48,75.19,70.68,2026-05,2026-05-15
Q020,S007,83.3,79.02,83.88,2026-05,2026-05-15
Q020,S008,70.22,72.62,72.89,2026-05,2026-05-15
Q020,S009,85.38,82.83,83.22,2026-05,2026-05-15
Q020,S010,65.21,62.99,68.23,2026-05,2026-05-15
Q001,S001,82.57,77.96,89.53,2026-06,2026-06-10
Q001,S002,88.56,90.62,103.57,2026-06,2026-06-10
Q001,S003,67.26,61.04,53.03,2026-06,2026-06-10
Q001,S004,89.96,93.23,89.52,2026-06,2026-06-10
Q001,S005,77.8,72.17,97.37,2026-06,2026-06-10
Q001,S006,76.29,76.84,82.1,2026-06,2026-06-10
Q001,S007,79.81,80.93,73.49,2026-06,2026-06-10
Q001,S008,79.71,89.12,90.48,2026-06,2026-06-10
Q001,S009,90.93,88.38,83.02,2026-06,2026-06-10
Q001,S010,,74.02,82.5,2026-06,2026-06-10
Q002,S001,58.08,65.72,56.81,2026-06,
Q002,S002,70.73,65.67,57.49,2026-06,2026-06-10
Q002,S003,83.23,83.6,72.91,2026-06,2026-06-10
Q002,S004,62.05,60.37,75.4,2026-06,2026-06-10
Q002,S005,72.4,64.89,70.44,2026-06,2026-06-10
Q002,S006,72.27,58.79,71.84,2026-06,2026-06-10
Q002,S007,72.69,76.17,87.48,2026-06,2026-06-10
Q002,S008,86.27,84.92,77.41,2026-06,2026-06-10
Q002,S009,100.0,100.3,100.11,2026-06,2026-06-10
Q002,S010,74.76,75.75,73.6,2026-06,2026-06-10
Q003,S001,69.26,66.53,69.0,2026-06,2026-06-10
Q003,S002,69.57,66.0,70.42,2026-06,2026-06-10
Q003,S003,72.45,79.97,51.24,2026-06,2026-06-10
Q003,S004,85.92,92.15,69.33,2026-06,2026-06-10
Q003,S005,71.57,69.72,135.5,2026-06,2026-06-10
Q003,S006,67.22,61.67,81.24,2026-06,2026-06-10
Q003,S007,84.36,90.71,90.13,2026-06,2026-06-10
Q003,S008,63.71,61.09,-15.2,2026-06,2026-06-10
Q003,S009,62.78,66.34,60.86,2026-06,2026-06-10
Q003,S010,71.25,74.81,74.81,2026-06,2026-06-10
Q004,S001,71.39,77.19,62.74,2026-06,2026-06-10
Q004,S002,81.16,84.12,78.68,2026-06,2026-06-10
Q004,S003,78.26,72.01,85.65,2026-06,2026-06-10
Q004,S004,73.15,70.54,81.54,2026-06,2026-06-10
Q004,S005,99.9,60.91,55.5,2026-06,2026-06-10
Q004,S006,81.06,74.66,95.1,2026-06,2026-06-10
Q004,S007,54.18,62.66,55.87,2026-06,2026-06-10
Q004,S008,74.03,71.31,77.23,2026-06,2026-06-10
Q004,S009,74.62,80.14,75.54,2026-06,2026-06-10
Q004,S010,76.5,74.68,76.05,2026-06,2026-06-10
Q005,S001,78.08,69.53,67.29,2026-06,2026-06-10
Q005,S002,25.0,83.29,80.96,2026-06,2026-06-10
Q005,S003,75.18,76.92,70.87,2026-06,2026-06-10
Q005,S004,67.22,68.2,59.39,2026-06,2026-06-10
Q005,S005,79.08,70.57,87.32,2026-06,2026-06-10
Q005,S006,79.73,81.01,87.59,2026-06,2026-06-10
Q005,S007,91.65,96.73,76.93,2026-06,2026-06-10
Q005,S008,62.2,59.08,62.41,2026-06,2026-06-10
Q005,S009,80.18,76.55,81.67,2026-06,2026-06-10
Q005,S010,67.45,64.39,56.19,2026-06,2026-06-10
Q006,S001,65.77,59.01,57.96,2026-06,2026-06-10
Q006,S002,85.54,80.79,106.6,2026-06,2026-06-10
Q006,S003,79.93,80.86,73.07,2026-06,2026-06-10
Q006,S004,82.0,79.12,82.98,2026-06,2026-06-10
Q006,S005,100.0,99.52,109.19,2026-06,2026-06-10
Q006,S006,67.97,67.79,82.13,2026-06,2026-06-10
Q006,S007,68.73,77.79,74.39,2026-06,2026-06-10
Q006,S008,69.38,72.54,77.16,2026-06,2026-06-10
Q006,S009,81.22,73.37,75.4,2026-06,2026-06-10
Q006,S010,72.52,72.15,77.49,2026-06,2026-06-10
Q007,S001,76.78,70.1,79.82,2026-06,2026-06-10
Q007,S002,81.11,83.9,89.75,2026-06,2026-06-10
Q007,S003,83.34,85.64,82.78,2026-06,2026-06-10
Q007,S004,58.39,60.54,60.05,2026-06,2026-06-10
Q007,S005,77.72,71.33,69.07,2026-06,2026-06-10
Q007,S006,85.53,85.33,90.98,2026-06,2026-06-10
Q007,S007,75.28,75.43,82.79,2026-06,2026-06-10
Q007,S008,69.84,70.32,66.14,2026-06,2026-06-10
Q007,S009,70.66,69.11,72.43,2026-06,2026-06-10
Q007,S010,70.21,76.49,63.06,2026-06,2026-06-10
Q008,S001,73.13,70.93,84.71,2026-06,2026-06-10
Q008,S002,76.97,82.12,65.08,2026-06,2026-06-10
Q008,S003,77.67,82.12,78.33,2026-06,2026-06-10
Q008,S004,85.65,83.07,96.93,2026-06,2026-06-10
Q008,S005,97.99,96.17,94.42,2026-06,2026-06-10
Q008,S006,89.53,97.43,85.35,2026-06,2026-06-10
Q008,S007,70.8,69.39,60.04,2026-06,2026-06-10
Q008,S008,65.81,60.79,59.67,2026-06,2026-06-10
Q008,S009,74.65,75.82,87.06,2026-06,2026-06-10
Q008,S010,65.02,69.94,63.3,2026-06,2026-06-10
Q009,S001,,77.88,65.52,2026-06,2026-06-10
Q009,S002,78.82,79.66,82.76,2026-06,2026-06-10
Q009,S003,77.89,90.17,72.79,2026-06,2026-06-10
Q009,S004,69.69,66.57,65.25,2026-06,2026-06-10
Q009,S005,68.63,74.57,79.99,2026-06,2026-06-10
Q009,S006,69.29,65.13,73.06,2026-06,2026-06-10
Q009,S007,69.48,72.64,71.1,2026-06,2026-06-10
Q009,S008,59.84,67.58,74.21,2026-06,2026-06-10
Q009,S009,68.87,66.93,71.16,2026-06,2026-06-10
Q009,S010,78.34,81.64,94.43,2026-06,2026-06-10
Q010,S001,73.23,69.24,62.2,2026-06,2026-06-10
Q010,S002,67.69,67.53,82.05,2026-06,2026-06-10
Q010,S003,69.82,70.94,69.69,2026-06,2026-06-10
Q010,S004,86.88,99.52,82.64,2026-06,2026-06-10
Q010,S005,70.11,75.33,75.56,2026-06,2026-06-10
Q010,S006,93.47,96.39,90.59,2026-06,2026-06-10
Q010,S007,80.91,86.45,87.47,2026-06,2026-06-10
Q010,S008,80.07,85.41,89.43,2026-06,2026-06-10
Q010,S009,88.82,92.07,87.48,2026-06,2026-06-10
Q010,S010,76.47,82.5,69.93,2026-06,2026-06-10
Q011,S001,78.69,76.72,78.92,2026-06,2026-06-10
Q011,S002,87.78,88.74,88.16,2026-06,2026-06-10
Q011,S003,61.4,65.13,66.57,2026-06,2026-06-10
Q011,S004,99.9,95.09,98.39,2026-06,2026-06-10
Q011,S005,77.49,85.38,76.73,2026-06,2026-06-10
Q011,S006,77.79,80.83,79.28,2026-06,2026-06-10
Q011,S007,70.54,71.51,79.12,2026-06,2026-06-10
Q011,S008,64.73,65.4,59.13,2026-06,2026-06-10
Q011,S009,86.95,79.33,82.48,2026-06,2026-06-10
Q011,S010,78.77,86.6,78.25,2026-06,2026-06-10
Q012,S001,69.45,78.85,57.86,2026-06,2026-06-10
Q012,S002,53.01,55.21,49.0,2026-06,2026-06-10
Q012,S003,64.79,68.33,66.74,2026-06,2026-06-10
Q012,S004,69.36,62.96,76.34,2026-06,2026-06-10
Q012,S005,81.5,81.01,135.5,2026-06,2026-06-10
Q012,S006,64.3,56.67,58.76,2026-06,2026-06-10
Q012,S007,74.54,75.76,72.61,2026-06,2026-06-10
Q012,S008,78.52,72.26,-15.2,2026-06,2026-06-10
Q012,S009,74.18,79.76,76.92,2026-06,2026-06-10
Q012,S010,79.57,82.42,83.15,2026-06,2026-06-10
Q013,S001,81.43,88.07,83.0,2026-06,2026-06-10
Q013,S002,82.09,81.64,93.61,2026-06,2026-06-10
Q013,S003,68.24,77.24,67.91,2026-06,2026-06-10
Q013,S004,60.69,61.33,55.24,2026-06,2026-06-10
Q013,S005,83.41,80.14,79.84,2026-06,2026-06-10
Q013,S006,56.1,53.84,36.71,2026-06,2026-06-10
Q013,S007,59.16,62.96,65.45,2026-06,2026-06-10
Q013,S008,79.25,74.42,78.87,2026-06,2026-06-10
Q013,S009,74.96,69.17,86.99,2026-06,2026-06-10
Q013,S010,83.77,82.67,83.99,2026-06,2026-06-10
Q014,S001,77.08,66.88,75.11,2026-06,2026-06-10
Q014,S002,68.18,63.17,65.93,2026-06,2026-06-10
Q014,S003,92.98,96.18,88.41,2026-06,2026-06-10
Q014,S004,80.73,87.72,88.12,2026-06,2026-06-10
Q014,S005,75.6,72.36,81.18,2026-06,2026-06-10
Q014,S006,78.93,83.41,84.02,2026-06,2026-06-10
Q014,S007,85.5,82.82,96.03,2026-06,2026-06-10
Q014,S008,76.98,87.35,71.46,2026-06,2026-06-10
Q014,S009,92.36,93.35,87.15,2026-06,2026-06-10
Q014,S010,70.16,68.56,73.55,2026-06,2026-06-10
Q015,S001,80.23,77.36,80.03,2026-06,2026-06-10
Q015,S002,96.42,105.06,99.91,2026-06,2026-06-10
Q015,S003,75.38,75.98,80.29,2026-06,2026-06-10
Q015,S004,64.77,63.49,51.42,2026-06,2026-06-10
Q015,S005,78.99,82.23,75.13,2026-06,2026-06-10
Q015,S006,90.74,84.61,79.02,2026-06,2026-06-10
Q015,S007,77.24,82.48,90.72,2026-06,2026-06-10
Q015,S008,70.41,75.8,70.1,2026-06,2026-06-10
Q015,S009,73.27,77.69,78.49,2026-06,2026-06-10
Q015,S010,59.24,66.62,70.28,2026-06,2026-06-10
Q016,S001,68.74,70.72,72.7,2026-06,2026-06-10
Q016,S002,77.61,74.86,72.23,2026-06,2026-06-10
Q016,S003,74.74,80.61,79.09,2026-06,2026-06-10
Q016,S004,71.29,75.15,48.51,2026-06,2026-06-10
Q016,S005,86.49,77.79,83.59,2026-06,2026-06-10
Q016,S006,63.8,57.33,73.09,2026-06,2026-06-10
Q016,S007,70.32,72.06,69.95,2026-06,2026-06-10
Q016,S008,79.77,80.15,69.51,2026-06,2026-06-10
Q016,S009,84.96,82.49,72.51,2026-06,2026-06-10
Q016,S010,70.72,78.22,77.52,2026-06,2026-06-10
Q017,S001,71.51,69.77,68.94,2026-06,2026-06-10
Q017,S002,95.77,97.68,99.21,2026-06,2026-06-10
Q017,S003,85.3,86.5,83.23,2026-06,2026-06-10
Q017,S004,73.04,72.68,72.74,2026-06,2026-06-10
Q017,S005,82.28,82.54,88.14,2026-06,2026-06-10
Q017,S006,74.19,74.59,58.21,2026-06,2026-06-10
Q017,S007,84.16,85.9,92.15,2026-06,2026-06-10
Q017,S008,46.04,56.48,44.92,2026-06,2026-06-10
Q017,S009,86.08,80.88,90.98,2026-06,2026-06-10
Q017,S010,64.47,61.35,79.78,2026-06,2026-06-10
Q018,S001,73.09,74.18,80.05,2026-06,2026-06-10
Q018,S002,79.96,80.71,82.88,2026-06,2026-06-10
Q018,S003,99.03,98.75,100.64,2026-06,2026-06-10
Q018,S004,85.51,91.03,95.0,2026-06,2026-06-10
Q018,S005,81.39,75.67,94.45,2026-06,2026-06-10
Q018,S006,63.54,65.05,57.5,2026-06,2026-06-10
Q018,S007,74.36,76.0,76.93,2026-06,2026-06-10
Q018,S008,79.22,87.29,82.85,2026-06,2026-06-10
Q018,S009,72.56,77.38,82.07,2026-06,2026-06-10
Q018,S010,62.72,65.71,68.33,2026-06,2026-06-10
Q019,S001,72.02,78.9,70.82,2026-06,2026-06-10
Q019,S002,76.26,75.39,76.38,2026-06,2026-06-10
Q019,S003,64.04,56.84,76.79,2026-06,2026-06-10
Q019,S004,66.53,61.57,49.3,2026-06,2026-06-10
Q019,S005,68.61,61.99,81.75,2026-06,2026-06-10
Q019,S006,85.1,81.66,103.12,2026-06,2026-06-10
Q019,S007,84.82,83.19,64.82,2026-06,2026-06-10
Q019,S008,97.91,90.96,84.75,2026-06,2026-06-10
Q019,S009,85.23,97.42,96.3,2026-06,2026-06-10
Q019,S010,80.64,83.61,87.47,2026-06,2026-06-10
Q020,S001,82.59,84.0,83.42,2026-06,2026-06-10
Q020,S002,74.37,70.6,72.13,2026-06,2026-06-10
Q020,S003,58.07,57.58,50.16,2026-06,2026-06-10
Q020,S004,63.96,64.86,75.1,2026-06,2026-06-10
Q020,S005,84.18,76.33,76.27,2026-06,2026-06-10
Q020,S006,84.41,79.5,82.61,2026-06,2026-06-10
Q020,S007,80.5,75.66,81.34,2026-06,2026-06-10
Q020,S008,61.66,58.65,64.22,2026-06,2026-06-10
Q020,S009,59.07,61.27,58.91,2026-06,2026-06-10
Q020,S010,80.52,81.64,91.44,2026-06,2026-06-10
