datetime,symbol,open,high,low,close,volume,amount
2024-02-01,600000.SH,6.4,6.63,6.39,6.6,211745,1375923.78
2024-02-02,600000.SH,6.6,6.93,6.57,6.91,182903,1235623.87
2024-02-05,600000.SH,6.91,6.96,6.9,6.96,586030,4063091.88
2024-02-06,600000.SH,6.96,7.1,6.81,7.02,704944,4925127.54
2024-02-07,600000.SH,7.02,7.07,6.91,6.91,468752,3264060.27
2024-02-08,600000.SH,6.91,6.94,6.7,6.71,783648,5337669.46
2024-02-09,600000.SH,6.71,6.77,6.64,6.69,870360,5833395.83
2024-02-12,600000.SH,6.69,6.78,6.65,6.72,433941,2910610.64
2024-02-13,600000.SH,6.72,7.15,6.58,7.1,656404,4536026.51
2024-02-14,600000.SH,7.1,7.25,7.03,7.2,328796,2350648.33
2024-02-15,600000.SH,7.2,7.41,7.19,7.36,162170,1180748.69
2024-02-16,600000.SH,7.36,7.46,7.29,7.36,194866,1434755.84
2024-02-19,600000.SH,7.36,7.37,7.35,7.35,618624,4552811.64
2024-02-20,600000.SH,7.35,7.53,7.31,7.5,495352,3679839.99
2024-02-21,600000.SH,7.5,7.74,7.43,7.64,534172,4044050.46
2024-02-22,600000.SH,7.64,7.65,7.48,7.51,919889,6966143.94
2024-02-23,600000.SH,7.51,7.71,7.5,7.56,594495,4477659.63
2024-02-26,600000.SH,7.56,7.56,7.41,7.45,900382,6757431.96
2024-02-27,600000.SH,7.45,7.71,7.41,7.63,757395,5713948.38
2024-02-28,600000.SH,7.63,7.96,7.6,7.73,982213,7547283.54
2024-02-29,600000.SH,7.73,7.85,7.51,7.59,569173,4361542.57
2024-01-01,000002.SZ,15.0,15.0,14.82,14.83,847668,12642028.4
2024-01-02,000002.SZ,14.83,15.32,14.73,15.02,534008,7969128.41
2024-01-03,000002.SZ,15.02,15.34,14.7,14.79,419240,6249469.43
2024-01-04,000002.SZ,14.79,15.13,14.51,15.08,414074,6186005.3
2024-01-05,000002.SZ,15.08,15.17,14.77,14.85,591843,8857004.19
2024-01-08,000002.SZ,14.85,15.17,14.6,15.14,517442,7758804.32
2024-01-09,000002.SZ,15.14,15.42,14.74,14.81,135773,2033690.44
2024-01-10,000002.SZ,14.81,15.17,14.4,14.53,508177,7455372.04
2024-01-11,000002.SZ,14.53,14.72,13.98,14.14,861020,12343680.27
2024-01-12,000002.SZ,14.14,14.15,13.73,13.95,831877,11686867.24
2024-01-15,000002.SZ,13.95,14.35,13.86,14.19,305811,4302880.43
2024-01-16,000002.SZ,14.19,14.28,13.81,14.15,806383,11427072.13
2024-01-17,000002.SZ,14.15,14.24,13.9,14.07,671877,9482225.45
2024-01-18,000002.SZ,14.07,14.19,13.83,13.92,335961,4701777.89
2024-01-19,000002.SZ,13.92,14.12,13.86,13.9,765223,10641974.06
2024-01-22,000002.SZ,13.9,14.03,13.85,13.96,184421,2568582.96
2024-01-23,000002.SZ,13.96,14.0,13.73,13.84,794583,11045839.56
2024-01-24,000002.SZ,13.84,13.91,13.71,13.73,878243,12107020.28
2024-01-25,000002.SZ,13.73,14.43,13.68,14.33,361791,5074958.83
2024-01-26,000002.SZ,14.33,14.63,14.27,14.59,659275,9530822.84
2024-01-29,000002.SZ,14.59,15.0,14.46,14.99,463386,6851472.46
2024-01-30,000002.SZ,14.99,15.13,14.59,15.01,373645,5603680.39
2024-01-31,000002.SZ,15.01,15.62,14.69,15.31,668294,10131741.9
2024-02-01,000002.SZ,15.31,15.76,15.15,15.72,743441,11534917.12
2024-02-02,000002.SZ,15.72,16.0,15.58,15.96,733519,11618077.87
2024-02-05,000002.SZ,15.96,16.37,15.85,16.25,636808,10256939.57
2024-02-06,000002.SZ,16.25,16.42,15.7,15.91,417008,6705513.88
2024-02-07,000002.SZ,15.91,16.0,15.73,15.9,282534,4493482.4
2024-02-08,000002.SZ,15.9,16.02,15.23,15.25,339545,5289479.84
2024-02-09,000002.SZ,15.25,15.53,15.0,15.42,643470,9868865.08
2024-02-12,000002.SZ,15.42,15.51,15.35,15.36,908472,13981402.9
2024-02-13,000002.SZ,15.36,15.58,14.61,14.63,654395,9811488.9
2024-02-14,000002.SZ,14.63,14.76,14.36,14.4,415014,6022485.15
2024-02-15,000002.SZ,14.4,14.64,14.04,14.09,912585,12998438.67
2024-02-16,000002.SZ,14.09,14.66,13.79,14.4,541999,7720101.11
2024-02-19,000002.SZ,14.4,14.48,14.36,14.4,382837,5511474.8
2024-02-20,000002.SZ,14.4,14.78,14.29,14.56,625684,9058203.09
2024-02-21,000002.SZ,14.56,14.7,13.84,14.02,313850,4485236.66
2024-02-22,000002.SZ,14.02,14.2,13.94,14.13,107156,1508647.89
2024-02-23,000002.SZ,14.13,14.88,14.0,14.55,345183,4950321.63
2024-02-26,000002.SZ,14.55,14.65,14.29,14.57,135965,1979789.18
2024-02-27,000002.SZ,14.57,14.93,14.41,14.91,469682,6924445.55
2024-02-28,000002.SZ,14.91,15.12,14.42,14.42,268809,3942674.97
2024-02-29,000002.SZ,14.42,14.62,13.99,14.17,248049,3545730.35
2024-01-01,600519.SH,1800.0,1813.13,1774.19,1775.68,728644,1302697650.36
2024-01-02,600519.SH,1775.68,1792.64,1724.21,1733.21,985754,1729449542.16
2024-01-03,600519.SH,1733.21,1745.18,1650.21,1681.35,473372,808178048.69
2024-01-04,600519.SH,1681.35,1737.23,1649.06,1686.84,705765,1188575706.38
2024-01-05,600519.SH,1686.84,1719.5,1661.16,1666.77,982652,1647719479.03
2024-01-08,600519.SH,1666.77,1750.53,1654.24,1733.82,401729,683058223.14
2024-01-09,600519.SH,1733.82,1800.14,1715.25,1777.87,671717,1179429348.29
2024-01-10,600519.SH,1777.87,1796.8,1755.32,1772.36,653575,1160169310.88
2024-01-11,600519.SH,1772.36,1777.09,1665.41,1707.2,806875,1403784846.18
2024-01-12,600519.SH,1707.2,1711.37,1647.39,1669.17,166755,281513183.19
2024-01-15,600519.SH,1669.17,1676.27,1647.26,1647.32,264465,438547544.83
2024-01-16,600519.SH,1647.32,1653.53,1569.19,1589.96,521130,843522081.59
2024-01-17,600519.SH,1589.96,1628.89,1584.42,1598.7,920303,1467266125.77
2024-01-18,600519.SH,1598.7,1644.2,1595.02,1629.19,275057,443926966.6
2024-01-19,600519.SH,1629.19,1648.84,1622.13,1645.16,203136,332569122.51
2024-01-22,600519.SH,1645.16,1688.12,1629.75,1674.19,865234,1436006389.82
2024-01-23,600519.SH,1674.19,1712.0,1661.36,1697.91,778850,1313179622.4
2024-01-24,600519.SH,1697.91,1717.34,1690.45,1708.06,282790,481587202.12
2024-01-25,600519.SH,1708.06,1757.45,1697.81,1732.3,656013,1128459955.83
2024-01-26,600519.SH,1732.3,1752.58,1700.7,1710.4,203319,349983124.43
2024-01-29,600519.SH,1710.4,1725.51,1642.7,1667.26,614760,1038227331.31
2024-01-30,600519.SH,1667.26,1693.85,1622.62,1647.92,208549,345688896.53
2024-01-31,600519.SH,1647.92,1737.64,1637.59,1695.22,352120,588592351.47
2024-02-01,600519.SH,1695.22,1738.84,1671.77,1738.83,991478,1702392960.57
2024-02-02,600519.SH,1738.83,1757.18,1714.62,1716.78,263923,456008468.46
2024-02-05,600519.SH,1716.78,1736.04,1695.55,1721.61,881186,1514930319.69
2024-02-06,600519.SH,1721.61,1803.46,1715.15,1802.03,397795,700842558.07
2024-02-07,600519.SH,1802.03,1857.31,1775.69,1847.33,926231,1690074886.59
2024-02-08,600519.SH,1847.33,1867.02,1844.56,1848.49,307643,568495486.0
2024-02-09,600519.SH,1848.49,1866.43,1823.07,1839.95,902638,1664660513.16
2024-02-12,600519.SH,1839.95,1856.59,1834.94,1851.56,119941,221381944.98
2024-02-13,600519.SH,1851.56,1896.1,1830.09,1888.08,931944,1742569121.16
2024-02-14,600519.SH,1888.08,1930.56,1887.13,1891.86,800442,1512812501.95
2024-02-15,600519.SH,1891.86,1913.34,1877.86,1912.1,987831,1878835666.42
2024-02-16,600519.SH,1912.1,1931.61,1862.57,1916.63,838933,1606024590.05
2024-02-19,600519.SH,1916.63,1943.83,1794.18,1837.79,258567,485385493.66
2024-02-20,600519.SH,1837.79,1885.31,1828.39,1880.29,472823,878997668.11
2024-02-21,600519.SH,1880.29,1885.64,1853.78,1868.23,962410,1803805495.32
2024-02-22,600519.SH,1868.23,1882.99,1804.16,1837.03,835940,1548688116.03
2024-02-23,600519.SH,1837.03,1859.4,1800.74,1840.07,237567,436778897.72
2024-02-26,600519.SH,1840.07,1856.16,1825.94,1831.77,905498,1662421367.81
2024-02-27,600519.SH,1831.77,1867.2,1803.49,1822.43,624616,1141236543.25
2024-02-28,600519.SH,1822.43,1881.02,1819.68,1856.97,477579,878601500.49
2024-02-29,600519.SH,1856.97,1870.52,1854.27,1868.32,458757,854499841.6
