学生ID,追溯记录数,约束数,换座次数,包含的追溯类型,数据一致性状态,最近换座时间,最近换座原因,完整追溯链接
S050,12,5,1,"data_load, graph_build, coloring, seating",consistent,2026-05-31T02:51:26.135298,initial_allocation,trace://S050
S051,12,0,1,"data_load, graph_build, coloring, seating",consistent,2026-05-31T02:51:26.134695,initial_allocation,trace://S051
S052,12,0,1,"data_load, graph_build, coloring, seating",consistent,2026-05-31T02:51:26.134727,initial_allocation,trace://S052
S053,12,0,1,"data_load, graph_build, coloring, seating",consistent,2026-05-31T02:51:26.134756,initial_allocation,trace://S053
S054,12,0,1,"data_load, graph_build, coloring, seating",consistent,2026-05-31T02:51:26.134784,initial_allocation,trace://S054
S055,12,0,1,"data_load, graph_build, coloring, seating",consistent,2026-05-31T02:51:26.134813,initial_allocation,trace://S055
S056,12,0,1,"data_load, graph_build, coloring, seating",consistent,2026-05-31T02:51:26.134843,initial_allocation,trace://S056
S057,12,0,1,"data_load, graph_build, coloring, seating",consistent,2026-05-31T02:51:26.134871,initial_allocation,trace://S057
S058,12,0,1,"data_load, graph_build, coloring, seating",consistent,2026-05-31T02:51:26.134901,initial_allocation,trace://S058
S059,12,0,1,"data_load, graph_build, coloring, seating",consistent,2026-05-31T02:51:26.134930,initial_allocation,trace://S059
S060,12,0,1,"data_load, graph_build, coloring, seating",consistent,2026-05-31T02:51:26.134969,initial_allocation,trace://S060
S005|S010,4,3,0,coloring,unknown,,,trace://S005|S010
S003|S007,4,5,0,coloring,unknown,,,trace://S003|S007
S015|S018,4,5,0,coloring,unknown,,,trace://S015|S018
S047|S049,4,5,0,coloring,unknown,,,trace://S047|S049
S046|S050,4,5,0,coloring,unknown,,,trace://S046|S050
S046|S048,4,5,0,coloring,unknown,,,trace://S046|S048
