售后单号,原状态,新状态,操作人,角色,原因,操作时间
AS20260524000017,无,CREATED,系统,SYSTEM,售后单创建,2026-05-22T21:16:40.744Z
AS20260524000006,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务4,FINANCE,退款成功,2026-05-22T14:16:40.743Z
AS20260524000010,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务3,FINANCE,退款成功,2026-05-22T14:16:40.743Z
AS20260524000006,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员15,WAREHOUSE,仓库复核通过,2026-05-22T04:16:40.743Z
AS20260524000010,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员1,WAREHOUSE,仓库复核通过,2026-05-22T04:16:40.743Z
AS20260524000011,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员8,WAREHOUSE,仓库复核通过,2026-05-22T04:16:40.743Z
AS20260524000006,CREATED,LEADER_SUBMITTED,团长6,LEADER,团长提交退款申请,2026-05-21T22:16:40.743Z
AS20260524000010,CREATED,LEADER_SUBMITTED,团长10,LEADER,团长提交退款申请,2026-05-21T22:16:40.743Z
AS20260524000011,CREATED,LEADER_SUBMITTED,团长11,LEADER,团长提交退款申请,2026-05-21T22:16:40.743Z
AS20260524000006,无,CREATED,系统,SYSTEM,售后单创建,2026-05-21T21:16:40.743Z
AS20260524000010,无,CREATED,系统,SYSTEM,售后单创建,2026-05-21T21:16:40.743Z
AS20260524000011,无,CREATED,系统,SYSTEM,售后单创建,2026-05-21T21:16:40.743Z
AS20260524000004,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务4,FINANCE,退款成功,2026-05-20T14:16:40.743Z
AS20260524000002,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务6,FINANCE,退款成功,2026-05-20T14:16:40.742Z
AS20260524000001,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务10,FINANCE,退款成功,2026-05-20T14:16:40.741Z
AS20260524000015,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员15,WAREHOUSE,仓库复核通过,2026-05-20T04:16:40.744Z
AS20260524000004,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员1,WAREHOUSE,仓库复核通过,2026-05-20T04:16:40.743Z
AS20260524000002,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员10,WAREHOUSE,仓库复核通过,2026-05-20T04:16:40.742Z
AS20260524000001,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员18,WAREHOUSE,仓库复核通过,2026-05-20T04:16:40.741Z
AS20260524000015,CREATED,LEADER_SUBMITTED,团长15,LEADER,团长提交退款申请,2026-05-19T22:16:40.744Z
AS20260524000004,CREATED,LEADER_SUBMITTED,团长4,LEADER,团长提交退款申请,2026-05-19T22:16:40.743Z
AS20260524000002,CREATED,LEADER_SUBMITTED,团长2,LEADER,团长提交退款申请,2026-05-19T22:16:40.742Z
AS20260524000001,CREATED,LEADER_SUBMITTED,团长1,LEADER,团长提交退款申请,2026-05-19T22:16:40.741Z
AS20260524000015,无,CREATED,系统,SYSTEM,售后单创建,2026-05-19T21:16:40.744Z
AS20260524000004,无,CREATED,系统,SYSTEM,售后单创建,2026-05-19T21:16:40.743Z
AS20260524000002,无,CREATED,系统,SYSTEM,售后单创建,2026-05-19T21:16:40.742Z
AS20260524000001,无,CREATED,系统,SYSTEM,售后单创建,2026-05-19T21:16:40.741Z
AS20260524000013,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员11,WAREHOUSE,仓库复核通过,2026-05-19T04:16:40.744Z
AS20260524000007,LEADER_SUBMITTED,WAREHOUSE_REJECTED,仓管员16,WAREHOUSE,仓库复核驳回,2026-05-19T04:16:40.743Z
AS20260524000013,CREATED,LEADER_SUBMITTED,团长13,LEADER,团长提交退款申请,2026-05-18T22:16:40.744Z
AS20260524000016,CREATED,LEADER_SUBMITTED,团长16,LEADER,团长提交退款申请,2026-05-18T22:16:40.744Z
AS20260524000019,CREATED,LEADER_SUBMITTED,团长19,LEADER,团长提交退款申请,2026-05-18T22:16:40.744Z
AS20260524000007,CREATED,LEADER_SUBMITTED,团长7,LEADER,团长提交退款申请,2026-05-18T22:16:40.743Z
AS20260524000013,无,CREATED,系统,SYSTEM,售后单创建,2026-05-18T21:16:40.744Z
AS20260524000016,无,CREATED,系统,SYSTEM,售后单创建,2026-05-18T21:16:40.744Z
AS20260524000019,无,CREATED,系统,SYSTEM,售后单创建,2026-05-18T21:16:40.744Z
AS20260524000007,无,CREATED,系统,SYSTEM,售后单创建,2026-05-18T21:16:40.743Z
AS20260524000008,WAREHOUSE_APPROVED,REFUND_SUCCESS,财务2,FINANCE,退款成功,2026-05-18T14:16:40.743Z
AS20260524000009,WAREHOUSE_APPROVED,REFUND_FAILED,财务3,FINANCE,退款失败，账户异常,2026-05-18T14:16:40.743Z
AS20260524000012,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员19,WAREHOUSE,仓库复核通过,2026-05-18T04:16:40.744Z
AS20260524000014,LEADER_SUBMITTED,WAREHOUSE_REJECTED,仓管员3,WAREHOUSE,仓库复核驳回,2026-05-18T04:16:40.744Z
AS20260524000008,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员3,WAREHOUSE,仓库复核通过,2026-05-18T04:16:40.743Z
AS20260524000009,LEADER_SUBMITTED,WAREHOUSE_APPROVED,仓管员14,WAREHOUSE,仓库复核通过,2026-05-18T04:16:40.743Z
AS20260524000012,CREATED,LEADER_SUBMITTED,团长12,LEADER,团长提交退款申请,2026-05-17T22:16:40.744Z
AS20260524000014,CREATED,LEADER_SUBMITTED,团长14,LEADER,团长提交退款申请,2026-05-17T22:16:40.744Z
AS20260524000020,CREATED,LEADER_SUBMITTED,团长20,LEADER,团长提交退款申请,2026-05-17T22:16:40.744Z
AS20260524000008,CREATED,LEADER_SUBMITTED,团长8,LEADER,团长提交退款申请,2026-05-17T22:16:40.743Z
AS20260524000009,CREATED,LEADER_SUBMITTED,团长9,LEADER,团长提交退款申请,2026-05-17T22:16:40.743Z
AS20260524000012,无,CREATED,系统,SYSTEM,售后单创建,2026-05-17T21:16:40.744Z
AS20260524000014,无,CREATED,系统,SYSTEM,售后单创建,2026-05-17T21:16:40.744Z
AS20260524000020,无,CREATED,系统,SYSTEM,售后单创建,2026-05-17T21:16:40.744Z
AS20260524000008,无,CREATED,系统,SYSTEM,售后单创建,2026-05-17T21:16:40.743Z
AS20260524000009,无,CREATED,系统,SYSTEM,售后单创建,2026-05-17T21:16:40.743Z
