# 室内定位测试数据 - 物联网工程演示
# 包含: 楼层串跳、信标重号、轨迹漂移
# 生成时间: 2026-05-31

timestamp,x,y,floor,beacon_id,rssi
16.0,14.763,10.096,1,BEACON_01_0202,-72.7
16.5,14.886,9.727,1,BEACON_01_0201,-68.6
17.0,15.272,9.104,1,BEACON_01_0301,-71.1
17.5,15.572,9.255,1,BEACON_01_0301,-56.4
18.0,15.793,8.985,1,BEACON_01_0301,-54.1
18.5,15.576,8.575,1,BEACON_01_0301,-50.4
19.0,16.417,8.105,1,BEACON_01_0301,-60.5
19.5,16.718,7.539,1,BEACON_01_0301,-67.7
20.0,16.956,7.801,1,BEACON_01_0301,-61.8
20.5,17.596,7.442,1,BEACON_01_0301,-63.1
21.0,17.438,7.285,1,BEACON_01_0301,-77.1
21.5,18.083,7.317,1,BEACON_01_0301,-60.4
22.0,18.094,7.248,1,BEACON_01_0301,-65.4
22.5,18.519,7.261,3,BEACON_01_0301,-73.5
23.0,18.660,6.953,1,BEACON_01_0301,-61.9
23.5,19.022,6.708,1,BEACON_01_0301,-68.7
24.0,19.459,7.064,1,BEACON_01_0301,-75.9
24.5,19.701,7.006,1,BEACON_01_0301,-78.5
25.0,19.717,7.039,1,BEACON_01_0301,-54.4
25.5,20.231,7.062,1,BEACON_01_0401,-77.8
26.0,20.568,7.430,1,BEACON_01_0401,-64.8
26.5,21.277,7.538,1,BEACON_01_0401,-57.7
27.0,21.252,7.667,1,BEACON_01_0401,-63.8
27.5,21.116,7.878,1,BEACON_01_0401,-79.4

28.0,21.812,8.599,1,BEACON_01_0401,-64.8
28.5,22.062,8.408,1,BEACON_01_0401,-59.9
29.0,22.393,8.372,1,BEACON_01_0401,-69.0
29.5,22.929,9.029,1,BEACON_01_0401,-57.2
30.0,25.158,18.818,2,BEACON_02_0503,-52.3
30.5,25.531,18.707,2,BEACON_02_0503,-53.9
31.0,25.617,19.387,2,BEACON_02_0503,-53.8
31.5,25.552,18.772,2,BEACON_02_0503,-54.6
32.0,26.020,18.696,2,BEACON_02_0503,-54.2
32.5,35.940,18.698,2,BEACON_02_0503,-69.2
33.0,26.288,18.643,2,BEACON_02_0503,-55.5
33.5,26.566,18.699,2,BEACON_02_0503,-60.4
34.0,26.843,18.144,2,BEACON_02_0503,-76.9
34.5,27.413,17.761,2,BEACON_02_0503,-64.2
35.0,27.545,18.048,2,BEACON_02_0503,-70.0
35.0,32.545,21.048,2,BEACON_02_0503,-55.2
35.5,27.429,17.586,2,BEACON_02_0503,-55.8
36.0,28.052,17.450,2,BEACON_02_0503,-51.2
36.5,28.003,16.761,2,BEACON_02_0503,-55.1
37.0,28.604,16.802,2,BEACON_02_0503,-58.4
37.5,28.800,16.519,2,BEACON_02_0503,-55.3
38.0,28.864,16.193,2,BEACON_02_0503,-52.7
38.5,29.309,15.694,2,BEACON_02_0503,-53.6
39.0,29.873,15.616,2,BEACON_02_0503,-63.8
39.5,29.512,15.334,2,BEACON_02_0503,-56.2
40.0,29.805,15.041,2,BEACON_02_0503,-60.9
40.5,30.482,14.400,2,BEACON_02_0602,-65.1
41.0,30.693,14.330,2,BEACON_02_0602,-70.7
41.5,30.914,14.316,2,BEACON_02_0602,-51.2
42.0,30.951,13.481,2,BEACON_02_0602,-74.0
42.5,31.072,13.172,2,BEACON_02_0602,-68.8
43.0,31.485,13.118,2,BEACON_02_0602,-52.5
43.5,31.805,12.943,2,BEACON_02_0602,-76.2
44.0,32.003,12.809,2,BEACON_02_0602,-77.6
44.5,32.197,12.820,2,BEACON_02_0602,-51.8
45.0,32.625,11.879,1,BEACON_02_0602,-58.3
45.5,32.536,11.940,2,BEACON_02_0602,-74.2
46.0,32.955,11.800,2,BEACON_02_0602,-72.4
46.5,33.345,11.478,2,BEACON_02_0602,-55.5
47.0,33.331,11.047,2,BEACON_02_0602,-56.3
47.5,33.661,11.402,2,BEACON_02_0602,-61.1
47.5,33.661,11.402
48.0,34.043,10.887,2,BEACON_02_0602,-64.5
48.5,34.285,11.143,2,BEACON_02_0602,-68.5
49.0,34.323,11.051,2,BEACON_02_0602,-61.1
49.5,34.762,10.772,2,BEACON_02_0602,-63.9
50.0,35.072,11.119,2,BEACON_02_0702,-72.4
50.0,31.072,13.119,2,BEACON_02_0702,-51.1
50.5,35.467,11.249,2,BEACON_02_0702,-57.6
51.0,35.224,10.907,2,BEACON_02_0702,-71.4
51.5,35.853,11.280,2,BEACON_02_0702,-76.9
52.0,36.103,12.054,2,BEACON_02_0702,-65.4
52.5,36.364,11.640,2,BEACON_02_0702,-66.0
53.0,36.691,11.696,2,BEACON_02_0702,-53.2
53.5,36.687,11.893,2,BEACON_02_0702,-63.4
54.0,36.845,11.889,2,BEACON_02_0702,-66.0
54.5,37.153,12.168,2,BEACON_02_0702,-57.3
55.0,37.963,12.012,2,BEACON_02_0702,-58.1
55.5,37.887,12.313,2,BEACON_02_0702,-61.3
56.0,37.906,13.119,2,BEACON_02_0702,-50.6
56.5,38.263,12.964,2,BEACON_02_0702,-59.7
57.0,38.357,13.606,2,BEACON_02_0702,-56.3
57.5,38.604,13.814,2,BEACON_02_0702,-59.8
58.0,39.009,13.948,2,BEACON_02_0702,-53.6
58.5,39.679,14.520,2,BEACON_02_0702,-76.7
59.0,39.095,14.748,2,BEACON_02_0702,-67.8
59.5,39.618,15.201,2,BEACON_02_0703,-70.4
60.0,39.841,19.977,3,BEACON_03_0703,-73.7
60.5,40.501,20.373,3,BEACON_03_0804,-65.0
61.0,40.559,20.333,3,BEACON_03_0804,-52.6
61.5,41.101,20.469,3,BEACON_03_0804,-66.1
62.0,41.942,20.881,3,BEACON_03_0804,-67.6
62.5,41.727,21.184,3,BEACON_03_0804,-72.4
62.5,invalid,21.184,3,BEACON_03_0804,-72.4
63.0,42.789,21.406,3,BEACON_03_0804,-62.9
63.5,42.439,21.303,3,BEACON_03_0804,-53.8
64.0,43.369,21.458,3,BEACON_03_0804,-58.5
64.5,43.568,21.955,3,BEACON_03_0804,-60.9
65.0,55.650,21.988,3,BEACON_03_0804,-69.4
65.5,43.533,21.995,3,BEACON_03_0804,-67.1
66.0,44.467,22.150,3,BEACON_03_0804,-60.7
66.5,45.168,22.314,3,BEACON_03_0904,-79.6
67.0,45.066,22.826,3,BEACON_03_0904,-68.2
67.5,45.741,22.713,3,BEACON_03_0904,-57.1
68.0,45.971,23.202,3,BEACON_03_0904,-53.1
68.5,45.814,23.492,3,BEACON_03_0904,-54.6
69.0,46.306,23.480,3,BEACON_03_0904,-57.4
69.5,46.521,23.723,3,BEACON_03_0904,-54.8
70.0,46.754,24.132,3,BEACON_03_0904,-55.6
70.5,47.257,23.952,3,BEACON_03_0904,-58.6
71.0,47.556,24.010,3,BEACON_03_0904,-55.2
71.5,47.272,24.718,3,BEACON_03_0904,-76.9
72.0,47.513,24.675,3,BEACON_03_0904,-52.4
72.5,47.550,24.901,3,BEACON_03_0904,-65.7
73.0,47.591,25.370,3,BEACON_03_0905,-62.3
73.5,47.877,25.261,3,BEACON_03_0905,-79.5
74.0,48.064,25.661,3,BEACON_03_0905,-53.4
74.5,48.104,25.926,3,BEACON_03_0905,-61.9
75.0,47.814,25.888,2,BEACON_03_0905,-79.1
75.5,48.148,26.322,2,BEACON_03_0905,-76.0
76.0,47.992,26.423,3,BEACON_03_0905,-74.5
76.5,48.230,26.482,3,BEACON_03_0905,-57.7
77.0,48.043,26.760,3,BEACON_03_0905,-55.1
77.5,47.828,27.220,3,BEACON_03_0905,-70.1
78.0,47.956,27.363,3,BEACON_03_0905,-77.9
78.5,47.951,27.404,3,BEACON_03_0905,-66.7
79.0,47.707,27.538,3,BEACON_03_0905,-67.1
79.5,47.497,27.774,3,BEACON_03_0905,-58.4
80.0,47.294,28.119,3,BEACON_03_0905,-73.1
80.5,46.935,28.618,3,BEACON_03_0905,-55.6
81.0,46.704,28.157,3,BEACON_03_0905,-59.7
81.5,46.927,28.758,3,BEACON_03_0905,-62.8
82.0,46.593,28.926,3,BEACON_03_0905,-65.2
82.5,46.222,28.821,3,BEACON_03_0905,-57.3
83.0,45.981,29.065,3,BEACON_03_0905,-53.4
83.5,45.887,29.371,3,BEACON_03_0905,-68.3
84.0,45.239,29.536,3,BEACON_03_0905,-58.7
84.5,45.185,29.687,3,BEACON_03_0905,-67.4
85.0,44.623,30.049,3,BEACON_03_0806,-54.6
85.5,44.510,30.099,3,BEACON_03_0806,-64.4
86.0,44.030,30.446,3,BEACON_03_0806,-66.0
86.5,43.487,30.319,3,BEACON_03_0806,-51.6
87.0,43.275,30.757,3,BEACON_03_0806,-60.1
87.5,43.115,31.295,1,BEACON_03_0806,-54.0
88.0,42.851,31.168,3,BEACON_03_0806,-51.9
88.5,42.296,31.199,3,BEACON_03_0806,-79.7
89.0,41.910,31.542,3,BEACON_03_0806,-59.7
89.5,41.588,31.635,3,BEACON_03_0806,-74.3
90.0,41.233,32.307,3,BEACON_03_0806,-57.6
90.5,40.710,32.280,3,BEACON_03_0806,-70.4
91.0,40.471,32.320,3,BEACON_03_0806,-72.8
91.5,39.978,32.603,3,BEACON_03_0706,-67.9
92.0,39.553,32.645,3,BEACON_03_0706,-64.1
92.5,39.139,33.100,3,BEACON_03_0706,-62.4
93.0,39.028,33.392,3,BEACON_03_0706,-60.5
93.5,38.775,33.247,3,BEACON_03_0706,-77.9
94.0,38.130,33.637,3,BEACON_03_0706,-74.9
94.5,38.010,33.638,3,BEACON_03_0706,-79.0
95.0,37.026,33.880,3,BEACON_03_0706,-53.7
95.5,36.398,34.095,3,BEACON_03_0706,-71.9
96.0,36.308,34.430,3,BEACON_03_0706,-78.2
96.5,36.174,34.975,3,BEACON_03_0706,-55.4
97.0,35.951,34.685,3,BEACON_03_0706,-52.0
97.5,35.248,35.098,3,BEACON_03_0707,-72.2
98.0,34.841,35.566,3,BEACON_03_0607,-67.2
98.5,35.031,35.306,3,BEACON_03_0707,-75.3
99.0,34.155,35.871,3,BEACON_03_0607,-54.2
99.5,34.192,36.048,3,BEACON_03_0607,-73.9
